#,Universidad,Ciudad,Pagina Web,Servicios,Tipos de Oferta ,Areas de Formación,Nombre  de los Programas,Modalidad,horarios,Tiempo de duración,Duración programa, Precio ,formas de pago,certificación,plataforma educacion virtual,Red de educación
1,udla universidad de las americas ,Quito,https://www.udla.edu.ec/educacion-continua2/,"37 carreras de pregrado en modalidades presencial,  y semipresencial 22 diplomados en modalidad 100% online.",Maestrias,Administracion y negocios,gerencia de instituciones de salud,100% online,22 de marzo de 2021,1736 H,1 año  2 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,Educacion,liderazgo educativo,100% online,22 de marzo de 2021,1680 H,1 año  2 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,Salud,seguridad y salud ocupacional,100% online,22 de marzo de 2021,1680 H,1 año  2 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,Diplomados,Administracion y negocios,administracion de empresas,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,desarrollo de negocios y emprendimiento,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,direccion estrategica,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,e-commerce,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,gestion de negocios con tecnologias digitrales,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,gestion de riesgos y manejo de crisis en el sector de servicios,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,Tecnologia e informacion,big data,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,bussines intelligentes,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
