curso,modalidad,carga_horaria,precio,precio_por_hora
programming essentials in python,online,70,280.0,4.0
ccna cybersecurity operations,online,70,280.0,4.0
ccna1 v7: introducción a redes,online,70,280.0,4.0
"ccna3 v7: redes empresariales, seguridad y automatización",online,30,100.0,3.33
fundamentos de ciberseguridad,online,70,280.0,4.0
iot fudamentals: connecting things,online,50,125.0,2.5
social media data analytics,online,30,290.0,9.67
"growth hacking: estrategias, técnicas y acciones para generar tráfico a tu sitio web y redes sociales (seo, sem, analytics).",online,30,290.0,9.67
facebook e instagram para emprendedores,online,30,290.0,9.67
biomecánica del cuerpo humano y neurorrehabilitación a través de la robótica,online,30,290.0,9.67
"narrativa digital: storytelling, copywriting y contenido para medios digitales",online,30,290.0,9.67
el abc de ilustrador y photoshop,online,24,290.0,12.08
qlik sense - business analyst,online,24,380.0,15.83
"
power bi: entorno y publicación",online,24,89.0,3.71
"
power bi: funciones query y dax",online,24,89.0,3.71
estadística para la toma de decisiones,online,12,80.0,6.67
sql aplicado al análisis de datos,online,16,89.0,5.56
estadística aplicada a la prospección de mercados,online,16,50.0,3.12
inteligencia de negocios con power bi,online,32,220.0,6.88
creación de dashboard en excel,online,12,100.0,8.33
ofimática básica,online,24,160.0,6.67
introducción al cómputo forense,online,8,55.0,6.88
big data para la toma de decisiones,online,120,2800.0,23.33
microsoft project para la gestión de proyectos,online,64,390.0,6.09
microsoft project para la gestión de proyectos,presencial,64,870.0,13.59
software stata básico,presencial,20,210.0,10.5
software r básico,presencial,20,210.0,10.5
autocad (básico e intermedio),presencial,20,295.0,14.75
autodesk revit (básico intermedio),presencial,20,210.0,10.5
programación para no programadores,presencial,28,250.0,8.93
pentesting: seguridad ofensiva,presencial,40,550.0,13.75
"metodologías ágiles aplicando scrum, kanban y lean",presencial,16,290.0,18.12
curso de impresión 3d y sus aplicaciones en autopartes (virtual-marzo-2021),online,40,90.0,2.25
