curso,modalidad,carga_horaria,precio,precio_por_hora
programacion python,online,70,280,4
cyberseguridad ccna,online,70,280,4
 introduccion redes ccna1,online,70,280,4
"redes empresariales, seguridad y automatizacion ccna3 ",online,30,100,3.33
fundamentos de ciberseguridad,online,70,280,4
fundamentos iot,online,50,125,2.5
analisis de datos redes socialoes,online,30,290,9.67
"web y redes sociales seo, sem, analitica",online,30,290,9.67
facebook e instagram para emprendedores,online,30,290,9.67
biomecanica robotica,online,30,290,9.67
"narrativa digital storytelling, copywriting y contenido para medios digitales",online,30,290,9.67
ilustrador y photoshop,online,24,290,12.08
qlik sense analisis negocios,online,24,380,15.83
power bi,online,24,89,3.71
power bi query dax,online,24,89,3.71
estadistica ,online,12,80,6.67
sql analisis de datos,online,16,89,5.56
estadistica  de mercados,online,16,50,3.12
inteligencia de negocios con power bi,online,32,220,6.88
dashboard excel,online,12,100,8.33
ofimatica basica,online,24,160,6.67
computo forense,online,8,55,6.88
big data ,online,120,2800,23.33
microsoft project,online,64,390,6.09
microsoft project ,presencial,64,870,13.59
stata ,presencial,20,210,10.5
r basico,presencial,20,210,10.5
autocad (basico e intermedio),presencial,20,295,14.75
autodesk revit (basico intermedio),presencial,20,210,10.5
programacion,presencial,28,250,8.93
pentesting seguridad ofensiva,presencial,40,550,13.75
"metodologias agiles aplicando scrum, kanban y lean",presencial,16,290,18.12
impresion 3d,online,40,90,2.25
