Perfil,Competenecia Laboral,Familia,Sector
GESTIÓN EN FABRICACIÓN DE CALZADO,"PLANIFICAR, ORGANIZAR Y CONTROLAR LA EJECUCIÓN DE FABRICACIÓN DE CALZADO BAJO NORMAS TÉCNICAS, ESTÁNDARES DE CALIDAD, MEDIO AMBIENTE Y SEGURIDAD Y SALUD EN EL TRABAJO, IDENTIFICANDO E IMPLEMENTANDO MEJORAS A LOS PROCESOS DE PRODUCCIÓN.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS
MANEJO DE TINTES PINTURAS Y ACABADOS DE PRODUCTOS DE MADERA Y PREFABRICADOS,"DAR EL ACABADO FINAL A LOS PRODUCTOS AGROFORESTALES Y ELABORADOS DE MADERA CUMPLIENDO LOS ESTÁNDARES DE CALIDAD DEFINIDOS PARA CADA UNO DE LOS PRODUCTOS, DE ACUERDO A LA NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO Y MANEJO AMBIENTAL ESTABLECIDAS.",ACTIVIDADES TIPO SERVICIOS,FABRICACIÓN DE MUEBLES
OPERACIONES DE GRÚA PORTUARIA,"TRASLADAR MATERIALES, PRODUCTOS Y UNIDADES, APOYADO CON EQUIPOS MECÁNICOS/ELÉCTRICOS DE CARGA Y DESCARGA.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
GESTIÓN PECUARIA,"REALIZAR LAS OPERACIONES DE MANEJO RACIONAL DEL GANADO EN EXPLOTACIONES ECOLÓGICAS, DE PRODUCCIÓN DE ANIMALES Y/O DE PRODUCTOS ANIMALES ECOLÓGICOS, ASÍ COMO LAS DE IMPLANTACIÓN, APROVECHAMIENTO, MANTENIMIENTO Y RECOLECCIÓN DE CULTIVOS HERBÁCEOS Y PASTOS, EN UNA EXPLOTACIÓN GANADERA ECOLÓGICA, APLICANDO CRITERIOS DE CALIDAD, SOSTENIBILIDAD Y RENTABILIDAD, CUMPLIENDO CON LA NORMATIVA DE PRODUCCIÓN ECOLÓGICA, DE CONTROL DE CALIDAD Y DE PREVENCIÓN DE RIESGOS LABORALES APLICABLES.",PRODUCCIÓN PECUARIA,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
OPERACIONES ESPECIALIZADAS EN EXTRACCIÓN DE ACEITES Y SEMILLAS,"REALIZAR OPERACIONES PARA LA EXTRACCION DE ACEITES Y GRASAS COMESTIBLES DE SEMILLAS DE ACUERDO A NORMAS DE CALIDAD, HIGIENE Y SEGURIDAD EN EL TRABAJO E INOCUIDAD ALIMENTARIA.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
CULTIVO Y RECOLECCIÓN COSTERA,"REALIZAR EL CULTIVO DE ALGAS EN ÁREAS DEFINIDAS Y RECOLECCIÓN DE ESPECIES BENTÓNICAS ASOCIADAS POR EXTRACCIÓN DIRECTA DESDE LAS ÁREAS CERCANAS A LA COSTA, SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS PARA ESTE TIPO DE FAENAS Y RESPETANDO LA NORMATIVA DE SEGURIDAD, SALUD Y MEDIO AMBIENTE VIGENTES.","PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA
SUPERVISIÓN DE BUCEO,"REALIZAR LA CONSTRUCCIÓN DE ELEMENTOS MECÁNICOS COMPLEJOS, AJUSTES DE PRECISIÓN Y LA VERIFICACIÓN DE LA FUNCIONALIDAD DE PIEZAS, MOLDES Y MATRICES UTILIZANDO HERRAMIENTAS MANUALES Y MAQUINAS HERRAMIENTAS CONVENCIONALES Y ESPECIALIZADAS.","PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA
BELLEZA,REALIZAR PROCEDIMIENTOS DE BELLEZA RESALTANDO RASGOS FÍSICOS DE UNA PERSONA DE ACUERDO A ESTILOS Y TENDENCIAS.,ACTIVIDADES COMUNITARIAS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
APLICACIÓN DE BARNICES Y LACAS EN ELEMENTOS DE CARPINTERÍA Y MUEBLE,"COLABORAR EN LA PREPARACIÓN DE LOS EQUIPOS PARA EFECTUAR LA APLICACIÓN DE PRODUCTOS DE ACABADO, ACONDICIONAR LA SUPERFICIE PARA LA APLICACIÓN DEL PRODUCTO FINAL Y CONTROLAR EL SECADO, CONSIGUIENDO LA CALIDAD REQUERIDA EN CONDICIONES DE SEGURIDAD Y SALUD LABORAL.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE MUEBLES
GALPONERÍA DE GRANJA DE POLLOS DE ENGORDE,"REALIZAR EL PROCESO DE CRIANZA DE LAS AVES, ESTO ES: ALISTAR LA GRANJA, RECIBIR LOS POLLITOS Y CUIDARLOS DESDE LA LLEGADA HASTA EL DESPACHO, CUIDAR EL CUMPLIMIENTO DE LAS NORMAS DE BIOSEGURIDAD Y REGISTRAR LA INFORMACIÓN.",PRODUCCIÓN PECUARIA,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
