perfil,familia,sector
OPERACIONES DE ANÁLISIS DE PROCESOS DE PRODUCCIÓN DE BEBIDAS,PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS
OPERACIONES AUXILIARES EN PRODUCCIÓN DE BEBIDAS,PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS
OPERACIONES DE MANTENIMIENTO Y REPARACIÓN DE MÁQUINAS Y EQUIPOS PARA LA INDUSTRIA ALIMENTARIA,PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS
MANIPULACIÓN Y PREPARACIÓN DE ALIMENTOS PARA EL TURISMO COMUNITARIO,TURISMO Y ALIMENTACIÓN,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
MOLDEADO EN FUNDICIÓN DE ARENA,METALMECÁNICA,FABRICACIÓN DE METALES COMUNES
OPERACIONES AUXILIARES DE TOPOGRAFÍA (CADENERO),"MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS
TÉCNICAS DE MANEJO DE GANADO LECHERO,PRODUCCIÓN PECUARIA,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
CONFECCIÓN TEXTIL,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRENDAS DE VESTIR
CURTIDURÍA,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS
CONTROL DE CALIDAD EN ACTIVIDADES DE FUNDICIÓN,METALMECÁNICA,FABRICACIÓN DE METALES COMUNES
OPERACIONES DE ANÁLISIS DE PROCESOS DE PRODUCCIÓN DE BEBIDAS,PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS
OPERACIONES AUXILIARES EN PRODUCCIÓN DE BEBIDAS,PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS
OPERACIONES DE MANTENIMIENTO Y REPARACIÓN DE MÁQUINAS Y EQUIPOS PARA LA INDUSTRIA ALIMENTARIA,PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS
MANIPULACIÓN Y PREPARACIÓN DE ALIMENTOS PARA EL TURISMO COMUNITARIO,TURISMO Y ALIMENTACIÓN,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
MOLDEADO EN FUNDICIÓN DE ARENA,METALMECÁNICA,FABRICACIÓN DE METALES COMUNES
OPERACIONES AUXILIARES DE TOPOGRAFÍA (CADENERO),"MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS
TÉCNICAS DE MANEJO DE GANADO LECHERO,PRODUCCIÓN PECUARIA,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
CONFECCIÓN TEXTIL,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRENDAS DE VESTIR
CURTIDURÍA,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS
CONTROL DE CALIDAD EN ACTIVIDADES DE FUNDICIÓN,METALMECÁNICA,FABRICACIÓN DE METALES COMUNES
FUSIÓN Y COLADA,METALMECÁNICA,FABRICACIÓN DE METALES COMUNES
OPERACIONES DE ENSAMBLADO METÁLICO,METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
OPERACIONES DE PRENSADO,METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
MECÁNICA DE AVIACIÓN,"VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",FABRICACIÓN DE OTROS TIPOS DE EQUIPOS DE TRANSPORTE
METROLOGÍA EN PROCESOS DE CALIBRACIÓN,"VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
TRANSPORTE DE MATERIALES PARA ACTIVIDADES MINERAS,"MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS
OPERACIONES DE TRANSPORTE EN MINA,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
ASISTENCIA EN LA GESTIÓN DE SEGURIDAD Y SALUD EN EL TRABAJO,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN
GESTIÓN EN SEGURIDAD Y PREVENCIÓN DE RIESGOS LABORALES,"TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN
OPERACIONES MECÁNICAS EN CAMPAMENTO,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
OPERACIONES MECÁNICAS EN MINA,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
OPERACIONES MECÁNICAS EQUIPOS DE MINA,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
PREPARACIÓN Y SERVICIO DE BEBIDAS EN BAR (BARMAN),TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
DIRECCIÓN DE MESEROS,TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
OPERACIONES DE TRANSPORTE CON VOLQUETE EN MINA,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
AGENTE DE VENTAS - NTE INEN 2 445: 2008,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS"
VENTAS E INFORMACIÓN TURÍSTICA,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS"
GUIA ESPECIALIZADO EN TURISMO CULTURAL - NTE INEN 2 462: 2008,TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS"
COORDINACION DE CENTRO INFANTIL DEL BUEN VIVIR (CIBV),ACTIVIDADES DE ENSEÑANZA,ENSEÑANZA
ELABORACIÓN DE PRODUCTOS A BASE DE CHOCOLATE,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
TÉCNICAS EN SERVICIO PARA HOTELES BARES Y RESTAURANTES,TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO
COMERCIALIZACIÓN Y VENTAS A NIVEL INTERNACIONAL,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
OPERACIONES DE MÁQUINA DE PRENSADO DE CACAO,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
CHEF PASTELERO - PANADERO - NTE INEN 2 457: 2008,TURISMO Y ALIMENTACIÓN,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES ESPECIALIZADAS EN ELABORACIÓN DE FRUTOS SECOS,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
EDUCACION DE CENTRO INFANTIL DEL BUEN VIVIR,ACTIVIDADES DE ENSEÑANZA,ENSEÑANZA
RECEPCIÓN Y ATENCIÓN DE CLIENTES EN SERVICIOS DE ALOJAMIENTO,TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO
ENCARGADO DE MANTENIMIENTO - NTE INEN 2 434: 2008,TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS"
SEGURIDAD ALIMENTARIA PARA PERSONAL OPERATIVO - NTE INEN 2 458: 2008,TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
PANADERÍA,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
"ALMACENAMIENTO, EXPEDICIÓN Y VENTA DE PRODUCTOS Y/O SERVICIOS",COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
PREPARACIONES GASTRONÓMICAS DE COCINA,TURISMO Y ALIMENTACIÓN,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES DE MÁQUINA DE TOSTADO MOLIENDA Y REFINADO DE CACAO,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES DEL PROCESAMIENTO DE PRODUCTOS LÁCTEOS,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
GESTIÓN CULINARIA (CHEF DE COCINA),TURISMO Y ALIMENTACIÓN,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES AUXILIARES EN PROSPECCIÓN Y EXPLORACIÓN GEOLÓGICA,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
MANIPULACIÓN DE CABLEADO ELÉCTRICO EN MINA,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
OPERACIONES DE MANTENIMIENTO DE PLANTA,"VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
