time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-29 12:46:14.984743,0,pcci,0,0,0,0,4922,0,0,0,START PROGRAM
2023-01-29 12:46:37.119856,0,pcci,1,0,0,0,4922,0,0,0,"Page Loaded, Go to Page"
2023-01-29 12:46:37.125849,0,pcci,1,0,0,0,4922,0,0,0,Resume Mining
2023-01-29 12:46:38.135690,0,pcci,1,0,0,0,4922,0,0,0,CSV Not Found
2023-01-29 12:46:42.211947,0,pcci,1,0,0,0,4922,1,10,5,Saved Data
2023-01-29 12:46:50.780332,0,pcci,1,0,0,0,4922,2,20,5,Saved Data
2023-01-29 12:46:59.308178,0,pcci,1,0,0,0,4922,3,30,5,Saved Data
2023-01-29 12:47:07.400043,0,pcci,1,0,0,0,4922,4,40,5,Saved Data
2023-01-29 12:47:15.032055,0,pcci,1,0,0,0,4922,5,50,5,Saved Data
2023-01-29 12:47:19.273962,0,pcci,1,0,0,0,4922,6,60,5,Saved Data
2023-01-29 12:47:24.229229,0,pcci,1,0,0,0,4922,7,70,5,Saved Data
2023-01-29 12:47:29.458888,0,pcci,1,0,0,0,4922,8,80,5,Saved Data
2023-01-29 12:47:33.857161,0,pcci,1,0,0,0,4922,9,90,5,Saved Data
2023-01-29 12:47:39.941569,0,pcci,1,0,0,0,4922,10,100,5,Saved Data
2023-01-29 12:47:44.900045,0,pcci,1,0,0,0,4922,11,110,5,Saved Data
2023-01-29 12:47:54.587322,0,pcci,1,0,0,0,4922,12,120,5,Saved Data
2023-01-29 12:48:00.518837,0,pcci,1,0,0,0,4922,13,130,5,Saved Data
2023-01-29 12:48:15.614305,0,pcci,1,0,0,0,4922,14,140,5,Saved Data
2023-01-29 12:48:39.549997,0,pcci,1,0,0,0,4922,15,150,5,Saved Data
2023-01-29 12:48:55.112131,0,pcci,1,0,0,0,4922,16,160,5,Saved Data
2023-01-29 12:49:00.312708,0,pcci,1,0,0,0,4922,17,170,5,Saved Data
2023-01-29 12:49:06.577088,0,pcci,1,0,0,0,4922,18,180,5,Saved Data
2023-01-29 12:49:30.317979,0,pcci,1,0,0,0,4922,19,190,5,Saved Data
2023-01-29 12:49:33.161465,0,pcci,1,0,0,0,4922,20,200,5,Saved Data
2023-01-29 12:49:55.997040,0,pcci,1,0,0,0,4922,21,210,5,Saved Data
2023-01-29 12:49:59.186769,0,pcci,1,0,0,0,4922,22,220,5,Saved Data
2023-01-29 12:50:01.696712,0,pcci,1,0,0,0,4922,23,230,5,Saved Data
2023-01-29 12:50:04.119038,0,pcci,1,0,0,0,4922,24,240,5,Saved Data
2023-01-29 12:50:06.933723,0,pcci,1,0,0,0,4922,25,250,5,Saved Data
2023-01-29 12:50:09.565687,0,pcci,1,0,0,0,4922,26,260,5,Saved Data
2023-01-29 12:50:11.392382,0,pcci,1,0,0,0,4922,27,270,5,Saved Data
2023-01-29 12:50:21.126082,0,pcci,1,0,0,0,4922,28,280,5,Saved Data
2023-01-29 12:50:31.035307,0,pcci,1,0,0,0,4922,29,290,5,Saved Data
2023-01-29 12:50:48.529909,0,pcci,1,0,0,0,4922,30,300,5,Saved Data
2023-01-29 12:50:50.862543,0,pcci,1,0,0,0,4922,31,310,5,Saved Data
2023-01-29 12:50:52.555376,0,pcci,1,0,0,0,4922,32,320,5,Saved Data
2023-01-29 12:50:55.440405,0,pcci,1,0,0,0,4922,33,330,5,Saved Data
2023-01-29 12:50:59.351418,0,pcci,1,0,0,0,4922,34,340,5,Saved Data
2023-01-29 12:51:12.287354,0,pcci,1,0,0,0,4922,35,350,5,Saved Data
2023-01-29 12:51:58.994782,0,pcci,1,0,0,0,4922,36,360,5,Saved Data
2023-01-29 12:52:24.523967,0,pcci,1,0,0,0,4922,37,370,5,Saved Data
2023-01-29 12:52:30.112740,0,pcci,1,0,0,0,4922,38,380,5,Saved Data
2023-01-29 12:52:46.237807,0,pcci,1,0,0,0,4922,39,390,5,Saved Data
2023-01-29 12:53:10.813642,0,pcci,1,0,0,0,4922,40,400,5,Saved Data
2023-01-29 12:53:13.775444,0,pcci,1,0,0,0,4922,41,410,5,Saved Data
2023-01-29 12:53:16.510001,0,pcci,1,0,0,0,4922,42,420,5,Saved Data
2023-01-29 12:53:34.192929,0,pcci,1,0,0,0,4922,43,430,5,Saved Data
2023-01-29 12:53:48.744415,0,pcci,1,0,0,0,4922,44,440,5,Saved Data
2023-01-29 12:53:52.411304,0,pcci,1,0,0,0,4922,45,450,5,Saved Data
2023-01-29 12:53:55.971915,0,pcci,1,0,0,0,4922,46,460,5,Saved Data
2023-01-29 12:53:59.461080,0,pcci,1,0,0,0,4922,47,470,5,Saved Data
2023-01-29 12:54:23.482427,0,pcci,1,0,0,0,4922,48,480,5,Saved Data
2023-01-29 12:54:47.440004,0,pcci,1,0,0,0,4922,49,490,5,Saved Data
2023-01-29 12:55:11.107859,0,pcci,1,0,0,0,4922,50,500,5,Saved Data
2023-01-29 12:55:46.348443,0,pcci,1,0,0,0,4922,51,510,5,Saved Data
2023-01-29 12:55:59.691724,0,pcci,1,0,0,0,4922,52,520,5,Saved Data
2023-01-29 12:56:13.971943,0,pcci,1,0,0,0,4922,53,530,5,Saved Data
2023-01-29 12:56:17.260622,0,pcci,1,0,0,0,4922,54,540,5,Saved Data
2023-01-29 12:56:42.068413,0,pcci,1,0,0,0,4922,55,550,5,Saved Data
2023-01-29 12:56:46.090466,0,pcci,1,0,0,0,4922,56,560,5,Saved Data
2023-01-29 12:56:47.588604,0,pcci,1,0,0,0,4922,57,570,5,Saved Data
2023-01-29 12:56:49.889303,0,pcci,1,0,0,0,4922,58,580,5,Saved Data
2023-01-29 12:56:53.085313,0,pcci,1,0,0,0,4922,59,590,5,Saved Data
2023-01-29 12:56:55.852128,0,pcci,1,0,0,0,4922,60,600,5,Saved Data
2023-01-29 12:56:58.656813,0,pcci,1,0,0,0,4922,61,610,5,Saved Data
2023-01-29 12:57:01.854570,0,pcci,1,0,0,0,4922,62,620,5,Saved Data
2023-01-29 12:57:04.586435,0,pcci,1,0,0,0,4922,63,630,5,Saved Data
2023-01-29 12:57:07.793582,0,pcci,1,0,0,0,4922,64,640,5,Saved Data
2023-01-29 12:57:11.532894,0,pcci,1,0,0,0,4922,65,650,5,Saved Data
2023-01-29 12:57:15.835570,0,pcci,1,0,0,0,4922,66,660,5,Saved Data
2023-01-29 12:57:19.535133,0,pcci,1,0,0,0,4922,67,670,5,Saved Data
2023-01-29 12:57:23.550666,0,pcci,1,0,0,0,4922,68,680,5,Saved Data
2023-01-29 12:57:27.481743,0,pcci,1,0,0,0,4922,69,690,5,Saved Data
2023-01-29 12:57:30.929298,0,pcci,1,0,0,0,4922,70,700,5,Saved Data
2023-01-29 12:57:33.797014,0,pcci,1,0,0,0,4922,71,710,5,Saved Data
2023-01-29 12:57:36.166509,0,pcci,1,0,0,0,4922,72,720,5,Saved Data
2023-01-29 12:57:38.152964,0,pcci,1,0,0,0,4922,73,730,5,Saved Data
2023-01-29 12:57:41.840793,0,pcci,1,0,0,0,4922,74,740,5,Saved Data
2023-01-29 12:57:45.983580,0,pcci,1,0,0,0,4922,75,750,5,Saved Data
2023-01-29 12:57:50.235875,0,pcci,1,0,0,0,4922,76,760,5,Saved Data
2023-01-29 12:57:54.530137,0,pcci,1,0,0,0,4922,77,770,5,Saved Data
2023-01-29 12:57:59.135311,0,pcci,1,0,0,0,4922,78,780,5,Saved Data
2023-01-29 12:58:04.044836,0,pcci,1,0,0,0,4922,79,790,5,Saved Data
2023-01-29 12:58:06.429339,0,pcci,1,0,0,0,4922,80,800,5,Saved Data
2023-01-29 12:58:09.058048,0,pcci,1,0,0,0,4922,81,810,5,Saved Data
2023-01-29 12:58:13.970263,0,pcci,1,0,0,0,4922,82,820,5,Saved Data
2023-01-29 12:58:20.466378,0,pcci,1,0,0,0,4922,83,830,5,Saved Data
2023-01-29 12:58:29.086209,0,pcci,1,0,0,0,4922,84,840,5,Saved Data
2023-01-29 12:58:36.546045,0,pcci,1,0,0,0,4922,85,850,5,Saved Data
2023-01-29 12:58:44.499056,0,pcci,1,0,0,0,4922,86,860,5,Saved Data
2023-01-29 12:58:52.412046,0,pcci,1,0,0,0,4922,87,870,5,Saved Data
2023-01-29 12:59:00.632292,0,pcci,1,0,0,0,4922,88,880,5,Saved Data
2023-01-29 12:59:10.145726,0,pcci,1,0,0,0,4922,89,890,5,Saved Data
2023-01-29 12:59:22.078167,0,pcci,1,0,0,0,4922,90,900,5,Saved Data
2023-01-29 12:59:34.868064,0,pcci,1,0,0,0,4922,91,910,5,Saved Data
2023-01-29 12:59:44.229618,0,pcci,1,0,0,0,4922,92,920,5,Saved Data
2023-01-29 12:59:53.558969,0,pcci,1,0,0,0,4922,93,930,5,Saved Data
2023-01-29 13:00:01.925797,0,pcci,1,0,0,0,4922,94,940,5,Saved Data
2023-01-29 13:00:12.276969,0,pcci,1,0,0,0,4922,95,950,5,Saved Data
2023-01-29 13:00:20.603242,0,pcci,1,0,0,0,4922,96,960,5,Saved Data
2023-01-29 13:00:29.136545,0,pcci,1,0,0,0,4922,97,970,5,Saved Data
2023-01-29 13:00:35.707305,0,pcci,1,0,0,0,4922,98,980,5,Saved Data
2023-01-29 13:00:46.637196,0,pcci,1,0,0,0,4922,99,990,5,Saved Data
2023-01-29 13:00:56.444459,0,pcci,1,0,0,0,4922,100,1000,5,Saved Data
2023-01-29 13:01:16.017939,0,pcci,1,0,0,0,4922,101,1010,5,Saved Data
2023-01-29 13:01:27.670151,0,pcci,1,0,0,0,4922,102,1020,5,Saved Data
2023-01-29 13:01:37.874621,0,pcci,1,0,0,0,4922,103,1030,5,Saved Data
2023-01-29 13:01:51.736728,0,pcci,1,0,0,0,4922,104,1040,5,Saved Data
2023-01-29 13:02:03.581284,0,pcci,1,0,0,0,4922,105,1050,5,Saved Data
2023-01-29 13:02:16.400373,0,pcci,1,0,0,0,4922,106,1060,5,Saved Data
2023-01-29 13:02:23.074206,0,pcci,1,0,0,0,4922,107,1070,5,Saved Data
2023-01-29 13:02:30.851697,0,pcci,1,0,0,0,4922,108,1080,5,Saved Data
2023-01-29 13:02:39.295777,0,pcci,1,0,0,0,4922,109,1090,5,Saved Data
2023-01-29 13:02:47.727854,0,pcci,1,0,0,0,4922,110,1100,5,Saved Data
2023-01-29 13:02:54.639080,0,pcci,1,0,0,0,4922,111,1110,5,Saved Data
2023-01-29 13:03:04.833902,0,pcci,1,0,0,0,4922,112,1120,5,Saved Data
2023-01-29 13:03:13.729990,0,pcci,1,0,0,0,4922,113,1130,5,Saved Data
2023-01-29 13:03:22.163038,0,pcci,1,0,0,0,4922,114,1140,5,Saved Data
2023-01-29 13:03:32.736685,0,pcci,1,0,0,0,4922,115,1150,5,Saved Data
2023-01-29 13:03:41.922646,0,pcci,1,0,0,0,4922,116,1160,5,Saved Data
2023-01-29 13:03:50.494279,0,pcci,1,0,0,0,4922,117,1170,5,Saved Data
2023-01-29 13:03:59.031789,0,pcci,1,0,0,0,4922,118,1180,5,Saved Data
2023-01-29 13:04:08.889886,0,pcci,1,0,0,0,4922,119,1190,5,Saved Data
2023-01-29 13:04:18.139187,0,pcci,1,0,0,0,4922,120,1200,5,Saved Data
2023-01-29 13:04:26.489200,0,pcci,1,0,0,0,4922,121,1210,5,Saved Data
2023-01-29 13:04:35.313517,0,pcci,1,0,0,0,4922,122,1220,5,Saved Data
2023-01-29 13:04:44.156652,0,pcci,1,0,0,0,4922,123,1230,5,Saved Data
2023-01-29 13:04:53.474271,0,pcci,1,0,0,0,4922,124,1240,5,Saved Data
2023-01-29 13:05:04.068913,0,pcci,1,0,0,0,4922,125,1250,5,Saved Data
2023-01-29 13:05:16.062119,0,pcci,1,0,0,0,4922,126,1260,5,Saved Data
2023-01-29 13:05:26.761375,0,pcci,1,0,0,0,4922,127,1270,5,Saved Data
2023-01-29 13:05:36.385083,0,pcci,1,0,0,0,4922,128,1280,5,Saved Data
2023-01-29 13:05:46.603740,0,pcci,1,0,0,0,4922,129,1290,5,Saved Data
2023-01-29 13:05:57.305263,0,pcci,1,0,0,0,4922,130,1300,5,Saved Data
2023-01-29 13:06:05.150896,0,pcci,1,0,0,0,4922,131,1310,5,Saved Data
2023-01-29 13:06:11.300829,0,pcci,1,0,0,0,4922,132,1320,5,Saved Data
2023-01-29 13:06:17.835207,0,pcci,1,0,0,0,4922,133,1330,5,Saved Data
2023-01-29 13:06:24.084628,0,pcci,1,0,0,0,4922,134,1340,5,Saved Data
2023-01-29 13:06:29.343756,0,pcci,1,0,0,0,4922,135,1350,5,Saved Data
2023-01-29 13:06:35.843217,0,pcci,1,0,0,0,4922,136,1360,5,Saved Data
2023-01-29 13:06:42.626401,0,pcci,1,0,0,0,4922,137,1370,5,Saved Data
2023-01-29 13:06:49.131336,0,pcci,1,0,0,0,4922,138,1380,5,Saved Data
2023-01-29 13:06:55.066318,0,pcci,1,0,0,0,4922,139,1390,5,Saved Data
2023-01-29 13:07:01.830538,0,pcci,1,0,0,0,4922,140,1400,5,Saved Data
2023-01-29 13:07:08.694240,0,pcci,1,0,0,0,4922,141,1410,5,Saved Data
2023-01-29 13:07:15.897787,0,pcci,1,0,0,0,4922,142,1420,5,Saved Data
2023-01-29 13:07:23.859302,0,pcci,1,0,0,0,4922,143,1430,5,Saved Data
2023-01-29 13:07:31.151267,0,pcci,1,0,0,0,4922,144,1440,5,Saved Data
2023-01-29 13:07:38.197960,0,pcci,1,0,0,0,4922,145,1450,5,Saved Data
2023-01-29 13:07:44.726106,0,pcci,1,0,0,0,4922,146,1460,5,Saved Data
