time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-29 12:46:14.995770,3,pcci,0,0,0,14766,19688,14766,0,0,START PROGRAM
2023-01-29 12:46:39.208065,3,pcci,1,0,0,14766,19688,14766,0,0,"Page Loaded, Go to Page"
2023-01-29 13:13:51.242165,3,pcci,1,0,0,14766,19688,13595,0,0,Check Expired session in FIND LAST PAGE MINED
2023-01-29 13:15:21.086631,3,pcci,1,0,0,14766,19688,14766,0,0,Resume Mining
2023-01-29 13:15:22.106233,3,pcci,1,0,0,14766,19688,14766,0,0,CSV Not Found
2023-01-29 13:31:38.294022,3,pcci,1,0,0,14766,19688,14943,1780,5,Saved Data
2023-01-29 15:12:10.196993,3,pcci,1,0,0,14766,19688,14943,0,0,Check Expired session in FIND LAST PAGE DETAIL MINED
2023-01-29 16:13:56.017592,3,pcci,1,0,0,14766,19688,14943,0,0,RESTART PROGRAM
2023-01-29 16:14:36.533220,3,pcci,2,0,0,14766,19688,14943,0,0,"Page Loaded, Go to Page"
2023-01-29 16:42:30.025860,3,pcci,2,0,0,14766,19688,14503,0,0,Check Expired session in FIND LAST PAGE MINED
2023-01-29 16:43:02.431126,3,pcci,2,0,0,14766,19688,14943,0,0,Resume Mining
2023-01-29 16:59:36.216393,3,pcci,2,0,0,14766,19688,15130,3660,5,Saved Data
2023-01-29 22:59:40.179189,3,pcci,2,0,0,14766,19688,15130,3660,5,RESTART PROGRAM
2023-01-29 23:00:13.003853,3,pcci,3,0,0,14766,19688,15130,3660,5,"Portal Web Loaded, Go to Page"
2023-01-29 23:37:22.510486,3,pcci,3,0,0,14766,19688,15130,3660,5,Check Expired session in FIND LAST PAGE MINED
2023-01-29 23:37:51.554882,3,pcci,3,0,0,14766,19688,15130,3660,5,Resume Mining
2023-01-29 23:45:12.927437,3,pcci,3,0,0,14766,19688,15186,4240,5,Saved Data
2023-01-29 23:45:13.603193,3,pcci,3,0,0,14766,19688,15186,3660,5,Fail Click
2023-01-29 23:45:13.615196,3,pcci,3,0,0,14766,19688,15186,3660,5,End Session
2023-01-29 23:45:32.712151,3,pcci,3,0,0,14766,19688,15186,3660,5,RESTART PROGRAM
2023-01-29 23:45:53.609889,3,pcci,4,0,0,14766,19688,15186,3660,5,"Portal Web Loaded, Go to Page"
2023-01-30 00:20:35.478507,3,pcci,4,0,0,14766,19688,15186,3660,5,Check Expired session in FIND LAST PAGE MINED
2023-01-30 00:21:01.215239,3,pcci,4,0,0,14766,19688,15186,3660,5,Resume Mining
2023-01-30 00:30:52.144932,3,pcci,4,0,0,14766,19688,15295,5340,5,Saved Data
2023-01-30 00:33:24.313609,3,pcci,4,0,0,14766,19688,15295,3660,5,Check Expired session in FIND LAST PAGE DETAIL MINED
2023-01-30 00:33:24.389459,3,pcci,4,0,1,14766,19688,15295,3660,5,Expired session
2023-01-30 00:33:54.482267,3,pcci,4,0,1,14766,19688,15295,3660,5,Fail Click
2023-01-30 00:33:54.488268,3,pcci,4,0,1,14766,19688,15295,3660,5,End Session
2023-01-30 00:34:13.259258,3,pcci,4,0,1,14766,19688,15295,3660,5,RESTART PROGRAM
2023-01-30 00:34:32.369578,3,pcci,5,0,1,14766,19688,15295,3660,5,"Portal Web Loaded, Go to Page"
2023-01-30 01:19:37.414526,3,pcci,5,0,1,14766,19688,15295,3660,5,Check Expired session in FIND LAST PAGE MINED
2023-01-30 08:16:43.934732,3,pcci,5,0,1,14766,19688,15295,3660,5,RESTART PROGRAM
2023-01-30 08:17:31.030267,3,pcci,6,0,1,14766,19688,15295,3660,5,"Portal Web Loaded, Go to Page"
2023-01-30 21:59:49.314498,3,pcci,6,0,1,14766,19688,15295,3660,5,Check Expired session in FIND LAST PAGE MINED
