time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-01-30 01:00:27.268882,2,pcoc,0,0,0,6122,9183,6122,0,0,START PROGRAM
2023-01-30 08:16:51.876732,2,pcoc,0,0,0,6122,9183,6122,0,0,RESTART PROGRAM
2023-01-30 08:18:43.420126,2,pcoc,1,0,0,6122,9183,6122,0,0,"Portal Web Loaded, Go to Page"
2023-01-30 08:19:44.783898,2,pcoc,1,0,0,6122,9183,6122,0,0,Check Expired session in FIND LAST PAGE MINED
2023-01-30 08:19:45.076904,2,pcoc,1,1,0,6122,9183,6122,0,0,falied session
2023-01-30 08:19:49.265455,2,pcoc,1,1,0,6122,9183,6122,0,0,RESTART PROGRAM
2023-01-30 08:21:44.895696,2,pcoc,2,1,0,6122,9183,6122,0,0,"Portal Web Loaded, Go to Page"
2023-01-30 08:22:20.395009,2,pcoc,2,1,0,6122,9183,6122,0,0,Check Expired session in FIND LAST PAGE MINED
2023-01-30 08:22:20.742347,2,pcoc,2,2,0,6122,9183,6122,0,0,falied session
2023-01-30 08:22:25.255423,2,pcoc,2,2,0,6122,9183,6122,0,0,RESTART PROGRAM
2023-01-30 08:40:09.152596,2,pcoc,22,21,0,6122,9183,6122,0,0,"Portal Web Loaded, Go to Page"
2023-01-30 09:26:06.054007,2,pcoc,22,21,0,6122,9183,6122,0,0,Check Expired session in FIND LAST PAGE MINED
2023-01-30 09:26:06.870400,2,pcoc,22,21,1,6122,9183,6122,0,0,Expired session
2023-01-30 09:26:09.620053,2,pcoc,22,21,1,6122,9183,6122,0,0,RESTART PROGRAM
2023-01-30 09:32:19.553751,2,pcoc,25,23,1,6122,9183,6122,0,0,"Portal Web Loaded, Go to Page"
2023-01-30 10:21:55.715784,2,pcoc,25,23,1,6122,9183,6122,0,0,Check Expired session in FIND LAST PAGE MINED
2023-01-30 10:21:55.778286,2,pcoc,25,23,2,6122,9183,6122,0,0,Expired session
2023-01-30 10:22:05.628169,2,pcoc,25,23,2,6122,9183,6122,0,0,RESTART PROGRAM
2023-01-30 10:29:58.429425,2,pcoc,27,24,2,6122,9183,6122,0,0,"Portal Web Loaded, Go to Page"
2023-01-30 10:30:33.790603,2,pcoc,27,24,2,6122,9183,6122,0,0,Check Expired session in FIND LAST PAGE MINED
2023-01-30 10:30:34.385142,2,pcoc,27,25,2,6122,9183,6122,0,0,falied session
2023-01-30 10:30:56.576678,2,pcoc,27,25,2,6122,9183,6122,0,0,RESTART PROGRAM
2023-01-30 10:35:11.048982,2,pcoc,29,26,2,6122,9183,6122,0,0,"Portal Web Loaded, Go to Page"
2023-01-30 10:35:46.235727,2,pcoc,29,26,2,6122,9183,6122,0,0,Check Expired session in FIND LAST PAGE MINED
2023-01-30 10:35:46.343666,2,pcoc,29,27,2,6122,9183,6122,0,0,falied session
2023-01-30 10:35:48.693795,2,pcoc,29,27,2,6122,9183,6122,0,0,RESTART PROGRAM
2023-01-30 10:44:13.642912,2,pcoc,33,30,2,6122,9183,6122,0,0,"Portal Web Loaded, Go to Page"
