time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-02-03 23:08:28.745723,1,pcoec,0,0,0,4928,9856,4928,0,0,START PROGRAM
2023-02-03 23:10:29.336598,1,pcoec,8,7,0,4928,9856,4928,0,0,"Portal Web Loaded, Go to Page"
2023-02-03 23:57:27.373324,1,pcoec,8,7,0,4928,9856,4928,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-03 23:57:27.499034,1,pcoec,8,7,1,4928,9856,4928,0,0,Expired session
2023-02-03 23:57:36.635088,1,pcoec,8,7,1,4928,9856,4928,0,0,RESTART PROGRAM
2023-02-03 23:58:45.323230,1,pcoec,9,7,1,4928,9856,4928,0,0,"Portal Web Loaded, Go to Page"
2023-02-03 23:59:40.170400,1,pcoec,9,7,1,4928,9856,4928,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-03 23:59:57.009769,1,pcoec,9,8,1,4928,9856,4928,0,0,falied session
2023-02-04 00:00:11.599264,1,pcoec,9,8,1,4928,9856,4928,0,0,RESTART PROGRAM
2023-02-04 00:01:34.457762,1,pcoec,10,8,1,4928,9856,4928,0,0,"Portal Web Loaded, Go to Page"
2023-02-04 00:02:30.591393,1,pcoec,10,8,1,4928,9856,4928,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-04 00:02:30.658570,1,pcoec,10,9,1,4928,9856,4928,0,0,falied session
2023-02-04 00:02:35.500412,1,pcoec,10,9,1,4928,9856,4928,0,0,RESTART PROGRAM
2023-02-04 00:04:18.656400,1,pcoec,11,9,1,4928,9856,4928,0,0,"Portal Web Loaded, Go to Page"
2023-02-04 00:04:54.278182,1,pcoec,11,9,1,4928,9856,4928,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-04 00:04:54.614626,1,pcoec,11,10,1,4928,9856,4928,0,0,falied session
2023-02-04 00:05:10.119489,1,pcoec,11,10,1,4928,9856,4928,0,0,RESTART PROGRAM
