time_bot,id_bot,doc_name,session,failed_session,expired_session,start_page,end_page,page,n_rows,n_cols,message
2023-02-03 23:08:28.745723,1,pcoec,0,0,0,4928,9856,4928,0,0,START PROGRAM
2023-02-03 23:10:29.336598,1,pcoec,8,7,0,4928,9856,4928,0,0,"Portal Web Loaded, Go to Page"
2023-02-03 23:57:27.373324,1,pcoec,8,7,0,4928,9856,4928,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-03 23:57:27.499034,1,pcoec,8,7,1,4928,9856,4928,0,0,Expired session
2023-02-03 23:57:36.635088,1,pcoec,8,7,1,4928,9856,4928,0,0,RESTART PROGRAM
2023-02-03 23:58:45.323230,1,pcoec,9,7,1,4928,9856,4928,0,0,"Portal Web Loaded, Go to Page"
2023-02-03 23:59:40.170400,1,pcoec,9,7,1,4928,9856,4928,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-03 23:59:57.009769,1,pcoec,9,8,1,4928,9856,4928,0,0,falied session
2023-02-04 00:00:11.599264,1,pcoec,9,8,1,4928,9856,4928,0,0,RESTART PROGRAM
2023-02-04 00:01:34.457762,1,pcoec,10,8,1,4928,9856,4928,0,0,"Portal Web Loaded, Go to Page"
2023-02-04 00:02:30.591393,1,pcoec,10,8,1,4928,9856,4928,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-04 00:02:30.658570,1,pcoec,10,9,1,4928,9856,4928,0,0,falied session
2023-02-04 00:02:35.500412,1,pcoec,10,9,1,4928,9856,4928,0,0,RESTART PROGRAM
2023-02-04 00:04:18.656400,1,pcoec,11,9,1,4928,9856,4928,0,0,"Portal Web Loaded, Go to Page"
2023-02-04 00:04:54.278182,1,pcoec,11,9,1,4928,9856,4928,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-04 00:04:54.614626,1,pcoec,11,10,1,4928,9856,4928,0,0,falied session
2023-02-09 14:19:52.525309,1,pcoec,11,10,1,4928,9856,4928,0,0,RESTART PROGRAM
2023-02-09 14:29:25.855358,1,pcoec,15,13,1,4928,9856,4928,0,0,"Portal Web Loaded, Go to Page"
2023-02-09 14:30:01.159782,1,pcoec,15,13,1,4928,9856,4928,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-09 14:30:01.220010,1,pcoec,15,14,1,4928,9856,4928,0,0,falied session
2023-02-09 14:30:04.329921,1,pcoec,15,14,1,4928,9856,4928,0,0,RESTART PROGRAM
2023-02-09 14:31:51.477615,1,pcoec,16,14,1,4928,9856,4928,0,0,"Portal Web Loaded, Go to Page"
2023-02-09 14:32:26.710324,1,pcoec,16,14,1,4928,9856,4928,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-09 14:32:26.851944,1,pcoec,16,15,1,4928,9856,4928,0,0,falied session
2023-02-09 14:32:32.955531,1,pcoec,16,15,1,4928,9856,4928,0,0,RESTART PROGRAM
2023-02-09 14:36:06.000459,1,pcoec,18,16,1,4928,9856,4928,0,0,"Portal Web Loaded, Go to Page"
2023-02-09 14:36:41.205001,1,pcoec,18,16,1,4928,9856,4928,0,0,Check Expired session in FIND LAST PAGE MINED
2023-02-09 14:36:41.318813,1,pcoec,18,17,1,4928,9856,4928,0,0,falied session
2023-02-09 14:36:43.564789,1,pcoec,18,17,1,4928,9856,4928,0,0,RESTART PROGRAM
2023-02-09 14:39:46.150191,1,pcoec,20,18,1,4928,9856,4928,0,0,"Portal Web Loaded, Go to Page"
2023-02-09 18:04:43.317488,1,pcoec,20,18,1,4928,9856,4928,0,0,Check Expired session in FIND LAST PAGE MINED
