curso,modalidad,carga_horaria,precio,precio_por_hora
programacion python,online,70,280.0,4.0
cyberseguridad ccna,online,70,280.0,4.0
 introduccion redes ccna1,online,70,280.0,4.0
"redes empresariales, seguridad y automatizacion ccna3 ",online,30,100.0,3.33
fundamentos de ciberseguridad,online,70,280.0,4.0
fundamentos iot,online,50,125.0,2.5
analisis de datos redes socialoes,online,30,290.0,9.67
"web y redes sociales seo, sem, analitica",online,30,290.0,9.67
facebook e instagram para emprendedores,online,30,290.0,9.67
biomecanica robotica,online,30,290.0,9.67
"narrativa digital storytelling, copywriting y contenido para medios digitales",online,30,290.0,9.67
ilustrador y photoshop,online,24,290.0,12.08
qlik sense analisis negocios,online,24,380.0,15.83
power bi,online,24,89.0,3.71
power bi query dax,online,24,89.0,3.71
estadistica ,online,12,80.0,6.67
sql analisis de datos,online,16,89.0,5.56
estadistica  de mercados,online,16,50.0,3.12
inteligencia de negocios con power bi,online,32,220.0,6.88
dashboard excel,online,12,100.0,8.33
ofimatica basica,online,24,160.0,6.67
computo forense,online,8,55.0,6.88
big data ,online,120,2800.0,23.33
microsoft project,online,64,390.0,6.09
microsoft project ,presencial,64,870.0,13.59
stata ,presencial,20,210.0,10.5
r basico,presencial,20,210.0,10.5
autocad (basico e intermedio),presencial,20,295.0,14.75
autodesk revit (basico intermedio),presencial,20,210.0,10.5
programacion,presencial,28,250.0,8.93
pentesting seguridad ofensiva,presencial,40,550.0,13.75
"metodologias agiles aplicando scrum, kanban y lean",presencial,16,290.0,18.12
impresion 3d,online,40,90.0,2.25
excel,online,32,102.6666667,3.208333333
excel,presencial,24,79.0,3.291666667
power bi,online,24,99.0,4.125
power bi,presencial,24,99.0,4.125
sql,online,16,90.0,5.625
gerencia de sistemas,online,120,540.0,4.5
gerencia de sistemas,presencial,32,600.0,18.75
python,online,32,120.0,3.75
python,presencial,32,120.0,3.75
machine learning con r,online,40,169.0,4.225
project,online,48,140.0,2.916666667
