id_ubicacion,canton,provincia
101,CUENCA,AZUAY
102,GIRÓN,AZUAY
103,GUALACEO,AZUAY
104,NABÓN,AZUAY
105,PAUTE,AZUAY
106,PUCARA,AZUAY
107,SAN FERNANDO,AZUAY
108,SANTA ISABEL,AZUAY
109,SIGSIG,AZUAY
110,OÑA,AZUAY
111,CHORDELEG,AZUAY
112,EL PAN,AZUAY
113,SEVILLA DE ORO,AZUAY
114,GUACHAPALA,AZUAY
115,CAMILO PONCE ENRÍQUEZ,AZUAY
201,GUARANDA,BOLIVAR
202,CHILLANES,BOLIVAR
203,CHIMBO,BOLIVAR
204,ECHEANDÍA,BOLIVAR
205,SAN MIGUEL,BOLIVAR
206,CALUMA,BOLIVAR
207,LAS NAVES,BOLIVAR
301,AZOGUES,CAÑAR
302,BIBLIÁN,CAÑAR
303,CAÑAR,CAÑAR
304,LA TRONCAL,CAÑAR
305,EL TAMBO,CAÑAR
306,DÉLEG,CAÑAR
307,SUSCAL,CAÑAR
401,TULCÁN,CARCHI
402,BOLÍVAR,CARCHI
403,ESPEJO,CARCHI
404,MIRA,CARCHI
405,MONTÚFAR,CARCHI
406,SAN PEDRO DE HUACA,CARCHI
501,LATACUNGA,COTOPAXI
502,LA MANÁ,COTOPAXI
503,PANGUA,COTOPAXI
504,PUJILI,COTOPAXI
505,SALCEDO,COTOPAXI
506,SAQUISILÍ,COTOPAXI
507,SIGCHOS,COTOPAXI
601,RIOBAMBA,CHIMBORAZO
602,ALAUSI,CHIMBORAZO
603,COLTA,CHIMBORAZO
604,CHAMBO,CHIMBORAZO
605,CHUNCHI,CHIMBORAZO
606,GUAMOTE,CHIMBORAZO
607,GUANO,CHIMBORAZO
608,PALLATANGA,CHIMBORAZO
609,PENIPE,CHIMBORAZO
610,CUMANDÁ,CHIMBORAZO
701,MACHALA,EL ORO
702,ARENILLAS,EL ORO
703,ATAHUALPA,EL ORO
704,BALSAS,EL ORO
705,CHILLA,EL ORO
706,EL GUABO,EL ORO
707,HUAQUILLAS,EL ORO
708,MARCABELÍ,EL ORO
709,PASAJE,EL ORO
710,PIÑAS,EL ORO
711,PORTOVELO,EL ORO
712,SANTA ROSA,EL ORO
713,ZARUMA,EL ORO
714,LAS LAJAS,EL ORO
801,ESMERALDAS,ESMERALDAS
802,ELOY ALFARO,ESMERALDAS
803,MUISNE,ESMERALDAS
804,QUININDÉ,ESMERALDAS
805,SAN LORENZO,ESMERALDAS
806,ATACAMES,ESMERALDAS
807,RIOVERDE,ESMERALDAS
808,LA CONCORDIA,ESMERALDAS
901,GUAYAQUIL,GUAYAS
902,ALFREDO BAQUERIZO MORENO (JUJÁN),GUAYAS
903,BALAO,GUAYAS
904,BALZAR,GUAYAS
905,COLIMES,GUAYAS
906,DAULE,GUAYAS
907,DURÁN,GUAYAS
908,EL EMPALME,GUAYAS
909,EL TRIUNFO,GUAYAS
910,MILAGRO,GUAYAS
911,NARANJAL,GUAYAS
912,NARANJITO,GUAYAS
913,PALESTINA,GUAYAS
914,PEDRO CARBO,GUAYAS
916,SAMBORONDÓN,GUAYAS
918,SANTA LUCÍA,GUAYAS
919,SALITRE (URBINA JADO),GUAYAS
920,SAN JACINTO DE YAGUACHI,GUAYAS
921,PLAYAS,GUAYAS
922,SIMÓN BOLÍVAR,GUAYAS
923,CORONEL MARCELINO MARIDUEÑA,GUAYAS
924,LOMAS DE SARGENTILLO,GUAYAS
925,NOBOL,GUAYAS
927,GENERAL ANTONIO ELIZALDE,GUAYAS
928,ISIDRO AYORA,GUAYAS
1001,IBARRA,IMBABURA
1002,ANTONIO ANTE,IMBABURA
1003,COTACACHI,IMBABURA
1004,OTAVALO,IMBABURA
1005,PIMAMPIRO,IMBABURA
1006,SAN MIGUEL DE URCUQUÍ,IMBABURA
1101,LOJA,LOJA
1102,CALVAS,LOJA
1103,CATAMAYO,LOJA
1104,CELICA,LOJA
1105,CHAGUARPAMBA,LOJA
