perfil,competenecia_laboral,familia,sector,tipo,estado
gestión en fabricación de calzado,"planificar, organizar y controlar la ejecución de fabricación de calzado bajo normas técnicas, estándares de calidad, medio ambiente y seguridad y salud en el trabajo, identificando e implementando mejoras a los procesos de producción.","productos textiles, cuero y calzado",fabricación de cueros y productos conexos,oc,habilitado
manejo de tintes pinturas y acabados de productos de madera y prefabricados,"dar el acabado final a los productos agroforestales y elaborados de madera cumpliendo los estándares de calidad definidos para cada uno de los productos, de acuerdo a la normas de seguridad y salud en el trabajo y manejo ambiental establecidas.",actividades tipo servicios,fabricación de muebles,oc,habilitado
operaciones de grúa portuaria,"trasladar materiales, productos y unidades, apoyado con equipos mecánicos/eléctricos de carga y descarga.","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
gestión pecuaria,"realizar las operaciones de manejo racional del ganado en explotaciones ecológicas, de producción de animales y/o de productos animales ecológicos, así como las de implantación, aprovechamiento, mantenimiento y recolección de cultivos herbáceos y pastos, en una explotación ganadera ecológica, aplicando criterios de calidad, sostenibilidad y rentabilidad, cumpliendo con la normativa de producción ecológica, de control de calidad y de prevención de riesgos laborales aplicables.",producción pecuaria,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
operaciones especializadas en extracción de aceites y semillas,"realizar operaciones para la extraccion de aceites y grasas comestibles de semillas de acuerdo a normas de calidad, higiene y seguridad en el trabajo e inocuidad alimentaria.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
cultivo y recolección costera,"realizar el cultivo de algas en áreas definidas y recolección de especies bentónicas asociadas por extracción directa desde las áreas cercanas a la costa, siguiendo los procedimientos establecidos para este tipo de faenas y respetando la normativa de seguridad, salud y medio ambiente vigentes.","pesca, acuacultura y maricultura",pesca y acuicultura,oc,habilitado
supervisión de buceo,"realizar la construcción de elementos mecánicos complejos, ajustes de precisión y la verificación de la funcionalidad de piezas, moldes y matrices utilizando herramientas manuales y maquinas herramientas convencionales y especializadas.","pesca, acuacultura y maricultura",pesca y acuicultura,oc,habilitado
belleza,realizar procedimientos de belleza resaltando rasgos físicos de una persona de acuerdo a estilos y tendencias.,actividades comunitarias,otras actividades de servicios personales,oc,habilitado
aplicación de barnices y lacas en elementos de carpintería y mueble,"colaborar en la preparación de los equipos para efectuar la aplicación de productos de acabado, acondicionar la superficie para la aplicación del producto final y controlar el secado, consiguiendo la calidad requerida en condiciones de seguridad y salud laboral.","productos industriales, farmacéuticos y químicos",fabricación de muebles,oc,habilitado
galponería de granja de pollos de engorde,"realizar el proceso de crianza de las aves, esto es: alistar la granja, recibir los pollitos y cuidarlos desde la llegada hasta el despacho, cuidar el cumplimiento de las normas de bioseguridad y registrar la información.",producción pecuaria,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
soldadura en proceso oxiacetilénico (oaw) y corte con oxígeno y gas combustible (ofc),"realizar trabajos de unión de elementos en estructuras metálicas ligeras utilizando el proceso de soldadura oxiacetilénica (oaw) y corte con oxígeno y gas combustible (ofc); cumpliendo con las expectativas de calidad del sector productivo y aplicando las medidas de seguridad, higiene y protección ambiental.",metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",oc,habilitado
supervisión de psicultura,"gestionar, supervisar, planificar y coordinar el trabajo del personal a su cargo, analizando y evaluando los datos productivos, para el desarrollo y la mejora continua de procedimientos. cumpliendo y haciendo cumplir procedimientos de seguridad, las normas y/o leyes establecidas.","pesca, acuacultura y maricultura",pesca y acuicultura,oc,habilitado
maquillaje,"aplicar técnicas de maquillaje de acuerdo al requerimiento del cliente, factores externos y protocolos establecidos",actividades comunitarias,otras actividades de servicios personales,oc,habilitado
gestión en operaciones petroleras,"realizar la operacion, medicion y monitoreo de los equipos para la produccion y refinacion de petroleo, controlando y monitoreando los procesos de bombeo y transferencia de crudo y derivados, realizando pruebas de laboratorio para el control de calidad del crudo y derivados y, control y medicion de pruebas en puntos de fiscalizacion y cambio de custodia de hidrocarburos, respetando criterios de calidad, seguridad y respeto al ambiente y al diseño.","minas, canteras y yacimientos",extracción de petróleo crudo y gas natural,oc,habilitado
