ciudad,area_familia,cursos,modalidad_set,carga_horaria,precio_por_hora,precio_mean_by_mod,precio_mean_by_area,precio_mean_by_ciudad,precio_mean_by_ma,precio_mean_by_ac,precio_mean_by_mc
quito,administración y legislación,gerencia de instituciones de salud,online,1736.0,6.875873015873012,0.1,0.21,0.1,0.07,0.06,0.18
quito,educación y capacitación,liderazgo educativo,online,1680.0,6.875873015873012,0.1,0.08,0.1,0.12,0.05,0.18
quito,actividades de salud,seguridad y salud ocupacional,online,1680.0,6.875873015873012,0.1,0.31,0.1,0.04,0.54,0.18
quito,administración y legislación,administracion de empresas,online,168.0,6.875873015873012,1.01,2.15,1.0,0.67,0.67,1.84
quito,administración y legislación,desarrollo de negocios y emprendimiento,online,168.0,6.875873015873012,1.01,2.15,1.0,0.67,0.67,1.84
quito,administración y legislación,direccion estrategica,online,168.0,6.875873015873012,1.01,2.15,1.0,0.67,0.67,1.84
quito,administración y legislación,e-commerce,online,168.0,6.875873015873012,1.01,2.15,1.0,0.67,0.67,1.84
quito,administración y legislación,gestion de negocios con tecnologias digitrales,online,168.0,6.875873015873012,1.01,2.15,1.0,0.67,0.67,1.84
quito,administración y legislación,gestion de riesgos y manejo de crisis en el sector de servicios,online,168.0,6.875873015873012,1.01,2.15,1.0,0.67,0.67,1.84
quito,tecnologías de la información y comunicación,big data,online,168.0,6.875873015873012,1.01,1.91,1.0,1.59,1.25,1.84
quito,tecnologías de la información y comunicación,bussines intelligentes,online,168.0,6.875873015873012,1.01,1.91,1.0,1.59,1.25,1.84
quito,tecnologías de la información y comunicación,ciberseguridad,online,168.0,6.875873015873012,1.01,1.91,1.0,1.59,1.25,1.84
quito,tecnologías de la información y comunicación,cloud computing,online,168.0,6.875873015873012,1.01,1.91,1.0,1.59,1.25,1.84
quito,tecnologías de la información y comunicación,desarrollo de videojuegos,online,168.0,6.875873015873012,1.01,1.91,1.0,1.59,1.25,1.84
quito,tecnologías de la información y comunicación,design thinking,online,168.0,6.875873015873012,1.01,1.91,1.0,1.59,1.25,1.84
quito,tecnologías de la información y comunicación,marketing digital,online,168.0,6.875873015873012,1.01,1.91,1.0,1.59,1.25,1.84
quito,actividades de salud,administracion para auxiliares de odontologia,online,168.0,6.875873015873012,1.01,3.06,1.0,0.42,5.42,1.84
quito,actividades de salud,alimentacion y nutricion para salud y el bienestar,online,168.0,6.875873015873012,1.01,3.06,1.0,0.42,5.42,1.84
quito,actividades de salud,armonizacion orofacial y estetica dental,online,168.0,6.875873015873012,1.01,3.06,1.0,0.42,5.42,1.84
quito,actividades de salud,estimulacion temprana y oportuna,online,168.0,6.875873015873012,1.01,3.06,1.0,0.42,5.42,1.84
quito,actividades de salud,nutricion deportiva,online,168.0,6.875873015873012,1.01,3.06,1.0,0.42,5.42,1.84
quito,actividades de salud,nutricion pediatrica,online,168.0,6.875873015873012,1.01,3.06,1.0,0.42,5.42,1.84
quito,actividades de salud,odontologia para bebe,online,168.0,6.875873015873012,1.01,3.06,1.0,0.42,5.42,1.84
quito,actividades de salud,seguridad y salud ocupacional,online,168.0,6.875873015873012,1.01,3.06,1.0,0.42,5.42,1.84
quito,educación y capacitación,calidad educactiva,online,168.0,6.875873015873012,1.01,0.78,1.0,1.21,0.52,1.84
quito guayaquil loja,area base,formación de formadores,presencial,4.0,17.25,,,,,,
quito guayaquil loja,area base,prevención de riesgos laborales: construcción y obras públicas (guayaquil),presencial,4.0,13.75,,,,,,
quito guayaquil loja,area base,prevención de riesgos laborales: energía eléctrica (guayaquil),presencial,4.0,13.75,,,,,,
quito guayaquil loja,area base,prevención de riesgos laborales: construcción y obras públicas (guayaquil),presencial,4.0,13.75,,,,,,
quito guayaquil loja,area base,medidas eficaces de bioseguridad para centros educativos y otros centros de aglomeración,online,14.0,3.93,,,,,,
quito guayaquil loja,area base,webinar: responsable del sistema de gestión de seguridad y salud laboral,online,1.0,6.875873015873012,170.35,744.41,227.11,182.67,227.11,362.0
quito guayaquil loja,area base,curso de preparación para la certificación physical security professional (psp),online,80.0,6.12,,,,,,
quito guayaquil loja,area base,responsable del sistema de gestión de seguridad y salud laboral,online,40.0,2.62,,,,,,
quito guayaquil loja,area base,administración y gestión de la seguridad bancaria en un ecosistema delincuencial mixto,online,15.0,11.33,,,,,,
quito guayaquil loja,area base,gerencia de seguridad cpp,online,384.0,2.58,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",administración y legislación,certificación online de teleoperador de call center,online,50.0,2.0,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",administración y legislación,certificación de diseño de plan de negocios y proyecto de inversión,online,45.0,2.0,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",administración y legislación,certificación en diseño gráfico (ilustrador y photoshop),online,51.0,3.43,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",administración y legislación,certificación en coach de liderazgo con inteligencia emocional,online,200.0,1.95,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",administración y legislación,curso de auxiliar en gestión del talento humano,online,60.0,0.58,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",administración y legislación,certificación en inteligencia de negocios digitales,online,80.0,6.85,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",administración y legislación,programa de especialización para administrador de restaurantes,online,409.11652542372906,0.64,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",administración y legislación,fundamentos de movilidad urbana sostenible y su aplicación en la planificación de ciudades,online,40.0,1.5,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",administración y legislación,certificación en auditorías y estándares internacionales de rse (responsabilidad social empresarial) estrategias ante la crisis del covid-19,presencial,16.0,24.5,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",actividades de salud,certificación en auxiliares de enfermería y cuidados paliativos ,presencial,600.0,0.98,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",actividades de salud,certificación en auxiliar en servicios farmacéuticos ,presencial,550.0,0.44,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",actividades de salud,certificación en auxiliar en servicios farmacéuticos ,presencial,409.11652542372906,0.54,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",actividades de salud,certificación como auxiliar de enfermería con mención en cuidado del adulto mayor,presencial,500.0,1.16,,,,,,
"quito , guaranda ,ambato, manta, santa elena , santo domingo ; por toviejo , babahoyo, machala",actividades de salud,certificación internacional en primeros auxilios rcp – dea,presencial,40.0,3.5,,,,,,
