id_ci,id_curso,num_cap
,,20
0,688,14
1,688,14
2,2209,107
7,1432,69
8,1432,69
9,1092,6
9,455,6
9,2146,4
9,1093,57
9,2147,21
,1016,1
,292,32
,,41
,,180
11,803,102
12,803,102
11,1629,7
12,1629,7
11,1627,17
12,1627,17
13,1275,3
,248,8
,1013,17
,1014,25
14,1462,1
14,1463,7
14,321,184
14,950,615
14,951,12
14,320,469
16,1716,19
17,1716,19
16,1715,24
17,1715,24
18,611,6
19,611,6
21,2282,130
22,2282,130
21,2281,35
22,2281,35
,400,14
,2632,18
,405,869
,1183,51
27,441,3
27,439,6
27,440,8
28,1737,4
28,1738,26
30,885,27
31,885,27
32,885,27
30,886,86
31,886,86
32,886,86
34,1888,2
35,1888,2
37,1214,5
,,12
,306,22
,884,5
,1517,140
,305,75
,376,1
,1709,11
,,16
42,2697,29
42,2698,21
,374,4
,,11
45,2311,2
46,774,2
47,2193,18
48,2193,18
47,2194,4
48,2194,4
,,23
49,2164,22
51,1941,43
52,1837,5
,1125,220
,369,218
,370,863
,1124,89
,,1
,122,1
54,1061,3
,324,270
,919,13
,1642,36
,1641,8
,920,6
,1640,17
,325,56
58,532,95
59,532,95
58,,5
59,,5
58,533,364
59,533,364
60,744,1
,,148
62,759,6
63,759,6
62,2556,44
63,2556,44
65,1138,28
,,17
,,62
,,121
,,54
69,517,5
70,517,5
69,1437,5
70,1437,5
,,9
73,1518,10
74,1518,10
73,,7
74,,7
75,2771,1
76,583,67
,,3
,1616,3
,1617,39
81,,10
82,,10
84,1660,26
85,1660,26
84,1662,15
85,1662,15
,,171
,,133
,,4
88,1784,1
,433,28
,1447,9
,1448,95
,417,25
,1449,24
,2643,3
,419,342
,418,350
,1450,15
94,974,9
96,1574,2
,,29
,,16
101,799,51
101,798,61
101,800,48
102,1771,2
103,669,1
,474,10
,272,49
,273,9
,850,16
,284,1
106,2799,92
107,1611,12
108,1611,12
107,1612,7
108,1612,7
112,989,32
112,988,85
112,990,53
116,818,30
,,5
,,22
,,1
,,1
,,12
119,87,23
,,16
121,,87
122,,87
121,1603,704
122,1603,704
124,1635,1
125,2172,3
125,2174,2
125,2173,1
126,23,46
127,23,46
128,23,46
129,2033,5
134,2456,23
,1136,1
,1137,35
136,893,9
137,893,9
138,2245,4
139,2245,4
138,2247,31
139,2247,31
138,,18
139,,18
,,42
,,78
142,2042,6
142,2041,40
142,2044,70
142,2045,356
144,1774,97
143,473,58
143,472,64
143,471,100
,141,2
149,1122,59
149,1121,17
,,30
,,52
,,10
155,2727,1
,,44
,,94
,,281
,,23
,,6
,,169
,,4
140,2191,3
141,2191,3
,,195
,,6
,,10
164,771,4
165,771,4
,,4
,,5
,,6
,,2
,,23
166,2827,23
166,2825,21
166,2829,122
166,2826,244
166,2831,132
166,2828,1
,288,4
,,2
,,34
169,1484,6
170,1484,6
169,645,329
170,645,329
169,1483,74
170,1483,74
169,644,336
170,644,336
169,643,163
170,643,163
,,126
,,102
,,103
,,46
,,275
,,129
173,2537,15
174,2537,15
173,575,10
174,575,10
,,7
,,21
,291,8
,848,3
178,767,4
180,1909,88
,,30
183,2083,61
184,,21
184,1511,274
,406,73
,1785,4
187,581,2
,191,2
,,2
189,1697,17
190,2382,26
191,1877,57
192,1364,6
195,1733,52
196,1733,52
195,1734,41
196,1734,41
197,1508,1
198,1962,5
199,1962,5
,,30
,,17
,,46
,,9
,,31
,,34
,,23
,,53
,,17
,,23
,,6
,,11
,,1
201,828,1
207,1337,13
207,1338,8
,,10
,,13
,,6
,2711,16
,218,36
,2712,1
209,,84
209,,60
209,613,336
,,28
,,9
,,7
,,495
,,101
,,983
,,170
,,11
,384,3
216,642,285
217,642,285
218,718,218
218,717,56
219,2004,12
219,2005,15
220,670,5
221,670,5
,,6
,,69
,,15
,,16
,,24
,,1
,,1
226,2217,12
226,2218,37
227,2134,9
227,2135,46
228,1215,38
229,1215,38
230,499,301
231,499,301
232,499,301
230,2073,154
231,2073,154
232,2073,154
,,1
,,9
,280,3
,281,8
,948,15
,,27
236,1776,151
237,52,34
237,53,78
,,1
,,5
,,3
234,2409,2
234,2408,11
238,2694,40
239,2694,40
238,2693,40
239,2693,40
238,2025,9
239,2025,9
238,2026,11
239,2026,11
238,2027,138
239,2027,138
245,,11
246,,11
245,,47
246,,47
245,1525,70
246,1525,70
245,1524,264
246,1524,264
240,2514,1
240,2516,1
240,2515,1
,,38
243,2212,5
,,28
,216,32
255,,52
255,1418,188
255,1421,19
255,1419,45
257,1372,41
257,1370,31
257,1371,27
257,1368,31
257,1369,21
257,,4
257,1374,17
259,629,112
260,629,112
261,629,112
259,630,282
260,630,282
261,630,282
259,1272,113
260,1272,113
261,1272,113
262,2069,46
,,50
,,13
,,54
,377,72
,,13
,,265
263,2510,6
263,2508,7
263,2505,19
263,2507,118
263,2511,60
263,2509,15
263,,1
263,2506,22
,,8
,1451,49
,1453,34
,130,333
,,6
,,166
269,1297,8
269,1298,22
270,2256,10
270,2257,2
265,983,6
266,983,6
265,,3
266,,3
265,984,219
266,984,219
271,1182,3
273,2117,25
,443,3
277,1533,20
278,932,8
280,1099,40
281,1099,40
280,1098,24
281,1098,24
280,1097,46
281,1097,46
283,2222,1
284,2222,1
283,2221,1
284,2221,1
283,2223,1
284,2223,1
283,1107,18
284,1107,18
283,1108,20
284,1108,20
283,1106,21
284,1106,21
289,1692,343
290,1692,343
291,1692,343
289,1691,345
290,1691,345
291,1691,345
289,1690,330
290,1690,330
291,1690,330
289,830,28
290,830,28
291,830,28
293,25,24
294,25,24
293,26,4
294,26,4
297,805,1
300,2055,53
301,2055,53
,,12
,,19
,,4
,,28
