id_curso,area,especialidad,curso,modalidad,carga_horaria,costo
0,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
1,procesos industriales,seguridad prevención de riesgos e higiene industrial,indicadores del sistema de gestión de la seguridad y salud en el trabajo,desconocida,40.0,
2,finanzas comercio y ventas,riesgo financiero,análisis financiero,desconocida,40.0,
3,finanzas comercio y ventas,riesgo financiero,gestión financiera y presupuestaria empresarial,desconocida,40.0,
4,servicios socioculturales y a la comunidad,salud y medicina,cuidados terapéuticos del adulto mayor,desconocida,40.0,
5,servicios socioculturales y a la comunidad,gestión cultural,actividades recreativas para adultos mayores,desconocida,24.0,
6,educación y capacitación,diseño educativo y curricular,pedagogía y didáctica,desconocida,32.0,
7,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo,desconocida,16.0,
8,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud - organismos paritarios,desconocida,40.0,
9,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
10,procesos industriales,seguridad prevención de riesgos e higiene industrial,"seguridad, salud ocupacional y riesgos de trabajo en la construcción",desconocida,24.0,
11,tecnologías de la información y comunicación,programas de escritorio,"word, excel y power point básico",desconocida,24.0,252.0
12,tecnologías de la información y comunicación,control de calidad,seguridad de la información,desconocida,32.0,118.72
13,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
14,administración y legislación,administración contable y de costos,gestión de costos en proyectos de construcción,desconocida,40.0,
15,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,higiene y manipulacion de alimentos,desconocida,8.0,
16,artes y artesanía,peluquería y belleza barbería y estilismo,principios básicos de peluquería y belleza,desconocida,40.0,
17,servicios socioculturales y a la comunidad,salud y medicina,"primeros auxilios, reanimación cardio pulmonar, desfibrilador externo automático",desconocida,40.0,
18,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud - organismos paritarios,desconocida,40.0,
19,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgo eléctrico,desconocida,40.0,
20,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo,desconocida,16.0,
21,procesos industriales,seguridad prevención de riesgos e higiene industrial,sistema de comando de incidente,desconocida,16.0,
22,tecnologías de la información y comunicación,programas de escritorio,"word, excel y power point",desconocida,40.0,100.0
23,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
24,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,desconocida,8.0,
25,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
26,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en trabajo de alturas,desconocida,40.0,
27,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
28,procesos industriales,seguridad prevención de riesgos e higiene industrial,sistema de comando de incidente,desconocida,16.0,
29,procesos industriales,seguridad prevención de riesgos e higiene industrial,operación de extintores portátiles,desconocida,8.0,
30,administración y legislación,administración general,análisis financiero aplicado al emprendimiento,desconocida,24.0,
31,comunicación y artes gráficas,medios de comunicación social,comunicación efectiva y presentaciones exitosas,desconocida,16.0,
32,comunicación y artes gráficas,métodos y técnicas de promoción y difusión,claves para generar contenido de impacto y publicarlo en línea,desconocida,24.0,
33,finanzas comercio y ventas,marketing y ventas,ventas faciles,desconocida,8.0,
34,finanzas comercio y ventas,marketing y ventas,coaching para equipos comerciales,desconocida,8.0,
35,administración y legislación,gestión del talento humano,administración estratégica de subsistemas de recursos humanos,desconocida,40.0,
36,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
37,tecnologías de la información y comunicación,programas de escritorio,manejo de excel básico,desconocida,40.0,420.0
38,tecnologías de la información y comunicación,programas de escritorio,manejo y operacion de una hoja de calculo,desconocida,40.0,90.0
39,finanzas comercio y ventas,marketing y ventas,técnicas de atención y servicio al cliente,desconocida,24.0,
40,administración y legislación,gestión del talento humano,administración estratégica de subsistemas de recursos humanos,desconocida,40.0,
41,administración y legislación,gestión del talento humano,administración de la nómina de empleados,desconocida,16.0,
42,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
43,procesos industriales,seguridad prevención de riesgos e higiene industrial,acoso laboral / mobbing laboral,desconocida,40.0,
44,servicios socioculturales y a la comunidad,salud y medicina,masajes terapéuticos de spa,desconocida,40.0,
45,finanzas comercio y ventas,marketing y ventas,herramientas de marketing digital,desconocida,40.0,
46,procesos industriales,seguridad prevención de riesgos e higiene industrial,equipos de protección personal,desconocida,24.0,
47,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
48,forestal ecología y medio ambiente,gestión e impacto ambiental,sensibilizacion ambiental,desconocida,24.0,
49,forestal ecología y medio ambiente,gestión e impacto ambiental,peritaje ambiental,desconocida,40.0,
50,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,curso avanzado de adaptaciones curriculares para personas con necesidades educativas especiales (nee),desconocida,40.0,
51,finanzas comercio y ventas,marketing y ventas,herramientas de marketing digital,desconocida,40.0,
52,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formadores,desconocida,40.0,
53,tecnologías de la información y comunicación,programas de escritorio,manejo de excel básico,desconocida,40.0,420.0
54,educación y capacitación,medios y materiales didácticos,docentes innovadores,desconocida,32.0,
55,electricidad y electrónica,electricidad industrial,control eléctrico industrial,desconocida,40.0,
56,electricidad y electrónica,electricidad domiciliaria,instalaciones eléctricas residenciales,desconocida,32.0,
