id_curso,curso,area,especialidad,modalidad,carga_horaria,costo
0,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
1,indicadores del sistema de gestión de la seguridad y salud en el trabajo,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
4,análisis financiero,finanzas comercio y ventas,riesgo financiero,desconocida,40,
5,gestión financiera y presupuestaria empresarial,finanzas comercio y ventas,riesgo financiero,desconocida,40,
6,cuidados terapéuticos del adulto mayor,servicios socioculturales y a la comunidad,salud y medicina,desconocida,40,
7,actividades recreativas para adultos mayores,servicios socioculturales y a la comunidad,gestión cultural,desconocida,24,
8,pedagogía y didáctica,educación y capacitación,diseño educativo y curricular,desconocida,32,
9,fundamentos de la seguridad y salud en el trabajo,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
10,reglamento de seguridad y salud - organismos paritarios,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
13,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
14,"seguridad, salud ocupacional y riesgos de trabajo en la construcción",procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,24,
17,"word, excel y power point básico",tecnologías de la información y comunicación,programas de escritorio,desconocida,24,232.07999999999998
18,seguridad de la información,tecnologías de la información y comunicación,control de calidad,desconocida,32,106.56
19,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
20,gestión de costos en proyectos de construcción,administración y legislación,administración contable y de costos,desconocida,40,
21,higiene y manipulacion de alimentos,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,desconocida,8,
22,principios básicos de peluquería y belleza,artes y artesanía,peluquería y belleza barbería y estilismo,desconocida,40,
23,"primeros auxilios, reanimación cardio pulmonar, desfibrilador externo automático",servicios socioculturales y a la comunidad,salud y medicina,desconocida,40,
24,reglamento de seguridad y salud - organismos paritarios,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
25,prevención de riesgo eléctrico,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
26,fundamentos de la seguridad y salud en el trabajo,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
30,sistema de comando de incidente,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
31,"word, excel y power point",tecnologías de la información y comunicación,programas de escritorio,desconocida,40,386.8
32,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
33,brigadas contra incendios,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
36,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
37,prevención en trabajo de alturas,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
38,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
39,sistema de comando de incidente,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
40,operación de extintores portátiles,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
41,análisis financiero aplicado al emprendimiento,administración y legislación,administración general,desconocida,24,
42,comunicación efectiva y presentaciones exitosas,comunicación y artes gráficas,medios de comunicación social,desconocida,16,
43,claves para generar contenido de impacto y publicarlo en línea,comunicación y artes gráficas,métodos y técnicas de promoción y difusión,desconocida,24,
49,ventas faciles,finanzas comercio y ventas,marketing y ventas,desconocida,8,
50,coaching para equipos comerciales,finanzas comercio y ventas,marketing y ventas,desconocida,8,
51,administración estratégica de subsistemas de recursos humanos,administración y legislación,gestión del talento humano,desconocida,40,
55,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
56,manejo de excel básico,tecnologías de la información y comunicación,programas de escritorio,desconocida,40,266.8
57,manejo y operacion de una hoja de calculo,tecnologías de la información y comunicación,programas de escritorio,desconocida,40,160.0
58,técnicas de atención y servicio al cliente,finanzas comercio y ventas,marketing y ventas,desconocida,24,
59,administración estratégica de subsistemas de recursos humanos,administración y legislación,gestión del talento humano,desconocida,40,
60,administración de la nómina de empleados,administración y legislación,gestión del talento humano,desconocida,16,
63,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
64,acoso laboral / mobbing laboral,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
67,masajes terapéuticos de spa,servicios socioculturales y a la comunidad,salud y medicina,desconocida,40,
68,herramientas de marketing digital,finanzas comercio y ventas,marketing y ventas,desconocida,40,
69,equipos de protección personal,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,24,
70,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
74,sensibilizacion ambiental,forestal ecología y medio ambiente,gestión e impacto ambiental,desconocida,24,
75,peritaje ambiental,forestal ecología y medio ambiente,gestión e impacto ambiental,desconocida,40,
76,curso avanzado de adaptaciones curriculares para personas con necesidades educativas especiales (nee),educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,desconocida,40,
77,herramientas de marketing digital,finanzas comercio y ventas,marketing y ventas,desconocida,40,
78,formación de formadores,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,desconocida,40,
79,manejo de excel básico,tecnologías de la información y comunicación,programas de escritorio,desconocida,40,266.8
80,docentes innovadores,educación y capacitación,medios y materiales didácticos,desconocida,32,
84,control eléctrico industrial,electricidad y electrónica,electricidad industrial,desconocida,40,
85,instalaciones eléctricas residenciales,electricidad y electrónica,electricidad domiciliaria,desconocida,32,
88,"primeros auxilios, reanimación cardio pulmonar, desfibrilador externo automático",servicios socioculturales y a la comunidad,salud y medicina,desconocida,40,
