id_ci,id_curso,num_cap
,,20
441,688,14
1555,2209,107
995,1432,69
254,1092,6
254,455,6
254,2146,4
254,1093,57
254,2147,21
172,1016,1
172,292,32
,,41
,,180
528,803,102
528,1629,7
528,1627,17
892,1275,3
143,248,8
143,1013,17
143,1014,25
188,1462,1
188,1463,7
188,321,184
188,950,615
188,951,12
188,320,469
1192,1716,19
1192,1715,24
377,611,6
1606,2282,130
1606,2281,35
225,400,14
228,2632,18
228,405,869
228,1183,51
245,441,3
245,439,6
245,440,8
1209,1737,4
1209,1738,26
600,885,27
600,886,86
1317,1888,2
834,1214,5
,,12
178,306,22
178,884,5
178,1517,140
178,305,75
213,376,1
213,1709,11
,,16
1910,2697,29
1910,2698,21
211,374,4
,,11
1628,2311,2
508,774,2
1545,2193,18
1545,2194,4
,,23
1518,2164,22
1354,1941,43
1288,1837,5
209,1125,220
209,369,218
209,370,863
209,1124,89
,,1
79,122,1
721,1061,3
190,324,270
190,919,13
190,1642,36
190,1641,8
190,920,6
190,1640,17
190,325,56
314,532,95
314,,5
314,533,364
486,744,1
,,148
497,759,6
497,2556,44
780,1138,28
,,17
,,62
,,121
,,54
302,517,5
302,1437,5
,,9
1047,1518,10
1047,,7
1959,2771,1
347,583,67
,,3
234,1616,3
234,1617,39
1644,,10
1153,1660,26
1153,1662,15
,,171
,,133
,,4
1247,1784,1
242,433,28
233,1447,9
233,1448,95
233,417,25
233,1449,24
233,2643,3
233,419,342
233,418,350
233,1450,15
665,974,9
1106,1574,2
,,29
,,16
524,799,51
524,798,61
524,800,48
1235,1771,2
423,669,1
265,474,10
158,272,49
158,273,9
166,850,16
166,284,1
1977,2799,92
1115,1611,12
1115,1612,7
676,989,32
676,988,85
676,990,53
544,818,30
,,5
,,22
,,1
,,1
,,12
59,87,23
,,16
1101,,87
1101,1603,704
1141,1635,1
1524,2172,3
1524,2174,2
1524,2173,1
20,23,46
1422,2033,5
1748,2456,23
279,1136,1
279,1137,35
606,893,9
1583,2245,4
1583,2247,31
1583,,18
,,42
,,78
1429,2042,6
1429,2041,40
1429,2044,70
1429,2045,356
1238,1774,97
264,473,58
264,472,64
264,471,100
90,141,2
759,1122,59
759,1121,17
,,30
,,52
,,10
1931,2727,1
,,44
,,94
,,281
,,23
,,6
,,169
,,4
1542,2191,3
,,195
,,6
,,10
505,771,4
,,4
,,5
,,6
,,2
,,23
2000,2827,23
2000,2825,21
2000,2829,122
2000,2826,244
2000,2831,132
2000,2828,1
168,288,4
,,2
,,34
404,1484,6
404,645,329
404,1483,74
404,644,336
404,643,163
,,126
,,102
,,103
,,46
,,275
,,129
338,2537,15
338,575,10
,,7
,,21
171,291,8
171,848,3
503,767,4
1336,1909,88
,,30
1460,2083,61
1044,,21
1044,1511,274
229,406,73
229,1785,4
346,581,2
112,191,2
,,2
1179,1697,17
1680,2382,26
1306,1877,57
959,1364,6
1204,1733,52
1204,1734,41
1042,1508,1
1367,1962,5
,,30
,,17
,,46
,,9
,,31
,,34
,,23
,,53
,,17
,,23
,,6
,,11
,,1
554,828,1
935,1337,13
935,1338,8
,,10
,,13
,,6
128,2711,16
128,218,36
128,2712,1
380,,84
380,,60
380,613,336
,,28
,,9
,,7
,,495
,,101
,,983
,,170
,,11
217,384,3
402,642,285
466,718,218
466,717,56
1399,2004,12
1399,2005,15
424,670,5
,,6
,,69
,,15
,,16
,,24
,,1
,,1
1560,2217,12
1560,2218,37
1497,2134,9
1497,2135,46
835,1215,38
287,499,301
287,2073,154
,,1
,,9
164,280,3
164,281,8
164,948,15
,,27
1241,1776,151
44,52,34
44,53,78
,,1
,,5
,,3
1701,2409,2
1701,2408,11
1415,2694,40
1415,2693,40
1415,2025,9
1415,2026,11
1415,2027,138
1065,,11
1065,,47
1065,1525,70
1065,1524,264
1778,2514,1
1778,2516,1
1778,2515,1
,,38
1557,2212,5
,,28
126,216,32
988,,52
988,1418,188
988,1421,19
988,1419,45
962,1372,41
962,1370,31
962,1371,27
962,1368,31
962,1369,21
962,,4
962,1374,17
389,629,112
389,630,282
389,1272,113
1448,2069,46
,,50
,,13
,,54
214,377,72
,,13
,,265
1776,2510,6
1776,2508,7
1776,2505,19
1776,2507,118
1776,2511,60
1776,2509,15
1776,,1
1776,2506,22
83,,8
83,1451,49
83,1453,34
83,130,333
,,6
,,166
906,1297,8
906,1298,22
1587,2256,10
1587,2257,2
672,983,6
672,,3
672,984,219
814,1182,3
1485,2117,25
247,443,3
1074,1533,20
640,932,8
748,1099,40
748,1098,24
748,1097,46
756,2222,1
756,2221,1
756,2223,1
756,1107,18
756,1108,20
756,1106,21
555,1692,343
555,1691,345
555,1690,330
555,830,28
23,25,24
23,26,4
531,805,1
1436,2055,53
,,12
,,19
,,4
,,28
,,23
,,9
1397,2002,1
,,5
,,8
,,17
,,33
1108,1581,34
1108,1582,5
139,1646,32
139,1643,54
139,892,87
202,354,5
,,2
,,12
1727,2433,11
270,1227,3
270,1228,3
270,481,43
205,361,5
205,360,2
1626,2308,3
626,916,33
626,917,12
720,1060,36
,,57
,,2
327,559,19
327,558,13
1131,1624,2
1131,1625,2
,,1
709,1048,203
12,16,1
,,8
,,12
,,50
,,27
,,29
,,4
,,26
,,39
,,14
,,33
157,271,91
68,97,172
68,98,187
68,1694,186
,,18
1820,2571,446
1820,2572,215
1820,,3
1820,,80
1820,,6
1820,,196
1820,,161
1612,2289,108
,,11
,,2
1085,1547,73
1323,1894,74
78,1318,14
78,1319,11
78,120,7
78,121,58
182,311,5
,,5
457,706,77
457,705,70
,,85
,,18
492,751,10
1853,2627,14
1246,1782,16
1246,,20
41,48,1
728,1073,1
728,1072,1
728,1071,2
1038,1504,127
1038,2700,185
155,1529,1
155,864,1
155,268,809
155,867,55
155,865,19
155,866,570
1377,1969,10
1319,1889,3
509,775,7
736,1249,12
736,1080,45
736,1248,16
736,1247,4
741,1088,301
741,1090,6
741,2175,205
741,1089,360
696,1023,11
696,1021,6
696,1022,47
110,187,134
110,188,79
,,12
,,8
430,673,18
430,674,26
614,903,3
1316,,5
1088,1550,3
1088,1551,9
1326,1896,170
220,388,2
1556,2211,27
,,136
,,356
,,62
,,59
,,90
,,1
467,719,10
1025,1485,1
1025,1486,26
198,1035,11
198,340,40
198,342,245
198,344,240
198,341,2
198,1034,150
1016,1473,64
791,2601,1
791,1150,14
589,871,13
,,16
114,193,29
114,195,79
114,194,26
,,45
,,9
,,4
,,2
,,11
,,6
,,7
191,327,16
360,598,46
360,597,56
590,872,45
885,1267,28
325,554,7
325,555,22
325,556,139
16,20,1
16,19,5
1297,1855,1
194,332,1
194,333,2
1151,1656,16
,,1
235,2268,3
235,2269,10
235,422,276
235,423,70
278,489,2
148,255,2
886,1269,77
886,1270,7
1510,2154,16
,,39
681,999,24
549,823,19
1221,1753,5
,,1
932,,2
932,1332,32
232,,3
232,,32
232,,4
232,415,10
232,414,3
937,1342,17
,,22
1003,1440,4
820,1192,180
820,1191,31
239,430,346
239,1075,236
239,2144,30
239,2145,39
239,429,475
239,2143,36
1812,2562,16
,,5
,,5
,,6
,,6
972,1392,20
,,46
645,943,4
645,944,34
2052,2903,1
,,1
1683,2385,25
,,51
1255,1794,10
1255,1793,572
249,446,47
249,448,19
249,447,18
,,138
,,58
,,2
463,,27
463,,84
540,1385,7
540,815,37
540,1386,52
1389,1989,89
,,1
516,789,18
516,2324,8
516,790,519
516,2323,11
694,1017,18
1026,1489,62
1026,1488,23
352,589,226
123,2036,17
123,211,12
263,470,224
263,468,502
263,469,55
,,256
,,26
,,32
1201,1728,5
,,2
,,2
1029,2854,7
831,1209,7
1284,1828,92
1633,2315,32
,,114
,,68
,,39
,,221
,,142
,,119
37,42,55
543,817,130
,,140
,,33
181,310,24
181,309,34
,,3
1084,1546,102
,,41
,,9
,,92
,,38
,,34
1558,2213,3
2034,2875,28
2034,2874,18
1903,2688,2
1903,2687,1
,,794
,,12
,,1
,,2
,,676
,,1
1818,2569,20
,,31
,,10
,,15
,,53
,,19
,,37
,,9
379,612,14
,,1
,,157
,,5
518,,2
1966,2783,8
931,1331,14
1394,,1
1394,,12
846,2633,8
846,1223,60
1117,1598,2
40,46,14
40,47,1
997,,13
997,,5
94,152,3
,,38
,,28
1277,1822,1
,,67
,,27
269,479,39
269,480,37
,,1
,,19
,,1
,,6
1357,2856,402
1357,2010,349
1357,1947,177
1357,1948,50
1357,,89
1157,1665,17
465,716,4
39,45,28
577,856,8
,,2
,,6
1624,2304,403
1528,2176,38
868,1250,16
7,12,3
646,945,8
646,946,4
1765,,13
1765,2485,97
1765,2486,10
,,4
,,52
,,13
1190,,10
1190,1712,412
1677,2377,3
1471,2098,205
1471,2097,1
495,2321,11
495,758,481
495,757,40
641,2543,2
641,934,5
641,933,1
252,451,16
,,1
,,12
,,2
,,12
,,247
,,125
,,27
,,41
,,51
319,541,15
319,542,30
319,540,125
414,658,2
,,12
,,4
,,12
,,2
971,1389,1
971,1388,17
971,1387,3
479,738,66
479,2028,282
479,2029,7
,,1
,,3
,,25
341,577,14
341,578,50
341,1567,37
1398,2003,84
862,1241,7
862,2648,24
862,1240,27
862,2647,16
862,1242,79
371,606,98
799,1158,12
799,1159,12
799,1157,12
,,23
,,8
767,1119,27
1135,1630,19
,,4
69,106,41
69,,99
69,1803,20
69,1802,51
69,841,84
