id_curso_perfil,tipo,area_familia,especialidad_sector,curso_perfil,modalidad,carga_horaria
0,curso,mecánica automotriz,mecánica general,mecánica automotriz,presencial,120.0
1,curso,artes y artesanía,peluquería y belleza barbería y estilismo,belleza integral,presencial,120.0
2,curso,artes y artesanía,cosmetología,cosmetología,presencial,120.0
3,curso,mecánica automotriz,carrocería,latonería,presencial,120.0
4,curso,mecánica automotriz,mecánica general,fundamentos teóricos mecánica automotriz,online,40.0
5,curso,artes y artesanía,peluquería y belleza barbería y estilismo,fundamentos teóricos belleza integral,online,40.0
6,curso,artes y artesanía,cosmetología,fundamentos teóricos cosmetología,online,40.0
7,curso,mecánica automotriz,carrocería,fundamentos teóricos latonería,online,40.0
8,curso,servicios socioculturales y a la comunidad,gestión cultural,guitarra y arreglos,online,40.0
9,curso,electricidad y electrónica,electrodomésticos,reparación de refrigeradoras,presencial,40.0
10,curso,administración y legislación,gestión de la calidad,"herramientas y técnicas ""gráficas y estadísticas"" para la gestión de calidad",online,20.0
11,curso,administración y legislación,gestión de la calidad,formación de equipos de mejora continua (emc),online,16.0
12,curso,administración y legislación,gestión de la calidad,control de calidad para la industria y empresas de servicios,online,16.0
13,curso,administración y legislación,gestión de la calidad,criterios para la implementación e integración de sistemas de gestión iso para empresas,online,20.0
14,curso,administración y legislación,gestión de la calidad,metodologías y técnicas para gestión de la mejora continua,online,16.0
15,curso,administración y legislación,gestión de la calidad,implementación de sistemas de gestión de laboratorios de ensayos iso/iec 17025:2017,online,16.0
16,curso,administración y legislación,gestión de la calidad,auditorías internas de sistemas integrados de gestión,online,16.0
17,curso,administración y legislación,gestión de la calidad,"calidad, mejora continua y sistemas integrados de gestión: teoría y prácticas del siglo xxi",online,136.0
18,curso,administración y legislación,gestión de la calidad,implementación de sistemas de gestión de calidad iso 9001:2015,online,16.0
19,curso,servicios socioculturales y a la comunidad,salud y medicina,operaciones comunitarias para la gestión de riesgos de desastres (ocgred),presencial,32.0
20,curso,servicios socioculturales y a la comunidad,salud y medicina,gestión del riesgo de desastres con aplicación metodológica para docentes (gramed),presencial,40.0
21,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación para instructores en gestión de riesgos de desastres (figred),presencial,40.0
22,curso,educación y capacitación,metodología y técnica de aprendizaje,mediación pedagógica para la gestión de riesgos de desastres (megred),presencial,40.0
23,curso,administración y legislación,evaluación de proyectos,captación de recursos locales para proyectos de desarrollo,presencial,40.0
24,curso,administración y legislación,evaluación de proyectos,gestión de proyectos de desarrollo,presencial,40.0
25,curso,administración y legislación,atención y servicios de oficina,redacción técnica para la elaboración de informes,presencial,40.0
26,curso,administración y legislación,administración contable y de costos,"contabilidad básica, tributos y aspectos laborales",presencial,60.0
