id_oc,id_curso_perfil,id_fecha,num_cap_cer,total_cursos,volumen_capacitados,total_horas,total_ganancias
369,3487,2,34,4,52,1360,
369,3490,2,1,4,52,150,
345,2868,2,25,12,500,1500,
414,3944,2,5,2,249,150,
414,3943,2,244,2,249,9760,
414,3946,2,244,2,249,9760,
153,1442,2,23,10,495,1380,
153,1443,2,9,10,495,270,
153,1443,0,6,10,95,180,
60,690,2,7,2,42,2184,
60,697,2,7,2,42,2800,
60,687,2,35,2,42,12600,
60,691,2,35,2,42,14000,
374,3581,2,573,2,655,17190,
374,3585,2,573,2,655,17190,
373,3574,2,1,1,1,30,
205,2198,2,4,3,57,500,
205,2198,0,6,3,36,750,
205,2197,2,26,3,57,5200,
205,2197,0,20,3,36,4000,
205,2199,2,27,3,57,3510,
452,4198,2,2,5,108,50,
452,4196,2,1,5,108,30,
452,4196,0,5,4,80,150,
452,4196,3,17,3,71,510,
452,4202,2,55,5,108,1980,
452,4202,0,53,4,80,1908,
452,4202,3,37,3,71,1332,
452,4207,2,55,5,108,2200,
452,4207,0,53,4,80,2120,
452,4207,3,37,3,71,1480,
452,4201,2,47,5,108,846,
452,4201,0,21,4,80,378,
452,4201,3,17,3,71,306,
452,4210,2,47,5,108,846,
452,4210,0,21,4,80,378,
452,4210,3,17,3,71,306,
452,4197,2,3,5,108,90,
452,4204,2,3,5,108,120,
452,4209,2,3,5,108,90,
155,1467,2,96,8,438,1536,
155,1478,2,11,8,438,176,
155,1483,2,1,8,438,40,
155,1466,2,15,8,438,150,
155,1469,2,152,8,438,6080,
155,1469,0,131,3,227,5240,
155,1481,2,30,8,438,360,
155,1471,2,4,8,438,64,
155,1462,2,129,8,438,5160,
176,1794,2,4,4,42,200,
176,1780,2,27,4,42,4050,
176,1781,2,7,4,42,1050,
176,1781,3,10,1,10,1500,
204,2164,2,29,7,113,17400,
204,2165,2,29,7,113,17400,
204,2186,2,14,7,113,7000,
204,2187,2,14,7,113,7000,
204,2142,2,41,7,113,1230,
4,31,2,1,2,20,40,
4,30,2,19,2,20,760,
466,4503,2,1,9,11,268,
466,4499,2,1,9,11,267,
466,4502,2,1,9,11,266,
461,4408,2,1,2,2,22,
455,4261,2,337,12,1394,5392,
455,4261,3,49,17,247,784,
455,4262,2,337,12,1394,5392,
455,4262,3,49,17,247,784,
455,4258,2,29,12,1394,232,
455,4258,3,3,17,247,24,
455,4268,2,29,12,1394,232,
455,4268,3,3,17,247,24,
455,4250,2,136,12,1394,1088,
455,4250,3,20,17,247,160,
455,4251,2,136,12,1394,1088,
455,4251,3,20,17,247,160,
455,4246,2,35,12,1394,280,
455,4246,3,6,17,247,48,
455,4265,2,35,12,1394,280,
455,4265,3,6,17,247,48,
455,4252,2,181,12,1394,2896,
455,4252,3,17,17,247,272,
455,4253,2,181,12,1394,2896,
455,4253,3,17,17,247,272,
455,4248,2,187,12,1394,2992,
455,4248,3,24,17,247,384,
455,4249,2,187,12,1394,2992,
455,4249,3,24,17,247,384,
455,4245,2,87,12,1394,696,
455,4245,3,29,17,247,232,
455,4247,2,87,12,1394,696,
455,4247,3,29,17,247,232,
455,4254,2,267,12,1394,2136,
455,4254,3,43,17,247,344,
455,4255,2,267,12,1394,2136,
455,4255,3,43,17,247,344,
455,4263,2,11,12,1394,88,
455,4264,2,11,12,1394,88,
455,4256,2,59,12,1394,472,
455,4256,3,31,17,247,248,
455,4266,2,59,12,1394,472,
455,4266,3,31,17,247,248,
455,4257,2,4,12,1394,32,
455,4267,2,4,12,1394,32,
455,4259,2,61,12,1394,976,
455,4259,3,2,17,247,32,
455,4260,2,61,12,1394,976,
455,4260,3,2,17,247,32,
203,2094,2,22,9,245,880,
203,2094,0,16,4,60,640,
203,2095,2,22,9,245,880,
203,2095,0,16,4,60,640,
203,2092,2,114,9,245,4560,
203,2092,3,51,2,127,2040,
203,2093,2,114,9,245,4560,
203,2093,3,51,2,127,2040,
212,2266,2,1,1,1,40,
212,2266,4,3,1,3,120,
212,2266,3,52,2,54,2080,
212,2266,1,59,3,75,2360,
63,751,2,5,1,5,200,
234,2536,2,213,13,1219,51120,
234,2537,2,13,13,1219,3120,
234,2535,2,33,13,1219,6600,
234,2540,2,32,13,1219,7680,
234,2539,2,44,13,1219,10560,
365,3430,2,723,3,1307,108450,
365,3431,2,547,3,1307,82050,
365,3432,2,37,3,1307,5550,
448,4171,2,4,3,24,160,
448,4171,0,5,4,63,200,
448,4876,2,16,3,24,0,
448,4876,0,40,4,63,0,
510,4749,2,1,15,1119,48,
510,4750,2,1,15,1119,48,
510,4742,2,9,15,1119,360,
510,4745,2,16,15,1119,192,
510,4744,2,292,15,1119,3504,
510,4739,2,202,15,1119,1616,
510,4748,2,202,15,1119,1616,
510,4728,2,3,15,1119,180,
510,4741,2,11,15,1119,440,
510,4737,2,55,15,1119,440,
56,625,2,1,23,1218,40,169.0
56,614,2,28,23,1218,1120,16520.0
56,620,2,20,23,1218,800,7736.0
56,612,2,142,23,1218,5680,25560.0
56,622,2,226,23,1218,9040,87416.8
56,622,3,12,14,127,480,4641.6
56,617,2,175,23,1218,7000,23309.999999999996
56,657,2,16,23,1218,640,6188.8
56,666,2,7,23,1218,280,2707.6
56,637,2,15,23,1218,600,
56,646,2,98,23,1218,14700,
56,630,2,95,23,1218,3800,
56,649,2,95,23,1218,7600,
56,619,2,115,23,1218,4600,83352.00000000001
56,652,2,126,23,1218,5040,91324.8
56,632,2,11,23,1218,440,
56,632,3,4,14,127,160,
56,628,2,1,23,1218,40,386.8
56,618,2,1,23,1218,40,386.8
56,635,2,1,23,1218,120,
56,636,2,4,23,1218,480,
56,624,2,19,23,1218,760,7349.2
56,624,3,3,14,127,120,1160.4
56,626,2,5,23,1218,200,800.0
56,626,3,3,14,127,120,480.0
56,621,2,15,23,1218,600,1997.9999999999998
56,621,3,3,14,127,120,399.59999999999997
56,615,2,71,23,1218,2840,27462.8
56,627,2,26,23,1218,1040,6936.8
364,3427,2,12,3,14,1728,
364,3427,3,14,3,21,2016,
364,3428,2,12,3,14,1728,
364,3428,3,14,3,21,2016,
1,16,2,13,2,26,208,
1,14,2,13,2,26,208,
164,1579,2,51,3,69,1020,15045.0
164,1587,2,10,3,69,400,7500.0
112,1091,2,13,12,282,520,
112,1084,2,40,12,282,1600,
112,1082,2,56,12,282,2240,
112,1075,2,19,12,282,760,
112,1089,2,48,12,282,1920,
112,1090,2,12,12,282,480,
112,1090,3,16,1,16,640,
112,1095,2,20,12,282,800,
112,1093,2,27,12,282,1080,
112,1081,2,6,12,282,240,
112,1103,2,10,12,282,400,
112,1112,2,13,12,282,312,
112,1113,2,13,12,282,416,
112,1114,2,13,12,282,520,
112,1079,2,18,12,282,720,
224,2367,2,1,6,376,100,
224,2367,3,10,4,55,1000,
411,3910,2,7,1,7,280,4130.0
411,3910,3,7,1,7,280,4130.0
208,2215,2,154,4,235,48048,
208,2215,0,36,2,49,11232,
208,2215,3,44,2,54,13728,
208,2220,2,6,4,235,240,
208,2219,2,15,4,235,1800,
208,2216,2,60,4,235,18720,
208,2216,0,13,2,49,4056,
208,2216,3,10,2,54,3120,
376,3621,2,210,1,210,16800,
142,1246,2,2,40,2808,60,815.4
142,1255,2,162,40,2808,1620,
142,1294,2,42,40,2808,1260,
142,1262,2,86,40,2808,2580,17208.6
142,1254,2,48,40,2808,960,
142,1287,2,13,40,2808,390,2683.2000000000003
142,1268,2,176,40,2808,5280,16473.6
142,1274,2,286,40,2808,8580,90090.0
142,1283,2,21,40,2808,630,1417.5
142,1279,2,91,40,2808,2730,10920.0
142,1264,2,682,40,2808,20460,65642.49999318
142,1265,2,520,40,2808,10400,100568.0
142,1257,2,48,40,2808,1920,
142,1258,2,32,40,2808,960,10080.0
142,1295,2,255,40,2808,5100,
142,1243,2,1,40,2808,30,182.7
142,1245,2,3,40,2808,105,639.45
142,1263,2,43,40,2808,1290,8604.3
142,1289,2,30,40,2808,600,2400.0
142,1291,2,7,40,2808,210,1875.2999999999997
142,1256,2,7,40,2808,70,
142,1269,2,62,40,2808,1240,13020.0
36,403,2,163,8,312,37164,
36,401,2,45,8,312,3420,
36,404,2,45,8,312,8640,
36,400,2,73,8,312,11096,
36,399,2,19,8,312,3610,
473,4565,2,29,7,104,3480,
473,4566,2,16,7,104,1920,
473,4562,2,5,7,104,100,
473,4560,2,5,7,104,80,
473,4564,2,37,7,104,4440,39649.2
473,4559,2,6,7,104,120,
223,2366,2,30,5,193,900,
223,2365,2,113,5,193,2260,
179,1901,2,22,38,3266,1320,
179,1906,2,19,38,3266,342,
179,1981,2,19,38,3266,342,
179,1908,2,2,38,3266,32,
179,1941,2,2,38,3266,20,
179,1975,2,2,38,3266,20,
179,1879,2,17,38,3266,170,
179,1907,2,17,38,3266,272,
179,1942,2,17,38,3266,170,
179,1892,2,249,38,3266,4980,
179,1893,2,249,38,3266,4980,
179,1977,2,249,38,3266,2490,
179,1865,2,33,38,3266,1320,
179,1934,2,33,38,3266,1320,
179,1871,2,6,38,3266,120,
179,1813,2,22,38,3266,2640,
179,1863,2,22,38,3266,2200,
179,1948,2,22,38,3266,2200,
179,1897,2,3,38,3266,60,
179,1984,2,3,38,3266,60,
179,1902,2,5,38,3266,600,
179,1936,2,5,38,3266,500,
179,1937,2,5,38,3266,500,
179,1818,2,22,38,3266,880,
179,1861,2,22,38,3266,1760,
179,1931,2,22,38,3266,880,
179,1932,2,22,38,3266,1760,
179,1903,2,28,38,3266,1680,
179,1983,2,28,38,3266,1680,
179,1839,2,169,38,3266,1690,
179,1944,2,14,38,3266,140,
179,1828,2,15,38,3266,1500,
179,1945,2,15,38,3266,1500,
179,1862,2,25,38,3266,2500,
179,1947,2,25,38,3266,1000,
179,1899,2,25,38,3266,1500,
179,1855,2,28,38,3266,1680,
179,1885,2,248,38,3266,2480,
179,1888,2,248,38,3266,4464,
179,1889,2,248,38,3266,4464,
179,1927,2,248,38,3266,2480,
179,1916,2,7,38,3266,112,
179,1949,2,6,38,3266,96,
179,1890,2,14,38,3266,140,
179,1891,2,14,38,3266,140,
179,1886,2,113,38,3266,1130,
179,1918,2,113,38,3266,1130,
179,1884,2,194,38,3266,1940,
179,1905,2,194,38,3266,4656,
179,1917,2,194,38,3266,4656,
179,1925,2,194,38,3266,1940,
179,1954,2,194,38,3266,7760,
179,1967,2,194,38,3266,3880,
179,1988,2,194,38,3266,7760,
179,1990,2,194,38,3266,3880,
179,1992,2,194,38,3266,4656,
179,1825,2,9,38,3266,144,
179,1963,2,9,38,3266,90,
179,1904,2,143,38,3266,5148,
179,1919,2,143,38,3266,5148,
179,1953,2,143,38,3266,5720,
179,1824,2,732,38,3266,21960,
179,1894,2,732,38,3266,11712,
179,1895,2,732,38,3266,8784,
179,1965,2,732,38,3266,29280,
179,1968,2,732,38,3266,14640,
179,1986,2,732,38,3266,8784,
179,1987,2,732,38,3266,11712,
179,1974,2,128,38,3266,1280,
179,1896,2,691,38,3266,13820,
179,1920,2,691,38,3266,13820,
179,1922,2,691,38,3266,27640,
179,1923,2,691,38,3266,6910,
179,1978,2,691,38,3266,6910,
179,1993,2,691,38,3266,16584,
179,1994,2,691,38,3266,16584,
179,1995,2,691,38,3266,16584,
179,1956,2,9,38,3266,90,
179,1969,2,8,38,3266,80,
179,1970,2,8,38,3266,80,
179,1999,2,28,38,3266,280,
179,2000,2,28,38,3266,280,
179,1844,2,15,38,3266,240,
179,1957,2,15,38,3266,240,
179,1837,2,12,38,3266,120,
