id_fecha,dia,mes,anio
0,01,06,2022
1,02,08,2022
2,04,04,2022
3,05,03,2022
4,06,02,2022
5,06,03,2022
6,10,07,2022
7,11,04,2022
8,12,03,2022
9,12,04,2022
10,13,05,2022
11,14,06,2022
12,16,02,2022
13,17,02,2022
14,19,05,2022
15,21,03,2022
16,22,02,2022
17,23,05,2022
18,27,04,2022
19,27,06,2022
20,31,05,2022
21,04,07,2022
23,06,05,2022
24,07,06,2022
25,08,04,2022
26,08,05,2022
27,11,07,2022
29,20,01,2022
31,28,04,2022
33,13,07,2022
34,15,06,2022
35,16,05,2022
36,24,07,2022
49,03,06,2022
50,08,07,2022
53,14,07,2022
58,24,06,2022
60,23,12,2021
61,26,01,2022
62,29,04,2022
63,31,01,2022
64,03,02,2020
65,03,05,2022
67,03,09,2021
68,04,02,2020
69,04,10,2021
70,05,12,2019
71,06,06,2022
72,06,07,2022
73,06,10,2021
74,07,02,2020
75,07,05,2022
77,07,07,2022
78,07,09,2021
79,07,12,2020
80,08,12,2020
81,09,03,2022
82,09,05,2022
83,10,05,2022
85,11,10,2021
86,12,05,2022
87,12,09,2019
89,13,06,2022
90,14,05,2022
94,17,05,2022
95,17,06,2022
96,17,08,2021
98,19,11,2020
99,20,02,2020
100,20,08,2021
101,21,02,2020
102,21,05,2022
103,21,06,2022
104,21,09,2021
105,22,06,2022
106,22,09,2021
107,23,04,2022
108,23,06,2022
109,23,07,2022
111,25,12,2019
112,26,07,2021
113,27,05,2022
115,27,07,2021
116,27,09,2021
118,28,06,2022
119,28,11,2019
120,29,09,2021
121,30,04,2022
123,02,12,2019
124,03,05,2021
126,08,03,2022
127,17,02,2021
128,18,04,2022
129,20,07,2022
130,21,05,2021
132,25,07,2022
133,26,02,2022
134,26,04,2021
135,01,12,2021
136,03,12,2021
137,07,07,2021
138,07,12,2021
139,13,01,2022
140,13,12,2021
141,25,11,2019
142,03,02,2022
143,03,08,2021
144,06,08,2021
145,09,01,2020
146,09,02,2022
147,14,07,2021
148,15,07,2021
149,16,01,2020
150,19,07,2021
151,21,01,2020
152,21,01,2021
155,08,01,2021
156,08,03,2021
157,11,05,2021
158,12,03,2021
159,12,10,2021
160,13,01,2021
162,15,01,2021
163,15,03,2022
164,16,03,2022
165,16,09,2021
166,19,03,2020
167,20,01,2021
168,20,04,2021
170,22,01,2021
171,23,12,2020
172,25,08,2021
173,30,03,2022
174,30,12,2020
175,31,03,2022
176,04,11,2021
177,06,04,2022
178,08,06,2021
179,10,06,2021
180,10,11,2020
182,11,06,2021
