id_perfil,familia,sector,perfil,modalidad,carga_horaria,costo
0,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
1,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
2,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
3,actividades comunitarias,actividades de atención en instituciones,facilitación en la atención a personas con discapacidad,desconocida,6,250.0
4,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
5,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades para deportes de equipos,desconocida,6,250.0
6,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
7,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
8,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
9,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
10,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
11,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
12,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
13,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
14,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
15,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
16,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
17,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
18,actividades comunitarias,actividades de atención en instituciones,facilitación en la atención a personas con discapacidad,desconocida,6,250.0
19,actividades comunitarias,administración pública y defensa; planes de seguridad social de afiliación obligatoria,apoyo en seguridad penitenciaria,desconocida,6,250.0
20,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
21,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
22,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
23,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
24,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
25,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades para deportes de equipos,desconocida,6,250.0
26,actividades comunitarias,administración pública y defensa; planes de seguridad social de afiliación obligatoria,seguridad penitenciaria,desconocida,6,250.0
27,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
28,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
29,actividades comunitarias,actividades de atención en instituciones,facilitación en la atención a personas con discapacidad,desconocida,6,250.0
30,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
31,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
32,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades para deportes de equipos,desconocida,6,250.0
33,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
34,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades para deportes de equipos,desconocida,6,250.0
35,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
