id_oec,id_perfil,id_fecha,num_cer,total_horas,total_cursos,volumen_capacitados,total_ganacias,%_asistencia
49.0,1593.0,0,6,36.0,3,8,250.0,
49.0,1593.0,1,1,6.0,1,1,250.0,
49.0,1593.0,2,3,18.0,1,3,250.0,
49.0,1593.0,3,4,24.0,1,4,250.0,
49.0,1593.0,4,8,48.0,3,12,250.0,
49.0,1593.0,5,6,36.0,2,8,250.0,
49.0,1593.0,6,7,42.0,2,11,250.0,
49.0,1593.0,7,19,114.0,1,19,250.0,
49.0,1593.0,8,6,36.0,2,7,250.0,
49.0,1593.0,9,1,6.0,1,1,250.0,
49.0,1593.0,10,8,48.0,1,8,250.0,
49.0,1593.0,11,4,24.0,3,7,250.0,
49.0,1593.0,12,3,18.0,3,11,250.0,
49.0,1593.0,13,11,66.0,2,12,250.0,
49.0,1593.0,14,3,18.0,2,4,250.0,
49.0,1593.0,15,7,42.0,2,8,250.0,
49.0,1593.0,16,6,36.0,3,8,250.0,
49.0,1593.0,17,1,6.0,2,2,250.0,
49.0,1593.0,18,18,108.0,2,19,250.0,
49.0,1593.0,19,5,30.0,2,6,250.0,
49.0,1593.0,20,4,24.0,2,7,250.0,
49.0,321.0,21,1,6.0,1,1,250.0,
49.0,321.0,4,2,12.0,3,12,250.0,
49.0,321.0,23,1,6.0,1,1,250.0,
49.0,321.0,24,1,6.0,1,1,250.0,
49.0,321.0,25,1,6.0,2,2,250.0,
49.0,321.0,26,1,6.0,1,1,250.0,
49.0,321.0,27,1,6.0,1,1,250.0,
49.0,321.0,12,4,24.0,3,11,250.0,
49.0,321.0,29,3,18.0,2,18,250.0,
49.0,321.0,17,1,6.0,2,2,250.0,
49.0,321.0,31,1,6.0,2,2,250.0,
49.0,,0,1,,3,8,,
49.0,,33,5,,1,5,,
49.0,,34,1,,1,1,,
49.0,,35,1,,1,1,,
49.0,,36,1,,1,1,,
49.0,1128.0,4,2,12.0,3,12,250.0,
49.0,1128.0,5,2,12.0,2,8,250.0,
49.0,1128.0,8,1,6.0,2,7,250.0,
49.0,1128.0,11,1,6.0,3,7,250.0,
49.0,1128.0,12,4,24.0,3,11,250.0,
49.0,1128.0,13,1,6.0,2,12,250.0,
49.0,1128.0,29,15,90.0,2,18,250.0,
49.0,1128.0,15,1,6.0,2,8,250.0,
49.0,1128.0,16,1,6.0,3,8,250.0,
49.0,1128.0,19,1,6.0,2,6,250.0,
49.0,1128.0,31,1,6.0,2,2,250.0,
49.0,,0,1,,3,8,,
49.0,,49,1,,1,1,,
49.0,,50,1,,1,1,,
49.0,,6,4,,2,11,,
49.0,,11,2,,3,7,,
49.0,,53,1,,1,1,,
49.0,,14,1,,2,4,,
49.0,,18,1,,2,19,,
49.0,,20,3,,2,7,,
49.0,,25,1,,2,2,,
49.0,,58,4,,1,4,,
49.0,,16,1,,3,8,,
49.0,,60,1,,1,1,,
49.0,,61,1,,1,1,,
49.0,,62,1,,1,1,,
49.0,,63,1,,1,1,,
15.0,481.0,64,1,6.0,1,1,250.0,
15.0,481.0,65,9,54.0,1,9,250.0,
15.0,481.0,49,1,6.0,1,1,250.0,
15.0,481.0,67,2,12.0,2,3,250.0,
15.0,481.0,68,20,120.0,1,20,250.0,
15.0,481.0,69,3,18.0,1,3,250.0,
15.0,481.0,70,2,12.0,1,2,250.0,
15.0,481.0,71,1,6.0,2,2,250.0,
15.0,481.0,72,4,24.0,1,4,250.0,
15.0,481.0,73,11,66.0,1,11,250.0,
15.0,481.0,74,1,6.0,1,1,250.0,
15.0,481.0,75,18,108.0,1,18,250.0,
15.0,481.0,24,1,6.0,1,1,250.0,
15.0,481.0,77,3,18.0,1,3,250.0,
15.0,481.0,78,1,6.0,1,1,250.0,
15.0,481.0,79,7,42.0,1,7,250.0,
