id_oec,razon_social_oec,estado,canton,provincia
4,INSTITUTO SUPERIOR TECNOLÓGICO SIMÓN BOLÍVAR,HABILITADO,GUAYAQUIL,GUAYAS
8,EMPRESA PUBLICA DE SERVICIOS ESPOL - TECH E.P.,HABILITADO,GUAYAQUIL,GUAYAS
11,INSTITUTO SUPERIOR TECNOLÓGICO CENTRO TECNOLOGICO NAVAL,HABILITADO,SALINAS,SANTA ELENA
12,INSTITUTO Y CENTRO DE CAPACITACION POSEIDON ICCP S. A.,HABILITADO,GUAYAQUIL,GUAYAS
16,INSTITUTO SUPERIOR TECNOLÓGICO MANUEL ENCALADA ZÚÑIGA,HABILITADO,MACHALA,EL ORO
28,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,HABILITADO,GUAYAQUIL,GUAYAS
46,BARROS NUÑEZ MARCIA BEATRIZ,HABILITADO,CUENCA,AZUAY
47,INSTITUTO SUPERIOR TECNOLÓGICO PRIMERO DE MAYO,HABILITADO,YANZATZA,Sin Provincia
63,INSTITUTO SUPERIOR TECNOLÓGICO EL ORO,HABILITADO,MACHALA,EL ORO
64,INSTITUTO SUPERIOR TECNOLÓGICO LOJA,HABILITADO,LOJA,LOJA
65,INSTITUTO SUPERIOR TECNOLÓGICO BOLÍVAR - AMBATO,HABILITADO,AMBATO,TUNGURAHUA
68,INSTITUTO SUPERIOR TECNOLÓGICO HUAQUILLAS,HABILITADO,HUAQUILLAS,EL ORO
73,COLEGIO REGIONAL DE INGENIEROS EN ALIMENTOS DE LA ZONA CENTRO CRINAL,HABILITADO,AMBATO,TUNGURAHUA
74,TRAINING FOOD CENTER SOLINAL-SCHOOL S.A.,HABILITADO,GUAYAQUIL,GUAYAS
81,INSTITUTO SUPERIOR TECNOLÓGICO PELILEO,HABILITADO,PELILEO,Sin Provincia
82,INSTITUTO SUPERIOR TECNOLOGICO DEL AZUAY,HABILITADO,CUENCA,AZUAY
