id_curso_perfil,tipo,area_familia,especialidad_sector,curso_perfil,modalidad,carga_horaria,costo
0,curso,mecánica automotriz,mecánica general,mecánica automotriz,presencial,120,205.2
1,curso,artes y artesanía,peluquería y belleza barbería y estilismo,belleza integral,presencial,120,205.2
2,curso,artes y artesanía,cosmetología,cosmetología,presencial,120,205.2
3,curso,mecánica automotriz,carrocería,latonería,presencial,120,205.2
4,curso,mecánica automotriz,mecánica general,fundamentos teóricos mecánica automotriz,virtual,40,45.199999999999996
5,curso,artes y artesanía,peluquería y belleza barbería y estilismo,fundamentos teóricos belleza integral,virtual,40,44.800000000000004
6,curso,artes y artesanía,cosmetología,fundamentos teóricos cosmetología,virtual,40,45.199999999999996
7,curso,mecánica automotriz,carrocería,fundamentos teóricos latonería,virtual,40,45.199999999999996
8,curso,servicios socioculturales y a la comunidad,gestión cultural,guitarra y arreglos,virtual,40,45.199999999999996
9,curso,electricidad y electrónica,electrodomésticos,reparación de refrigeradoras,presencial,40,68.4
10,curso,administración y legislación,gestión de la calidad,"herramientas y técnicas ""gráficas y estadísticas"" para la gestión de calidad",virtual,20,7.6
11,curso,administración y legislación,gestión de la calidad,formación de equipos de mejora continua (emc),virtual,16,110.08
12,curso,administración y legislación,gestión de la calidad,control de calidad para la industria y empresas de servicios,virtual,16,110.08
13,curso,administración y legislación,gestión de la calidad,criterios para la implementación e integración de sistemas de gestión iso para empresas,virtual,20,271.4
14,curso,administración y legislación,gestión de la calidad,metodologías y técnicas para gestión de la mejora continua,virtual,16,110.08
15,curso,administración y legislación,gestión de la calidad,implementación de sistemas de gestión de laboratorios de ensayos iso/iec 17025:2017,virtual,16,110.08
16,curso,administración y legislación,gestión de la calidad,auditorías internas de sistemas integrados de gestión,virtual,16,110.08
17,curso,administración y legislación,gestión de la calidad,"calidad, mejora continua y sistemas integrados de gestión: teoría y prácticas del siglo xxi",virtual,136,3172.8799999999997
18,curso,administración y legislación,gestión de la calidad,implementación de sistemas de gestión de calidad iso 9001:2015,virtual,16,110.08
