id_fecha,fecha,dia,mes,anio
0,31-12-2010,31,12,2010
1,31-12-2016,31,12,2016
2,31-12-2017,31,12,2017
3,31-12-2018,31,12,2018
4,31-12-2019,31,12,2019
5,31-12-2020,31,12,2020
6,31-12-2021,31,12,2021
7,31-12-2022,31,12,2022
0,01-01-2019,01,01,2019
1,01-01-2020,01,01,2020
2,01-01-2021,01,01,2021
3,01-01-2022,01,01,2022
4,01-02-2017,01,02,2017
5,01-02-2018,01,02,2018
6,01-02-2019,01,02,2019
7,01-02-2020,01,02,2020
8,01-02-2021,01,02,2021
9,01-02-2022,01,02,2022
10,01-03-2017,01,03,2017
11,01-03-2018,01,03,2018
12,01-03-2019,01,03,2019
13,01-03-2020,01,03,2020
14,01-03-2021,01,03,2021
15,01-03-2022,01,03,2022
16,01-04-2014,01,04,2014
17,01-04-2019,01,04,2019
18,01-04-2021,01,04,2021
19,01-04-2022,01,04,2022
20,01-05-2018,01,05,2018
21,01-05-2019,01,05,2019
22,01-05-2021,01,05,2021
23,01-05-2022,01,05,2022
24,01-06-2017,01,06,2017
25,01-06-2018,01,06,2018
26,01-06-2019,01,06,2019
27,01-06-2021,01,06,2021
28,01-06-2022,01,06,2022
29,01-07-2019,01,07,2019
30,01-07-2020,01,07,2020
31,01-07-2021,01,07,2021
32,01-07-2022,01,07,2022
33,01-08-2016,01,08,2016
34,01-08-2017,01,08,2017
35,01-08-2018,01,08,2018
36,01-08-2019,01,08,2019
37,01-08-2020,01,08,2020
38,01-08-2021,01,08,2021
39,01-08-2022,01,08,2022
40,01-09-2014,01,09,2014
41,01-09-2017,01,09,2017
42,01-09-2018,01,09,2018
43,01-09-2019,01,09,2019
44,01-09-2020,01,09,2020
45,01-09-2021,01,09,2021
46,01-10-2013,01,10,2013
47,01-10-2016,01,10,2016
48,01-10-2017,01,10,2017
49,01-10-2018,01,10,2018
50,01-10-2019,01,10,2019
51,01-10-2020,01,10,2020
52,01-10-2021,01,10,2021
53,01-11-2016,01,11,2016
54,01-11-2017,01,11,2017
55,01-11-2018,01,11,2018
56,01-11-2019,01,11,2019
57,01-11-2020,01,11,2020
58,01-11-2021,01,11,2021
59,01-12-2014,01,12,2014
60,01-12-2016,01,12,2016
61,01-12-2017,01,12,2017
62,01-12-2018,01,12,2018
63,01-12-2019,01,12,2019
64,01-12-2020,01,12,2020
65,01-12-2021,01,12,2021
66,02-01-2018,02,01,2018
67,02-01-2019,02,01,2019
68,02-01-2020,02,01,2020
69,02-01-2021,02,01,2021
70,02-01-2022,02,01,2022
71,02-02-2017,02,02,2017
72,02-02-2018,02,02,2018
73,02-02-2019,02,02,2019
74,02-02-2020,02,02,2020
75,02-02-2021,02,02,2021
76,02-02-2022,02,02,2022
77,02-03-2015,02,03,2015
78,02-03-2017,02,03,2017
79,02-03-2018,02,03,2018
80,02-03-2019,02,03,2019
81,02-03-2020,02,03,2020
82,02-03-2021,02,03,2021
83,02-03-2022,02,03,2022
84,02-04-2014,02,04,2014
85,02-04-2018,02,04,2018
86,02-04-2019,02,04,2019
87,02-04-2021,02,04,2021
88,02-04-2022,02,04,2022
89,02-05-2017,02,05,2017
90,02-05-2018,02,05,2018
91,02-05-2019,02,05,2019
92,02-05-2021,02,05,2021
93,02-05-2022,02,05,2022
94,02-06-2017,02,06,2017
95,02-06-2019,02,06,2019
96,02-06-2021,02,06,2021
97,02-06-2022,02,06,2022
98,02-07-2018,02,07,2018
99,02-07-2019,02,07,2019
100,02-07-2020,02,07,2020
101,02-07-2021,02,07,2021
102,02-07-2022,02,07,2022
103,02-08-2016,02,08,2016
104,02-08-2017,02,08,2017
105,02-08-2018,02,08,2018
106,02-08-2019,02,08,2019
107,02-08-2020,02,08,2020
108,02-08-2021,02,08,2021
109,02-08-2022,02,08,2022
110,02-09-2016,02,09,2016
111,02-09-2017,02,09,2017
112,02-09-2018,02,09,2018
113,02-09-2019,02,09,2019
114,02-09-2020,02,09,2020
115,02-09-2021,02,09,2021
116,02-10-2013,02,10,2013
117,02-10-2017,02,10,2017
