id_fact_ci_cp,id_razon_social,id_curso_perfil,id_fecha,num_cap,total_horas,total_ganancias
0,3,8897,6,14.0,336.0,1841.2800000000002
1,19,9644,6,69.0,2760.0,7700.4
2,24,9012,6,102.0,1632.0,11221.424761904755
3,24,9841,6,7.0,112.0,920.6400000000001
4,24,9839,6,17.0,272.0,1870.2374603174592
5,31,9928,6,19.0,456.0,6849.120000000001
6,31,9927,6,24.0,960.0,1440.0
7,44,9949,6,4.0,128.0,1442.56
8,44,9950,6,26.0,624.0,7282.08
9,46,9094,6,27.0,1080.0,2829.6000000000004
10,46,9095,6,86.0,3440.0,23653.00317460316
11,52,10100,6,2.0,80.0,89.60000000000001
12,54,9423,6,5.0,80.0,249.60000000000002
13,64,8983,6,2.0,80.0,150.39999999999998
14,67,10378,6,22.0,880.0,1540.0
15,69,10153,6,43.0,1032.0,340.56
16,73,9270,6,3.0,120.0,1081.1999999999998
17,79,8953,6,1.0,40.0,275.03492063492047
18,83,8968,6,6.0,48.0,330.04190476190456
19,83,10771,6,44.0,1056.0,7260.921904761901
20,86,9347,6,28.0,896.0,8117.76
21,97,9730,6,10.0,160.0,3604.8
22,99,8792,6,67.0,536.0,3685.467936507934
23,108,9872,6,26.0,1040.0,4680.0
24,108,9874,6,15.0,600.0,4125.523809523807
25,111,9996,6,1.0,16.0,4.48
26,117,9183,6,9.0,144.0,623.52
27,120,9786,6,2.0,80.0,41.6
28,125,9008,6,51.0,2040.0,2040.0
29,125,9007,6,61.0,2440.0,2732.8
30,125,9009,6,48.0,1920.0,2150.4
31,127,9983,6,2.0,80.0,89.60000000000001
32,128,8878,6,1.0,40.0,168.4
33,156,9823,6,12.0,480.0,2020.8000000000002
34,156,9824,6,7.0,280.0,1260.0
35,165,9198,6,32.0,256.0,1920.0
36,165,9197,6,85.0,1360.0,9356.8
37,165,9199,6,53.0,2120.0,2374.4
38,168,9027,6,30.0,720.0,4802.4
39,171,8296,6,23.0,920.0,1030.4
40,173,9815,6,704.0,16896.0,31764.48
41,174,9847,6,1.0,24.0,88.08
42,175,10386,6,3.0,120.0,210.0
43,175,10388,6,2.0,80.0,140.0
44,175,10387,6,1.0,40.0,70.0
45,177,10245,6,5.0,200.0,900.0
46,184,9102,6,9.0,216.0,2430.0
47,189,10254,6,6.0,48.0,360.0
48,189,10253,6,40.0,320.0,2400.0
49,189,10256,6,70.0,1120.0,9800.0
50,189,10257,6,356.0,14240.0,15948.800000000001
51,190,9986,6,97.0,776.0,5335.677460317457
52,197,9331,6,59.0,2360.0,16227.060317460307
53,197,9330,6,17.0,680.0,4675.593650793648
54,217,8980,6,4.0,32.0,220.02793650793637
55,233,8976,6,4.0,160.0,1100.1396825396819
56,239,10121,6,88.0,704.0,14826.24
57,240,10295,6,61.0,2440.0,4587.199999999999
58,241,9723,6,274.0,10960.0,47456.799999999996
59,251,10089,6,57.0,1368.0,5075.28
60,252,9576,6,6.0,240.0,1080.0
61,260,9720,6,1.0,40.0,173.2
62,261,10174,6,5.0,160.0,52.800000000000004
63,264,9037,6,1.0,32.0,56.0
64,273,9546,6,13.0,208.0,2190.24
65,273,9547,6,8.0,320.0,601.5999999999999
66,286,8927,6,218.0,6976.0,13114.88
67,286,8926,6,56.0,2240.0,11737.600000000002
68,287,10216,6,12.0,480.0,3300.4190476190456
69,287,10217,6,15.0,600.0,4125.523809523807
70,288,8879,6,5.0,200.0,558.0
71,295,10431,6,12.0,96.0,2021.7599999999998
72,295,10432,6,37.0,888.0,6233.759999999999
73,296,10348,6,9.0,360.0,3243.6
74,296,10349,6,46.0,1840.0,16578.399999999998
75,297,9424,6,38.0,1520.0,10451.326984126978
76,301,9988,6,151.0,6040.0,41530.27301587299
77,302,8261,6,34.0,1360.0,2325.6000000000004
78,302,8262,6,78.0,3120.0,4680.0
79,317,10909,6,40.0,320.0,6739.2
80,317,10908,6,40.0,960.0,3561.5999999999995
81,317,10237,6,9.0,144.0,1516.32
82,317,10238,6,11.0,440.0,1852.4
83,317,10239,6,138.0,5520.0,6182.400000000001
84,319,9737,6,70.0,1680.0,7828.8
85,319,9736,6,264.0,8448.0,29483.52
86,322,10426,6,5.0,200.0,1375.1746031746025
87,329,9630,6,188.0,3008.0,20682.62603174602
88,329,9633,6,19.0,456.0,629.28
89,329,9631,6,45.0,1080.0,4006.7999999999997
90,351,9584,6,41.0,328.0,2255.286349206348
91,351,9582,6,31.0,248.0,1705.2165079365068
92,351,9583,6,27.0,432.0,1347.8400000000001
93,351,9580,6,31.0,744.0,2447.76
94,351,9581,6,21.0,168.0,1155.146666666666
95,351,9586,6,17.0,680.0,2380.0
96,355,10281,6,46.0,1840.0,5372.8
97,362,9192,6,6.0,96.0,660.48
98,362,9193,6,219.0,1752.0,32850.0
99,364,9391,6,3.0,120.0,210.0
100,370,9745,6,20.0,480.0,1780.7999999999997
101,373,9141,6,8.0,320.0,1440.0
102,375,9308,6,40.0,1600.0,4800.0
103,375,9307,6,24.0,960.0,1440.0
104,375,9306,6,46.0,1840.0,9200.0
105,376,10436,6,1.0,24.0,360.48
106,376,10435,6,1.0,40.0,60.0
107,376,10437,6,1.0,40.0,60.0
108,376,9316,6,18.0,576.0,6491.5199999999995
109,376,9317,6,20.0,800.0,1400.0
110,376,9315,6,21.0,840.0,1470.0
111,381,9904,6,343.0,13720.0,35946.4
112,381,9903,6,345.0,13800.0,25943.999999999996
113,381,9902,6,330.0,13200.0,24815.999999999996
114,381,9039,6,28.0,448.0,1397.76
115,382,8234,6,24.0,384.0,2640.3352380952365
116,382,8235,6,4.0,160.0,1100.1396825396819
117,385,9014,6,1.0,24.0,165.02095238095228
118,394,10214,6,1.0,8.0,111.76
119,413,9793,6,34.0,816.0,3027.3599999999997
120,413,9794,6,5.0,80.0,842.4
121,458,8570,6,5.0,200.0,1600.0
122,458,8569,6,2.0,48.0,128.16
123,463,9125,6,33.0,528.0,1647.3600000000001
124,463,9126,6,12.0,288.0,1068.48
125,466,9269,6,36.0,1440.0,6350.400000000001
126,469,9836,6,2.0,80.0,360.0
127,469,9837,6,2.0,80.0,419.20000000000005
128,473,9257,6,203.0,4872.0,73177.44
129,475,8225,6,1.0,40.0,362.40000000000003
130,486,9759,6,73.0,2920.0,23360.0
131,487,10106,6,74.0,1184.0,8276.16
132,488,8915,6,77.0,3080.0,13860.0
133,488,8914,6,70.0,1680.0,11205.599999999999
134,489,8960,6,10.0,80.0,550.0698412698409
135,493,9994,6,16.0,640.0,2880.0
136,494,8257,6,1.0,24.0,165.02095238095228
137,496,9282,6,1.0,40.0,140.0
138,496,9281,6,1.0,40.0,44.800000000000004
139,496,9280,6,2.0,32.0,10.56
140,498,9716,6,127.0,5080.0,69850.0
141,498,10915,6,185.0,7400.0,12950.0
142,503,10181,6,10.0,400.0,700.0
143,505,10101,6,3.0,48.0,505.43999999999994
144,515,8984,6,7.0,280.0,1467.2000000000003
145,523,9458,6,12.0,480.0,537.6
146,523,9289,6,45.0,1800.0,2700.0
147,523,9457,6,16.0,640.0,716.8000000000001
148,523,9456,6,4.0,96.0,356.15999999999997
149,526,9297,6,301.0,12040.0,50688.4
150,526,9299,6,6.0,192.0,670.08
151,526,10389,6,205.0,8200.0,22878.0
152,526,9298,6,360.0,14400.0,40176.0
153,527,9232,6,11.0,440.0,6050.0
154,527,9230,6,6.0,240.0,2162.3999999999996
155,527,9231,6,47.0,752.0,16942.56
156,544,8882,6,18.0,144.0,360.0
157,544,8883,6,26.0,1040.0,7150.907936507932
158,547,9112,6,3.0,120.0,825.1047619047614
159,577,9762,6,3.0,96.0,180.48
160,577,9763,6,9.0,216.0,792.72
161,578,10108,6,170.0,5440.0,61308.799999999996
162,583,8928,6,10.0,160.0,44.800000000000004
163,586,9685,6,64.0,2560.0,4812.799999999999
164,588,10816,6,1.0,32.0,138.56
165,588,9359,6,14.0,448.0,1939.8400000000001
166,590,9080,6,13.0,312.0,4421.04
167,599,8402,6,29.0,464.0,3190.4050793650777
168,599,8404,6,79.0,3160.0,21727.758730158715
169,599,8403,6,26.0,416.0,2860.363174603173
170,607,9081,6,45.0,1800.0,2700.0
171,609,9476,6,28.0,1120.0,1960.0
172,612,8229,6,1.0,16.0,64.0
173,612,8228,6,5.0,200.0,300.0
174,625,10067,6,1.0,8.0,20.0
175,628,9868,6,16.0,128.0,880.1117460317455
176,635,9478,6,77.0,3080.0,13860.0
177,635,9479,6,7.0,280.0,313.6
178,637,10368,6,16.0,256.0,1760.223492063491
179,641,9208,6,24.0,960.0,4320.0
180,642,9032,6,19.0,304.0,948.48
181,643,9965,6,5.0,200.0,700.0
182,645,9541,6,32.0,1280.0,1433.6000000000001
183,651,9551,6,17.0,272.0,6128.16
184,652,9652,6,4.0,128.0,674.56
185,656,9401,6,180.0,1440.0,10800.0
186,656,9400,6,31.0,1240.0,17050.0
187,661,9604,6,20.0,640.0,7212.799999999999
