id_fact_ci_rs,id_razon_social,id_fecha,volumen_cap,volumen_horas,volumen_ganancias,total_cursos
0,1000,7,191.0,1696.0,23671.68,3
1,1001,6,263.0,6784.0,31272.0,3
2,1002,5,144.0,4632.0,11960.656507936505,2
3,1004,7,22.0,704.0,1936.0,1
4,1006,6,1.0,32.0,32.0,1
5,1009,6,4.0,160.0,673.6,1
6,1011,6,1.0,40.0,20.8,1
7,1018,5,2.0,80.0,419.20000000000005,1
8,1023,7,16.0,352.0,2506.3314285714273,3
9,1024,6,5.0,160.0,843.1999999999999,1
10,1025,7,175.0,7000.0,9208.0,2
11,1027,6,23.0,920.0,1692.8000000000002,1
12,1030,7,4.0,128.0,1442.56,1
13,1031,7,1.0,16.0,129.92,1
14,1037,6,11.0,440.0,1980.0,1
15,1043,6,61.0,488.0,10277.279999999999,1
16,108,6,41.0,1640.0,8805.523809523807,2
17,111,6,1.0,16.0,4.48,1
18,117,6,9.0,144.0,623.52,1
19,120,6,2.0,80.0,41.6,1
20,1238,6,54.0,2144.0,3187.2,2
21,1239,6,8.0,320.0,560.0,1
22,1240,6,16.0,640.0,1120.0,1
23,1246,6,99.0,1584.0,38808.0,1
24,1247,6,106.0,4240.0,7420.0,1
25,125,6,160.0,6400.0,6923.200000000001,3
26,1250,6,47.0,1712.0,3309.44,2
27,1251,7,10.0,400.0,448.00000000000006,1
28,1253,6,1.0,40.0,320.0,1
29,1257,6,465.0,5280.0,51984.0,3
30,1258,5,235.0,9400.0,39574.0,1
31,1263,6,24.0,408.0,2683.92,2
32,1265,5,26.0,1040.0,1955.1999999999998,1
33,1266,6,86.0,3440.0,10403.6,3
34,1267,6,2.0,32.0,85.44,1
35,1268,6,69.0,1656.0,24873.120000000003,1
36,1269,6,79.0,1264.0,13309.92,1
37,127,6,2.0,80.0,89.60000000000001,1
38,1270,6,34.0,544.0,3740.4749206349184,1
39,1272,6,1.0,40.0,70.0,1
40,1274,7,61.0,488.0,3355.42603174603,1
41,1275,6,11.0,440.0,794.4000000000001,2
42,1276,5,542.0,21536.0,107688.95999999998,3
43,128,6,1.0,40.0,168.4,1
44,1281,6,4.0,160.0,240.0,1
45,1282,6,1.0,16.0,140.0,1
46,1294,6,13.0,520.0,582.4000000000001,1
47,1298,6,124.0,4960.0,22320.0,1
48,1299,7,5.0,80.0,550.0698412698409,1
49,1301,6,1019.0,32608.0,224343.04,1
50,1313,6,1.0,32.0,168.64,1
51,1315,6,24.0,960.0,4041.6000000000004,1
52,1316,6,3.0,96.0,335.04,1
53,1333,6,2.0,32.0,99.84,1
54,1334,7,3.0,120.0,886.8,2
55,1337,6,100.0,3448.0,20004.56,2
56,1338,7,21.0,600.0,1326.3999999999999,2
57,1339,6,37.0,856.0,13336.88,2
58,1343,6,13.0,520.0,1450.8,1
59,1345,6,8.0,256.0,802.56,2
60,1348,6,9.0,88.0,700.0,2
61,1349,6,13.0,368.0,4240.195555555554,2
62,1350,6,5.0,200.0,350.0,1
63,1353,6,161.0,6440.0,18804.8,2
64,1355,7,16.0,512.0,5770.24,1
65,1358,6,883.0,23008.0,97234.56,4
66,1359,6,45.0,1800.0,2700.0,1
67,1361,7,13.0,520.0,3575.453968253966,1
68,1362,6,49.0,784.0,11179.04,2
69,1363,7,100.0,4000.0,10480.000000000002,1
70,1364,6,41.0,656.0,4510.572698412696,1
71,1365,7,7.0,280.0,945.5999999999999,2
72,1367,6,10.0,400.0,1684.0,1
73,1368,5,2.0,32.0,220.02793650793637,1
74,1370,6,1.0,40.0,173.2,1
75,1371,6,43.0,1432.0,1303.36,2
76,1378,7,1.0,40.0,44.800000000000004,1
77,1379,6,42.0,1680.0,9377.2,3
78,1380,6,260.0,10400.0,46800.0,1
79,1384,5,84.0,3360.0,3763.2000000000003,1
80,1385,6,4.0,160.0,1100.1396825396819,1
81,1386,6,38.0,1520.0,1702.4,2
82,1390,6,59.0,1024.0,3795.819682539682,2
83,1392,7,169.0,6760.0,60907.6,1
84,1393,6,15.0,584.0,900.3199999999999,2
85,1395,6,257.0,4576.0,46710.08,3
86,1397,6,12.0,384.0,1340.16,1
87,1398,6,6.0,96.0,533.76,1
88,1401,6,15.0,600.0,1050.0,2
89,1402,6,1.0,16.0,129.92,1
90,1406,6,212.0,4128.0,27623.324444444428,7
91,1408,6,6.0,80.0,1279.68,2
92,1413,6,17.0,480.0,2078.4,3
93,1415,7,8.0,320.0,1080.0,2
94,1416,6,54.0,2160.0,18522.584126984126,2
95,1420,6,2.0,32.0,220.02793650793637,1
96,1430,6,94.0,1880.0,7099.536507936505,2
97,1436,5,1216.0,29264.0,204911.28,2
98,1438,6,110.0,1088.0,7480.949841269838,2
99,1439,6,270.0,3088.0,15620.0,2
100,1441,6,36.0,888.0,2288.497777777777,3
101,1453,6,26.0,208.0,4380.48,1
102,1455,6,15.0,384.0,2190.2095238095226,2
103,1457,6,58.0,2320.0,16226.990476190465,3
104,1464,6,22.0,880.0,3960.0,1
105,1465,6,21.0,840.0,1470.0,1
106,1468,6,36.0,1104.0,7074.598095238091,2
107,1469,6,16.0,640.0,4400.5587301587275,1
108,1470,6,2.0,32.0,336.96,1
109,1472,6,9.0,72.0,540.0,1
110,1474,6,94.0,1072.0,2128.0,2
111,1475,6,81.0,1544.0,10340.48,2
112,1476,6,13.0,312.0,1026.48,1
113,1478,5,495.0,19800.0,103752.00000000001,1
114,1479,6,26.0,624.0,4380.48,1
115,1481,6,90.0,3120.0,20250.844444444432,3
116,1482,6,1.0,40.0,275.03492063492047,1
117,1484,7,7.0,112.0,1179.36,1
118,1485,7,125.0,1000.0,6875.873015873011,1
119,1487,5,158.0,2408.0,16898.56253968253,5
120,1488,5,10.0,248.0,181.27999999999997,2
121,1490,5,149.0,5960.0,53997.600000000006,1
122,1496,6,1.0,16.0,360.48,1
123,1502,6,373.0,14576.0,199589.92,3
124,1505,6,17.0,544.0,1898.5600000000002,1
125,1506,6,5.0,200.0,1048.0,1
126,1510,5,2.0,64.0,419.2,1
127,1511,7,57.0,2280.0,2553.6000000000004,1
128,1514,6,28.0,1120.0,1960.0,1
129,1515,6,30.0,688.0,10808.400000000001,3
130,1520,7,86.0,3440.0,23653.00317460316,3
131,1521,6,5.0,120.0,445.19999999999993,1
132,1523,6,16.0,256.0,1410.56,1
133,1525,6,39.0,1248.0,4355.52,2
134,1526,6,15.0,600.0,1050.0,1
135,1527,6,95.0,1600.0,1668.48,5
136,1532,6,21.0,840.0,3536.4,1
137,1539,6,8.0,256.0,2560.0,1
138,1541,6,94.0,1504.0,10341.31301587301,1
139,1544,6,4.0,32.0,673.92,1
140,1545,6,234.0,9328.0,10910.560000000001,4
141,1546,7,38.0,1520.0,4240.8,1
142,1548,7,2.0,80.0,4.0,1
143,1549,6,174.0,6960.0,38210.8,3
144,155,7,92.0,2208.0,10289.28,1
145,1550,6,16.0,536.0,3332.48,3
146,1551,6,2.0,80.0,640.0,1
147,1552,6,47.0,1880.0,2105.6000000000004,1
148,1558,6,4.0,160.0,446.4,1
149,156,6,19.0,760.0,3280.8,2
150,1568,6,10.0,80.0,1117.6000000000001,2
151,1570,7,9.0,144.0,990.1257142857137,1
152,1571,6,55.0,2200.0,3300.0,1
153,1572,6,2.0,80.0,640.0,1
154,1576,6,74.0,2960.0,20352.584126984115,1
155,1577,6,22.0,176.0,3706.56,1
156,1588,6,4.0,160.0,240.0,1
157,1593,6,28.0,1120.0,1254.4,1
158,1594,7,19.0,152.0,1045.1326984126977,1
159,1597,6,115.0,2752.0,19812.96,4
160,1603,6,2.0,32.0,720.96,1
161,1604,5,4.0,160.0,673.6,1
162,1609,6,673.0,26920.0,188213.2,4
163,1612,6,41.0,1640.0,2460.0,1
164,1617,6,208.0,8320.0,14560.0,2
165,1619,6,66.0,2640.0,8515.66349206349,2
166,1620,6,8.0,320.0,4400.0,1
167,1622,6,1.0,40.0,550.0,1
168,1623,7,2.0,64.0,440.05587301587275,1
169,1632,6,16.0,640.0,2694.4,1
170,1634,7,41.0,592.0,4727.415873015872,2
171,1635,5,2.0,80.0,233.6,1
172,1636,6,19.0,608.0,1143.04,1
173,1638,6,9.0,72.0,1516.32,1
174,1639,6,14.0,560.0,627.2,1
175,1640,6,289.0,10792.0,20472.0,3
176,1641,7,804.0,22120.0,80398.64,7
177,1642,7,31.0,1240.0,1860.0,1
178,1643,7,12.0,480.0,3840.0,1
179,1645,6,63.0,2520.0,11108.0,2
180,1646,5,6.0,240.0,720.0,2
181,1648,7,1.0,16.0,168.48,1
182,165,6,170.0,3736.0,13651.199999999999,3
183,1650,6,177.0,6888.0,29812.56,5
184,1653,6,65.0,2600.0,11700.0,1
185,1655,6,11.0,88.0,1229.3600000000001,1
186,1657,5,2.0,32.0,220.07999999999998,2
187,1664,6,3.0,56.0,115.19999999999999,2
188,1668,6,88.0,3520.0,10278.4,1
189,1672,6,6.0,240.0,550.0,2
190,1677,6,93.0,2024.0,8757.12,4
191,1678,7,7.0,280.0,1925.2444444444432,1
192,168,6,30.0,720.0,4802.4,1
193,1680,6,1.0,40.0,275.03492063492047,1
194,1684,7,9.0,144.0,1006.5600000000001,1
195,1685,6,6.0,168.0,773.04,2
196,1688,6,16.0,528.0,1397.7599999999998,2
197,1689,6,72.0,2856.0,3231.76,3
198,1690,6,126.0,5040.0,20229.600000000002,3
199,1691,6,10.0,160.0,440.0,1
200,1698,6,49.0,1960.0,3430.0,1
201,1699,6,14.0,448.0,2360.96,1
202,1700,6,19.0,760.0,5225.663492063489,1
203,1701,7,19.0,760.0,3199.6000000000004,2
204,1702,6,68.0,1312.0,6285.831111111109,3
205,1704,7,20.0,320.0,2200.2793650793637,1
206,1706,6,32.0,1280.0,10240.0,2
207,1709,6,65.0,2600.0,3282.8,3
208,171,6,23.0,920.0,1030.4,1
209,1710,6,2.0,48.0,320.15999999999997,1
210,1717,5,1524.0,17376.0,142206.79619047613,4
211,1721,6,31.0,1240.0,11172.4,1
212,1722,7,19.0,760.0,1140.0,1
213,1723,5,4.0,128.0,224.0,1
214,1725,5,1.0,40.0,60.0,1
215,1729,6,119.0,4104.0,46271.600000000006,5
216,173,6,704.0,16896.0,31764.48,1
217,1731,6,8.0,320.0,480.0,1
218,174,6,1.0,24.0,88.08,1
219,1740,7,92.0,1048.0,15500.159999999998,2
220,1743,6,231.0,8472.0,38903.04000000001,4
221,1744,5,56.0,1112.0,7366.24,2
222,1748,6,67.0,2584.0,5177.655873015872,2
223,175,6,6.0,240.0,420.0,3
224,1750,6,160.0,5168.0,31235.238095238077,5
225,1753,6,9.0,360.0,403.20000000000005,1
226,1754,5,6.0,240.0,451.19999999999993,1
