id_fact_oec_cp,id_razon_social,id_curso_perfil,id_fecha,num_cer,total_horas,total_ganancias,porcentaje_asistencia
0,2,7523,36,6.0,36.0,1500.0,0.0
1,2,7524,36,6.0,36.0,1500.0,0.0
2,55,6335,36,4.0,24.0,1000.0,0.0
3,771,774,36,7.0,280.0,1925.2444444444432,0.0
4,771,794,36,7.0,280.0,1925.2444444444432,0.0
5,771,6429,36,7.0,42.0,1750.0,0.0
6,944,6215,36,2.0,12.0,500.0,0.0
7,944,6216,36,2.0,12.0,500.0,0.0
8,1331,2315,36,19.0,304.0,2090.2653968253953,0.0
9,1331,2316,36,19.0,304.0,22562.88,0.0
10,1331,2429,36,19.0,304.0,2090.2653968253953,0.0
11,1331,2430,36,19.0,304.0,203.68,0.0
12,1331,2443,36,19.0,380.0,2612.8317460317444,0.0
13,1331,2444,36,19.0,380.0,5156.599999999999,0.0
14,1331,6415,36,19.0,114.0,4750.0,0.0
15,1331,6416,36,19.0,114.0,4750.0,0.0
16,1331,2455,36,11.0,440.0,3025.384126984125,0.0
17,1331,2456,36,11.0,440.0,1790.8000000000002,0.0
18,1331,6283,36,11.0,66.0,2750.0,0.0
19,1331,6284,36,11.0,66.0,2750.0,0.0
20,1331,6628,36,11.0,66.0,2750.0,0.0
21,1331,6629,36,11.0,66.0,2750.0,0.0
22,1331,7713,36,1.0,6.0,250.0,0.0
23,1331,7714,36,1.0,6.0,250.0,0.0
24,1331,7723,36,8.0,48.0,2000.0,0.0
25,1331,7724,36,8.0,48.0,2000.0,0.0
26,1331,6674,36,1.0,6.0,250.0,0.0
27,1331,6675,36,1.0,6.0,250.0,0.0
28,1705,6279,36,1.0,6.0,250.0,0.0
29,1965,6326,36,5.0,30.0,1250.0,0.0
30,2050,6288,36,2.0,12.0,500.0,0.0
31,2050,6720,36,2.0,12.0,500.0,0.0
32,2154,7421,36,1.0,6.0,250.0,0.0
33,2,7523,117,1.0,6.0,250.0,0.0
34,2,7524,117,1.0,6.0,250.0,0.0
35,55,6335,117,2.0,12.0,500.0,0.0
36,343,6810,117,2.0,12.0,500.0,0.0
37,666,6985,117,1.0,6.0,250.0,0.0
38,771,5878,117,4.0,24.0,1000.0,0.0
39,1366,5918,117,11.0,66.0,2750.0,0.0
40,1965,6326,117,2.0,12.0,500.0,0.0
41,2,7523,239,3.0,18.0,750.0,0.0
42,2,7524,239,3.0,18.0,750.0,0.0
43,55,6335,239,9.0,54.0,2250.0,0.0
44,59,6212,239,3.0,18.0,750.0,0.0
45,223,6126,239,1.0,6.0,250.0,0.0
46,269,6104,239,4.0,24.0,1000.0,0.0
47,501,6811,239,1.0,6.0,250.0,0.0
48,771,5920,239,27.0,162.0,6750.0,0.0
49,944,6997,239,2.0,12.0,500.0,0.0
50,944,6998,239,2.0,12.0,500.0,0.0
51,1050,6259,239,1.0,6.0,250.0,0.0
52,2154,6101,239,10.0,60.0,2500.0,0.0
53,2154,6771,239,1.0,6.0,250.0,0.0
54,2176,6682,239,1.0,6.0,250.0,0.07955449482895784
55,2,7523,309,4.0,24.0,1000.0,0.0
56,2,7524,309,4.0,24.0,1000.0,0.0
57,501,6811,309,6.0,36.0,1500.0,0.0
58,709,5898,309,1.0,6.0,250.0,0.0
59,944,6215,309,1.0,6.0,250.0,0.0
60,944,6216,309,1.0,6.0,250.0,0.0
61,1935,5936,309,11.0,66.0,2750.0,0.0
62,2,7523,373,8.0,48.0,2000.0,0.0
63,2,7524,373,8.0,48.0,2000.0,0.0
64,2,6193,373,2.0,12.0,500.0,0.0
65,2,6194,373,2.0,12.0,500.0,0.0
66,2,7027,373,2.0,12.0,500.0,0.0
67,2,7028,373,2.0,12.0,500.0,0.0
