id_fact_oec_rs,id_razon_social,id_fecha,volumen_cer,volumen_horas,volumen_ganancias,volumen_porcentaje_asistencia,total_perfiles
0,102,26,1.0,6.0,250.0,0.0,1
1,102,141,1.0,6.0,250.0,0.0,1
2,102,348,13.0,78.0,3250.0,0.0,2
3,102,479,13.0,78.0,3250.0,0.0,1
4,102,499,9.0,54.0,2250.0,0.0,1
5,102,517,4.0,24.0,1000.0,0.0,1
6,102,607,1.0,6.0,250.0,0.0,1
7,102,637,1.0,6.0,250.0,0.0,1
8,102,925,5.0,30.0,1250.0,0.0,1
9,102,935,11.0,66.0,2750.0,0.0,2
10,102,970,1.0,6.0,250.0,0.0,1
11,102,971,3.0,18.0,750.0,0.0,1
12,102,1128,1.0,6.0,250.0,0.0,1
13,102,1237,5.0,30.0,1250.0,0.0,2
14,102,1307,1.0,6.0,250.0,0.0,1
15,102,1437,7.0,42.0,1750.0,0.0,1
16,102,1454,1.0,6.0,250.0,0.0,1
17,102,1622,2.0,12.0,500.0,0.0,1
18,102,1824,1.0,6.0,250.0,0.0,1
19,102,1902,1.0,6.0,250.0,0.0,1
20,102,1918,6.0,36.0,1500.0,0.0,1
21,102,1960,1.0,6.0,250.0,0.0,1
22,102,2037,2.0,12.0,500.0,0.0,1
23,1021,27,3.0,18.0,750.0,0.0,1
24,1021,60,8.0,48.0,2000.0,0.0,1
25,1021,228,1.0,6.0,250.0,0.0,1
26,1021,268,11.0,66.0,2750.0,0.0,1
27,1021,273,2.0,12.0,500.0,0.0,1
28,1021,280,9.0,54.0,2250.0,0.0,1
29,1021,295,11.0,66.0,2750.0,0.0,1
30,1021,308,3.0,18.0,750.0,0.0,1
31,1021,325,17.0,102.0,4250.0,0.0,1
32,1021,406,7.0,42.0,1750.0,0.0,1
33,1021,419,1.0,6.0,250.0,0.0,1
34,1021,420,1.0,6.0,250.0,0.0,1
35,1021,531,2.0,12.0,500.0,0.0,1
36,1021,607,6.0,36.0,1500.0,0.0,1
37,1021,612,2.0,12.0,500.0,0.0,1
38,1021,678,8.0,48.0,2000.0,0.0,1
39,1021,679,1.0,6.0,250.0,0.0,1
40,1021,726,21.0,126.0,5250.0,0.0,1
41,1021,750,6.0,36.0,1500.0,0.0,1
42,1021,822,2.0,12.0,500.0,0.0,1
43,1021,835,3.0,18.0,750.0,0.0,1
44,1021,852,2.0,12.0,500.0,0.0,1
45,1021,872,8.0,48.0,2000.0,0.0,1
46,1021,888,9.0,54.0,2250.0,0.0,1
47,1021,953,10.0,60.0,2500.0,0.0,1
48,1021,1020,2.0,12.0,500.0,0.0,1
49,1021,1062,3.0,18.0,750.0,0.0,1
50,1021,1109,1.0,6.0,250.0,0.0,1
51,1021,1286,3.0,18.0,750.0,0.0,1
52,1021,1358,1.0,6.0,250.0,0.0,1
53,1021,1380,1.0,6.0,250.0,0.0,1
54,1021,1440,7.0,42.0,1750.0,0.0,1
55,1021,1497,16.0,96.0,4000.0,0.0,1
56,1021,1741,3.0,18.0,750.0,0.0,1
57,1021,1760,6.0,36.0,1500.0,0.0,1
58,1021,1793,1.0,6.0,250.0,0.0,1
59,1021,1841,15.0,90.0,3750.0,0.0,1
60,1021,2032,14.0,84.0,3500.0,0.0,1
61,1021,2051,24.0,144.0,6000.0,0.0,1
62,1050,60,4.0,24.0,1000.0,0.0,3
63,1050,72,1.0,6.0,250.0,0.0,1
64,1050,73,3.0,18.0,750.0,0.0,2
65,1050,100,4.0,24.0,1000.0,0.0,3
66,1050,104,1.0,6.0,250.0,0.0,1
67,1050,109,2.0,12.0,500.0,0.0,2
68,1050,148,1.0,6.0,250.0,0.0,1
69,1050,152,10.0,60.0,2500.0,0.0,1
70,1050,154,1.0,6.0,250.0,0.0,1
71,1050,160,2.0,12.0,500.0,0.0,2
72,1050,173,2.0,12.0,500.0,0.0,1
