,Areas de Formación,Nombre  de los Programas,Modalidad,Tiempo de duración,Duración programa,Precio
0,administracion y negocios,gerencia de instituciones de salud,100% online,1736 h,1 año  2 meses, llamar 
1,educacion,liderazgo educativo,100% online,1680 h,1 año  2 meses, llamar 
2,salud,seguridad y salud ocupacional,100% online,1680 h,1 año  2 meses, llamar 
3,administracion y negocios,administracion de empresas,100% online,168 h,3-5 meses, llamar 
4,administracion y negocios,desarrollo de negocios y emprendimiento,100% online,168 h,3-5 meses, llamar 
5,administracion y negocios,direccion estrategica,100% online,168 h,3-5 meses, llamar 
6,administracion y negocios,e-commerce,100% online,168 h,3-5 meses, llamar 
7,administracion y negocios,gestion de negocios con tecnologias digitrales,100% online,168 h,3-5 meses, llamar 
8,administracion y negocios,gestion de riesgos y manejo de crisis en el sector de servicios,100% online,168 h,3-5 meses, llamar 
9,tecnologia e informacion,big data,100% online,168 h,3-5 meses, llamar 
10,tecnologia e informacion,bussines intelligentes,100% online,168 h,3-5 meses, llamar 
11,tecnologia e informacion,ciberseguridad,100% online,168 h,3-5 meses, llamar 
12,tecnologia e informacion,cloud computing,100% online,168 h,3-5 meses, llamar 
13,tecnologia e informacion,desarrollo de videojuegos,100% online,168 h,3-5 meses, llamar 
14,tecnologia e informacion,design thinking,100% online,168 h,3-5 meses, llamar 
15,tecnologia e informacion,marketing digital,100% online,168 h,3-5 meses, llamar 
16,salud,administracion para auxiliares de odontologia,100% online,168 h,3-5 meses, llamar 
17,salud,alimentacion y nutricion para salud y el bienestar,100% online,168 h,3-5 meses, llamar 
18,salud,armonizacion orofacial y estetica dental,100% online,168 h,3-5 meses, llamar 
19,salud,estimulacion temprana y oportuna,100% online,168 h,3-5 meses, llamar 
20,salud,nutricion deportiva,100% online,168 h,3-5 meses, llamar 
21,salud,nutricion pediatrica,100% online,168 h,3-5 meses, llamar 
22,salud,odontologia para bebe,100% online,168 h,3-5 meses, llamar 
23,salud,seguridad y salud ocupacional,100% online,168 h,3-5 meses, llamar 
24,educacion,calidad educactiva,100% online,168 h,3-5 meses, llamar 
25,certificaciones,formación de formadores,presencial,4h,4, $69.00 
26,certificaciones,prevención de riesgos laborales: construcción y obras públicas (guayaquil),presencial,4 h,4, $55.00 
27,certificaciones,prevención de riesgos laborales: energía eléctrica (guayaquil),presencial,4 h,4, $55.00 
28,bioseguridad,prevención de riesgos laborales: construcción y obras públicas (guayaquil),presencial,4 h,4, $55.00 
29,bioseguridad,medidas eficaces de bioseguridad para centros educativos y otros centros de aglomeración,online,14h,4 dias, $55.00 
30,seguridad,webinar: responsable del sistema de gestión de seguridad y salud laboral,online,1 h,1, $-   
31,seguridad,curso de preparación para la certificación physical security professional (psp),online,80 h,4 meses, $490.00 
32,seguridad,responsable del sistema de gestión de seguridad y salud laboral,online,40 h,10 dias, $105.00 
33,seguridad,administración y gestión de la seguridad bancaria en un ecosistema delincuencial mixto,online,15 h,10 dias, $170.00 
