id_oc,id_curso_perfil,num_cap_cer
,,17
,,46
344,,2
344,,15
344,,34
344,,1
322,,1
322,,1
322,,12
322,,57
322,,87
322,,82
322,,28
322,,33
322,,88
322,,25
322,,89
322,,31
322,,54
322,,35
322,,51
322,,27
102,,10
102,,19
102,,82
102,,40
102,,29
391,,5
391,,268
305,,1
305,,27
305,,17
305,,26
305,,1
152,,25
152,,22
152,,193
152,,39
152,1218,23
152,1219,15
152,,158
152,,65
152,,66
152,,11
152,,9
489,,10
51,2402,256
51,,34
104,,133
104,,6
104,,194
104,,139
104,,175
104,,46
104,,58
104,,107
104,,112
104,,20
104,,21
104,,31
104,,10
104,,6
104,,396
104,,357
104,,201
104,,178
104,,340
104,,173
104,,141
104,,6
307,,2
307,,26
307,,44
307,,3
589,,70
253,,30
253,,28
253,,36
253,,5
253,,7
253,,87
250,,24
250,,10
614,,169
60,864,7
60,,35
608,,47
251,,13
251,,4
251,,35
251,,6
251,,81
251,,4
,,48
,,11
,,1
,,5
350,,573
350,,82
350,,10
,,5
,,10
680,,2
680,,1
680,,33
680,,3
348,,1
548,941,33
548,952,33
548,921,35
548,950,35
548,944,3
548,940,710
548,949,710
42,,1
,,10
,,46
,,27
,,15
,,5
,,16
,,10
,,16
,,185
687,,11
687,,7
,,8
,,1
,,28
270,,9
270,,8
429,,2
429,,23
429,,145
429,,85
429,,3
429,,1
,,35
154,,7
154,,96
154,1233,11
154,1238,1
154,,4
154,,15
154,,3
154,,165
154,,10
154,,283
154,1236,30
154,,4
154,,12
154,,92
154,,130
154,,10
,270,5
,269,7
,273,5
,271,7
,,36
,,87
,,19
619,,25
619,,12
619,,42
619,,17
619,,20
581,,64
581,,3
581,,3
581,,8
581,,2
581,,1
488,,3
177,,4
177,,27
177,,17
177,,4
,2175,4
,2172,15
,2178,64
,,18
,2201,13
,2167,31
,2170,5
,,17
,2176,15
,2180,6
,2177,17
465,,10
169,,21
169,,18
169,,2
169,,5
169,,61
115,,8
115,,4
115,,6
520,,2
520,,6
520,,6
520,,6
520,,6
520,,6
520,,6
520,,17
520,,2
520,,2
520,,11
520,,10
520,,2
520,,12
520,,10
520,,2
520,,4
520,,2
520,,2
520,,2
171,,16
171,,96
171,,31
171,,87
171,,8
171,,2
288,2437,30
288,,30
,,10
,,1
,,13
540,,1
540,,1
,,1
,,8
,,15
,,2
,,11
,2123,29
,2124,29
,2145,14
,2146,14
,2101,41
,,6
,,5
4,41,1
4,40,19
150,,11
150,,5
150,,10
150,,3
150,,2
150,,7
150,,7
150,,8
150,,20
443,,7
443,,1
443,,4
443,,1
443,,2
443,,1
443,,1
443,,1
443,,1
443,,6
443,,1
443,,1
443,,1
443,,2
438,,39
438,,4
438,,1
438,,40
438,,59
438,,17
438,,1
538,,4
538,,5
701,,27
432,,381
432,,5
432,,32
432,,1
432,,148
