volumen_capacitados,razon_social,nombre_comercial,pagina_facebook,seguidores_facebook,pagina_instagram,seguidores_instagram,numero_convocados
88,villacis lopez cesar geovanny,CECAPRO,https://www.facebook.com/CecapEcuador,861,https://www.instagram.com/centro_de_capacitacion_cecapro/,396,1257
85,liderazgo capacitacion y consultoria davsoc compa√±ia limitada,LIDERAZGO CAPACITACI”N & EVENTOS,https://www.facebook.com/liderazgocapacitacion,95000,https://www.instagram.com/liderazgo.ecuador/,7313,102313
62,universidad tecnica particular de loja,universidad tecnica particular de loja,https://www.facebook.com/utpl.loja,322663,https://www.instagram.com/utpl/,60300,382963
60,instituto superior tecnol√≥gico ismael p√©rez pazmi√±o,"INSTITUTO SUPERIOR TECNOL”GICO ISMAEL P…REZ PAZMI—O	",https://www.facebook.com/Instipp1,3700,https://www.instagram.com/instipp1/,351,4051
55,instituto tecnologico superior jose chiriboga grijalva,"Instituto Tecnogico Superior ""Jose Chiriboga Grijalva""",https://www.facebook.com/profile.php?id=100077127164088,281,https://www.instagram.com/tecnologicoitca/,1979,2260
52,instituto superior tecnol√≥gico babahoyo,Instituto Superior TecnolÛgico Babahoyo,https://www.facebook.com/istb.edu.ec,6800,https://www.instagram.com/istbbabahoyo/,270,7070
51,instituto superior tecnol√≥gico jos√© ochoa le√≥n,"INSTITUTO SUPERIOR TECNOL”GICO JOS… OCHOA LE”N	",https://www.facebook.com/profile.php?id=100069661134133,2700,,0,2700
37,instituto tecnologico superior ibarra,instituto tecnologico superior ibarra,https://www.facebook.com/InstitutoITSI,4000,,0,4000
32,instituto superior tecnol√≥gico nels√≥n torres,Instituto Superior TecnolÛgico Nelson Torres,https://www.facebook.com/intsuperior,7300,https://www.instagram.com/intsuperior/,1099,8399
27,instituto superior tecnol√≥gico carlos cisneros,Instituto Superior TecnolÛgico Carlos Cisneros,https://www.facebook.com/IST.Cisneros,10000,https://www.instagram.com/ist_cisneros/,1065,11065
