volumen_capacitados,nombre
5465,cvimsa ecuador c-vimsaecuador s.a.
3431,seguridad industrial pompier chano seinpomep cia. ltda.
2850,aguilar benavides juan miguel
2810,cetecform cia. ltda.
1404,fundacion rio guayas
1286,novillo mendoza max andres
1224,capacitacion profesional geniusec cia.ltda.
1142,klavempresarial compañia anonima
840,sociedad ecuatoriana de desarrollo educativo y social sedes
786,chuquicondor pilamunga carmen yolanda (sherydan international group)
397,instituto tecnologico superior almirante illingworth
241,corporacion ecuatoriana para el desarrollo de la investigacion y la academia cedia
205,asociacion red de talento humano del ecuador redthumanoec s.a.
202,fundación cooperación y desarrollo
195,instituto superior tecnológico cotopaxi
121,instituto superior tecnológico nelsón torres
118,instituto superior tecnológico luis arboleda martínez - manta
104,tapia camacuari dilmer maximo
104,proaño triviño marcelo alejandro
104,consultoria de sistema integrado de gestión cia. ltda. cecuasig
97,consultoria y capacitacion - ingelpro cia ltda
96,escuela interdiciplinaria para la innovacion y perfeccionamiento esinnper c.a.
91,rojas robalino paulina jamilett
86,novoa guanuchi carlos alberto
75,bgs vision empresarial bgs2017 c.l.
75,servicio integrado de seguridad ecu 911
69,captecsol s.a.
41,naula guzman daniel fernando
19,cecim
18,audetic-ec cia.ltda.
13,gualli panchi silvana del rocio
7,centro caec
