"area","provincia","total_cursos","volumen_capacitados","total_horas","carga_horaria","anio","num_cap","prediction(num_cap)"
"procesos industriales","el oro",3.0,126.0,1632.0,16.0,2021.0,102.0,79.0
"forestal ecología y medio ambiente","cotopaxi",2.0,113.0,1080.0,40.0,2021.0,27.0,31.0
"forestal ecología y medio ambiente","cotopaxi",2.0,113.0,3440.0,40.0,2021.0,86.0,87.2
"procesos industriales","azuay",1.0,2.0,80.0,40.0,2021.0,2.0,2.0
"educación y capacitación","guayas",1.0,22.0,880.0,40.0,2021.0,22.0,22.0
"administración y legislación","guayas",1.0,43.0,1032.0,24.0,2021.0,43.0,40.0
"procesos industriales","cotopaxi",2.0,50.0,48.0,8.0,2021.0,6.0,6.0
"administración y legislación","el oro",2.0,17.0,160.0,16.0,2021.0,10.0,10.0
"educación y capacitación","pichincha",1.0,2.0,80.0,40.0,2021.0,2.0,2.0
"artes y artesanía","guayas",3.0,160.0,1920.0,40.0,2021.0,48.0,54.375
"finanzas comercio y ventas","pichincha",1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"electricidad y electrónica","pichincha",2.0,19.0,480.0,40.0,2021.0,12.0,12.0
"procesos industriales","guayas",3.0,170.0,256.0,8.0,2021.0,32.0,32.0
"procesos industriales","guayas",3.0,170.0,1360.0,16.0,2021.0,85.0,79.0
"procesos industriales","guayas",3.0,170.0,2120.0,40.0,2021.0,53.0,54.375
"tecnologías de la información y comunicación","sin provincia",1.0,30.0,720.0,24.0,2021.0,30.0,29.0
"servicios socioculturales y a la comunidad","pichincha",1.0,23.0,920.0,40.0,2021.0,23.0,23.0
"educación y capacitación","pichincha",1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"educación y capacitación","cotopaxi",3.0,6.0,40.0,40.0,2021.0,1.0,1.0
"procesos industriales","guayas",1.0,9.0,216.0,24.0,2021.0,9.0,9.666666666666666
"procesos industriales","guayas",4.0,472.0,1120.0,16.0,2021.0,70.0,68.5
"procesos industriales","guayas",4.0,472.0,14240.0,40.0,2021.0,356.0,361.0
"artes y artesanía","cañar",2.0,76.0,2360.0,40.0,2021.0,59.0,61.0
"procesos industriales","santa elena",1.0,4.0,160.0,40.0,2021.0,4.0,4.0
"procesos industriales","pichincha",1.0,88.0,704.0,8.0,2021.0,88.0,82.66666666666667
"educación y capacitación","guayas",2.0,295.0,10960.0,40.0,2021.0,274.0,270.0
"finanzas comercio y ventas","santo domingo de los tsachilas",1.0,6.0,240.0,40.0,2021.0,6.0,6.0
"administración y legislación","guayas",1.0,5.0,160.0,32.0,2021.0,5.0,4.5
"forestal ecología y medio ambiente","pichincha",2.0,21.0,208.0,16.0,2021.0,13.0,13.0
"educación y capacitación","pichincha",2.0,274.0,6976.0,32.0,2021.0,218.0,182.25
"administración y legislación","pichincha",1.0,5.0,200.0,40.0,2021.0,5.0,5.0
"transporte y logística","pichincha",2.0,49.0,888.0,24.0,2021.0,37.0,40.0
"administración y legislación","imbabura",2.0,55.0,360.0,40.0,2021.0,9.0,9.0
"educación y capacitación","azuay",2.0,112.0,1360.0,40.0,2021.0,34.0,33.5
"tecnologías de la información y comunicación","azuay",2.0,112.0,3120.0,40.0,2021.0,78.0,77.0
"procesos industriales","pichincha",5.0,238.0,320.0,8.0,2021.0,40.0,39.5
"procesos industriales","pichincha",5.0,238.0,144.0,16.0,2021.0,9.0,9.0
"procesos industriales","pichincha",5.0,238.0,440.0,40.0,2021.0,11.0,11.25
"procesos industriales","pichincha",5.0,238.0,5520.0,40.0,2021.0,138.0,126.0
"construcción e infraestructura","cañar",1.0,5.0,200.0,40.0,2021.0,5.0,5.0
"forestal ecología y medio ambiente","loja",4.0,304.0,1080.0,24.0,2021.0,45.0,46.5
"procesos industriales","sin provincia",7.0,172.0,328.0,8.0,2021.0,41.0,39.5
"procesos industriales","sin provincia",7.0,172.0,168.0,8.0,2021.0,21.0,19.5
"forestal ecología y medio ambiente","guayas",3.0,228.0,96.0,16.0,2021.0,6.0,6.0
"procesos industriales","guayas",3.0,228.0,1752.0,8.0,2021.0,219.0,150.25
"procesos industriales","el oro",1.0,3.0,120.0,40.0,2021.0,3.0,3.0
"forestal ecología y medio ambiente","pastaza",1.0,8.0,320.0,40.0,2021.0,8.0,8.090909090909092
"alimentación gastronomía y turismo","tungurahua",3.0,110.0,1600.0,40.0,2021.0,40.0,40.0
"alimentación gastronomía y turismo","tungurahua",3.0,110.0,1840.0,40.0,2021.0,46.0,46.0
"administración y legislación","santo domingo de los tsachilas",6.0,62.0,24.0,24.0,2021.0,1.0,1.0
