"area","provincia","num_cap","total_cursos","total_horas","carga_horaria","anio","volumen_capacitados","prediction(volumen_capacitados)"
"procesos industriales","el oro",102.0,3.0,1632.0,16.0,2021.0,126.0,174.5
"forestal ecología y medio ambiente","cotopaxi",27.0,2.0,1080.0,40.0,2021.0,113.0,52.673611111111114
"forestal ecología y medio ambiente","cotopaxi",86.0,2.0,3440.0,40.0,2021.0,113.0,129.0
"procesos industriales","azuay",2.0,1.0,80.0,40.0,2021.0,2.0,2.0
"educación y capacitación","guayas",22.0,1.0,880.0,40.0,2021.0,22.0,22.0
"administración y legislación","guayas",43.0,1.0,1032.0,24.0,2021.0,43.0,41.0
"procesos industriales","cotopaxi",6.0,2.0,48.0,8.0,2021.0,50.0,52.673611111111114
"administración y legislación","el oro",10.0,2.0,160.0,16.0,2021.0,17.0,52.673611111111114
"educación y capacitación","pichincha",2.0,1.0,80.0,40.0,2021.0,2.0,2.0
"artes y artesanía","guayas",48.0,3.0,1920.0,40.0,2021.0,160.0,178.2
"finanzas comercio y ventas","pichincha",1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"electricidad y electrónica","pichincha",12.0,2.0,480.0,40.0,2021.0,19.0,52.673611111111114
"procesos industriales","guayas",32.0,3.0,256.0,8.0,2021.0,170.0,105.0
"procesos industriales","guayas",85.0,3.0,1360.0,16.0,2021.0,170.0,231.0
"procesos industriales","guayas",53.0,3.0,2120.0,40.0,2021.0,170.0,178.2
"tecnologías de la información y comunicación","sin provincia",30.0,1.0,720.0,24.0,2021.0,30.0,29.0
"servicios socioculturales y a la comunidad","pichincha",23.0,1.0,920.0,40.0,2021.0,23.0,23.5
"educación y capacitación","pichincha",1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"educación y capacitación","cotopaxi",1.0,3.0,40.0,40.0,2021.0,6.0,30.615384615384617
"procesos industriales","guayas",9.0,1.0,216.0,24.0,2021.0,9.0,9.0
"procesos industriales","guayas",70.0,4.0,1120.0,16.0,2021.0,472.0,277.5
"procesos industriales","guayas",356.0,4.0,14240.0,40.0,2021.0,472.0,969.0
"artes y artesanía","cañar",59.0,2.0,2360.0,40.0,2021.0,76.0,207.0
"procesos industriales","santa elena",4.0,1.0,160.0,40.0,2021.0,4.0,4.0
"procesos industriales","pichincha",88.0,1.0,704.0,8.0,2021.0,88.0,87.25
"educación y capacitación","guayas",274.0,2.0,10960.0,40.0,2021.0,295.0,249.0
"finanzas comercio y ventas","santo domingo de los tsachilas",6.0,1.0,240.0,40.0,2021.0,6.0,6.0
"administración y legislación","guayas",5.0,1.0,160.0,32.0,2021.0,5.0,5.0
"forestal ecología y medio ambiente","pichincha",13.0,2.0,208.0,16.0,2021.0,21.0,52.673611111111114
"educación y capacitación","pichincha",218.0,2.0,6976.0,32.0,2021.0,274.0,249.0
"administración y legislación","pichincha",5.0,1.0,200.0,40.0,2021.0,5.0,5.0
"transporte y logística","pichincha",37.0,2.0,888.0,24.0,2021.0,49.0,52.673611111111114
"administración y legislación","imbabura",9.0,2.0,360.0,40.0,2021.0,55.0,52.673611111111114
"educación y capacitación","azuay",34.0,2.0,1360.0,40.0,2021.0,112.0,52.673611111111114
"tecnologías de la información y comunicación","azuay",78.0,2.0,3120.0,40.0,2021.0,112.0,129.0
"procesos industriales","pichincha",40.0,5.0,320.0,8.0,2021.0,238.0,309.0
"procesos industriales","pichincha",9.0,5.0,144.0,16.0,2021.0,238.0,168.33333333333334
"procesos industriales","pichincha",11.0,5.0,440.0,40.0,2021.0,238.0,97.75
"procesos industriales","pichincha",138.0,5.0,5520.0,40.0,2021.0,238.0,189.75
"construcción e infraestructura","cañar",5.0,1.0,200.0,40.0,2021.0,5.0,5.0
"forestal ecología y medio ambiente","loja",45.0,4.0,1080.0,24.0,2021.0,304.0,278.6
"procesos industriales","sin provincia",41.0,7.0,328.0,8.0,2021.0,172.0,205.0
"procesos industriales","sin provincia",21.0,7.0,168.0,8.0,2021.0,172.0,205.0
"forestal ecología y medio ambiente","guayas",6.0,3.0,96.0,16.0,2021.0,228.0,58.5
"procesos industriales","guayas",219.0,3.0,1752.0,8.0,2021.0,228.0,235.5
"procesos industriales","el oro",3.0,1.0,120.0,40.0,2021.0,3.0,3.0
"forestal ecología y medio ambiente","pastaza",8.0,1.0,320.0,40.0,2021.0,8.0,8.0
"alimentación gastronomía y turismo","tungurahua",40.0,3.0,1600.0,40.0,2021.0,110.0,93.0
"alimentación gastronomía y turismo","tungurahua",46.0,3.0,1840.0,40.0,2021.0,110.0,178.2
"administración y legislación","santo domingo de los tsachilas",1.0,6.0,24.0,24.0,2021.0,62.0,187.0
"administración y legislación","santo domingo de los tsachilas",1.0,6.0,40.0,40.0,2021.0,62.0,832.5
"administración y legislación","santo domingo de los tsachilas",1.0,6.0,40.0,40.0,2021.0,62.0,832.5
"administración y legislación","santo domingo de los tsachilas",18.0,6.0,576.0,32.0,2021.0,62.0,1210.3333333333333
"educación y capacitación","santo domingo de los tsachilas",20.0,6.0,800.0,40.0,2021.0,62.0,139.33333333333334
"procesos industriales","pichincha",343.0,4.0,13720.0,40.0,2021.0,1046.0,1052.6666666666667
"procesos industriales","guayas",24.0,2.0,384.0,16.0,2021.0,28.0,52.673611111111114
"procesos industriales","guayas",4.0,2.0,160.0,40.0,2021.0,28.0,52.673611111111114
"servicios socioculturales y a la comunidad","pichincha",1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"administración y legislación","pichincha",1.0,1.0,8.0,8.0,2021.0,1.0,1.0
"procesos industriales","pichincha",34.0,2.0,816.0,24.0,2021.0,39.0,52.673611111111114
"tecnologías de la información y comunicación","guayas",2.0,2.0,48.0,24.0,2021.0,7.0,52.673611111111114
"procesos industriales","chimborazo",33.0,2.0,528.0,16.0,2021.0,45.0,52.673611111111114
"artes y artesanía","pichincha",1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"tecnologías de la información y comunicación","sucumbios",73.0,1.0,2920.0,40.0,2021.0,73.0,76.5
"procesos industriales","guayas",10.0,1.0,80.0,8.0,2021.0,10.0,10.0
"forestal ecología y medio ambiente","pastaza",1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"alimentación gastronomía y turismo","guayas",1.0,3.0,40.0,40.0,2021.0,4.0,30.615384615384617
"alimentación gastronomía y turismo","guayas",1.0,3.0,40.0,40.0,2021.0,4.0,30.615384615384617
"educación y capacitación","cotopaxi",185.0,2.0,7400.0,40.0,2021.0,312.0,249.0
"procesos industriales","pichincha",3.0,1.0,48.0,16.0,2021.0,3.0,3.0
"procesos industriales","azuay",16.0,4.0,640.0,40.0,2021.0,77.0,303.3333333333333
"forestal ecología y medio ambiente","azuay",4.0,4.0,96.0,24.0,2021.0,77.0,232.5
"finanzas comercio y ventas","pichincha",301.0,4.0,12040.0,40.0,2021.0,872.0,433.0
"administración y legislación","cotopaxi",6.0,3.0,240.0,40.0,2021.0,64.0,263.2
"administración y legislación","cotopaxi",47.0,3.0,752.0,16.0,2021.0,64.0,435.6666666666667
"finanzas comercio y ventas","imbabura",18.0,2.0,144.0,8.0,2021.0,44.0,52.673611111111114
"educación y capacitación","pichincha",9.0,2.0,216.0,24.0,2021.0,12.0,52.673611111111114
"educación y capacitación","guayas",1.0,2.0,32.0,32.0,2021.0,15.0,52.673611111111114
"servicios socioculturales y a la comunidad","pichincha",13.0,1.0,312.0,24.0,2021.0,13.0,13.0
"alimentación gastronomía y turismo","el oro",28.0,1.0,1120.0,40.0,2021.0,28.0,27.833333333333332
"finanzas comercio y ventas","guayas",16.0,1.0,128.0,8.0,2021.0,16.0,16.0
