"area","provincia","num_cap","total_cursos","volumen_capacitados","carga_horaria","anio","total_horas","prediction(total_horas)"
"procesos industriales","el oro",102.0,3.0,126.0,16.0,2021.0,1632.0,1616.0
"forestal ecología y medio ambiente","cotopaxi",27.0,2.0,113.0,40.0,2021.0,1080.0,1048.0
"forestal ecología y medio ambiente","cotopaxi",86.0,2.0,113.0,40.0,2021.0,3440.0,3520.0
"procesos industriales","azuay",2.0,1.0,2.0,40.0,2021.0,80.0,80.0
"educación y capacitación","guayas",22.0,1.0,22.0,40.0,2021.0,880.0,880.0
"administración y legislación","guayas",43.0,1.0,43.0,24.0,2021.0,1032.0,1096.0
"procesos industriales","cotopaxi",6.0,2.0,50.0,8.0,2021.0,48.0,48.0
"administración y legislación","el oro",10.0,2.0,17.0,16.0,2021.0,160.0,160.0
"educación y capacitación","pichincha",2.0,1.0,2.0,40.0,2021.0,80.0,80.0
"artes y artesanía","guayas",48.0,3.0,160.0,40.0,2021.0,1920.0,1840.0
"finanzas comercio y ventas","pichincha",1.0,1.0,1.0,40.0,2021.0,40.0,40.0
"electricidad y electrónica","pichincha",12.0,2.0,19.0,40.0,2021.0,480.0,480.0
"procesos industriales","guayas",32.0,3.0,170.0,8.0,2021.0,256.0,256.0
"procesos industriales","guayas",85.0,3.0,170.0,16.0,2021.0,1360.0,1224.0
"procesos industriales","guayas",53.0,3.0,170.0,40.0,2021.0,2120.0,2080.0
"tecnologías de la información y comunicación","sin provincia",30.0,1.0,30.0,24.0,2021.0,720.0,696.0
"servicios socioculturales y a la comunidad","pichincha",23.0,1.0,23.0,40.0,2021.0,920.0,920.0
"educación y capacitación","pichincha",1.0,1.0,1.0,24.0,2021.0,24.0,24.0
"educación y capacitación","cotopaxi",1.0,3.0,6.0,40.0,2021.0,40.0,40.0
"procesos industriales","guayas",9.0,1.0,9.0,24.0,2021.0,216.0,232.0
"procesos industriales","guayas",70.0,4.0,472.0,16.0,2021.0,1120.0,1082.6666666666667
"procesos industriales","guayas",356.0,4.0,472.0,40.0,2021.0,14240.0,14440.0
"artes y artesanía","cañar",59.0,2.0,76.0,40.0,2021.0,2360.0,2286.0
"procesos industriales","santa elena",4.0,1.0,4.0,40.0,2021.0,160.0,160.0
"procesos industriales","pichincha",88.0,1.0,88.0,8.0,2021.0,704.0,888.0
"educación y capacitación","guayas",274.0,2.0,295.0,40.0,2021.0,10960.0,9708.0
"finanzas comercio y ventas","santo domingo de los tsachilas",6.0,1.0,6.0,40.0,2021.0,240.0,240.0
"administración y legislación","guayas",5.0,1.0,5.0,32.0,2021.0,160.0,160.0
