"area","provincia","num_cap","total_cursos","volumen_capacitados","total_horas","carga_horaria","anio","total_ganancias","prediction(total_ganancias)"
"procesos industriales","el oro",102.0,3.0,126.0,1632.0,16.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente","cotopaxi",27.0,2.0,113.0,1080.0,40.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente","cotopaxi",86.0,2.0,113.0,3440.0,40.0,2021.0,0.0,0.0
"procesos industriales","azuay",2.0,1.0,2.0,80.0,40.0,2021.0,0.0,0.0
"educación y capacitación","guayas",22.0,1.0,22.0,880.0,40.0,2021.0,0.0,0.0
"administración y legislación","guayas",43.0,1.0,43.0,1032.0,24.0,2021.0,0.0,0.0
"procesos industriales","cotopaxi",6.0,2.0,50.0,48.0,8.0,2021.0,0.0,0.0
"administración y legislación","el oro",10.0,2.0,17.0,160.0,16.0,2021.0,0.0,0.0
"educación y capacitación","pichincha",2.0,1.0,2.0,80.0,40.0,2021.0,0.0,0.0
"artes y artesanía","guayas",48.0,3.0,160.0,1920.0,40.0,2021.0,0.0,0.0
"finanzas comercio y ventas","pichincha",1.0,1.0,1.0,40.0,40.0,2021.0,0.0,0.0
"electricidad y electrónica","pichincha",12.0,2.0,19.0,480.0,40.0,2021.0,0.0,0.0
"procesos industriales","guayas",32.0,3.0,170.0,256.0,8.0,2021.0,0.0,0.0
"procesos industriales","guayas",85.0,3.0,170.0,1360.0,16.0,2021.0,0.0,0.0
"procesos industriales","guayas",53.0,3.0,170.0,2120.0,40.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación","sin provincia",30.0,1.0,30.0,720.0,24.0,2021.0,6962.400000000001,13589.8
"servicios socioculturales y a la comunidad","pichincha",23.0,1.0,23.0,920.0,40.0,2021.0,0.0,0.0
"educación y capacitación","pichincha",1.0,1.0,1.0,24.0,24.0,2021.0,0.0,0.0
"educación y capacitación","cotopaxi",1.0,3.0,6.0,40.0,40.0,2021.0,0.0,0.0
"procesos industriales","guayas",9.0,1.0,9.0,216.0,24.0,2021.0,0.0,0.0
"procesos industriales","guayas",70.0,4.0,472.0,1120.0,16.0,2021.0,0.0,0.0
"procesos industriales","guayas",356.0,4.0,472.0,14240.0,40.0,2021.0,0.0,0.0
"artes y artesanía","cañar",59.0,2.0,76.0,2360.0,40.0,2021.0,0.0,0.0
"procesos industriales","santa elena",4.0,1.0,4.0,160.0,40.0,2021.0,0.0,0.0
"procesos industriales","pichincha",88.0,1.0,88.0,704.0,8.0,2021.0,0.0,0.0
"educación y capacitación","guayas",274.0,2.0,295.0,10960.0,40.0,2021.0,0.0,0.0
"finanzas comercio y ventas","santo domingo de los tsachilas",6.0,1.0,6.0,240.0,40.0,2021.0,0.0,0.0
"administración y legislación","guayas",5.0,1.0,5.0,160.0,32.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente","pichincha",13.0,2.0,21.0,208.0,16.0,2021.0,0.0,0.0
"educación y capacitación","pichincha",218.0,2.0,274.0,6976.0,32.0,2021.0,0.0,0.0
"administración y legislación","pichincha",5.0,1.0,5.0,200.0,40.0,2021.0,0.0,0.0
"transporte y logística","pichincha",37.0,2.0,49.0,888.0,24.0,2021.0,0.0,0.0
"administración y legislación","imbabura",9.0,2.0,55.0,360.0,40.0,2021.0,0.0,0.0
"educación y capacitación","azuay",34.0,2.0,112.0,1360.0,40.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación","azuay",78.0,2.0,112.0,3120.0,40.0,2021.0,20810.4,13589.8
"procesos industriales","pichincha",40.0,5.0,238.0,320.0,8.0,2021.0,0.0,0.0
"procesos industriales","pichincha",9.0,5.0,238.0,144.0,16.0,2021.0,0.0,0.0
"procesos industriales","pichincha",11.0,5.0,238.0,440.0,40.0,2021.0,0.0,0.0
"procesos industriales","pichincha",138.0,5.0,238.0,5520.0,40.0,2021.0,0.0,0.0
"construcción e infraestructura","cañar",5.0,1.0,5.0,200.0,40.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente","loja",45.0,4.0,304.0,1080.0,24.0,2021.0,0.0,0.0
"procesos industriales","sin provincia",41.0,7.0,172.0,328.0,8.0,2021.0,0.0,0.0
"procesos industriales","sin provincia",21.0,7.0,172.0,168.0,8.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente","guayas",6.0,3.0,228.0,96.0,16.0,2021.0,0.0,0.0
"procesos industriales","guayas",219.0,3.0,228.0,1752.0,8.0,2021.0,0.0,0.0
"procesos industriales","el oro",3.0,1.0,3.0,120.0,40.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente","pastaza",8.0,1.0,8.0,320.0,40.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo","tungurahua",40.0,3.0,110.0,1600.0,40.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo","tungurahua",46.0,3.0,110.0,1840.0,40.0,2021.0,0.0,0.0
"administración y legislación","santo domingo de los tsachilas",1.0,6.0,62.0,24.0,24.0,2021.0,0.0,0.0
"administración y legislación","santo domingo de los tsachilas",1.0,6.0,62.0,40.0,40.0,2021.0,0.0,0.0
"administración y legislación","santo domingo de los tsachilas",1.0,6.0,62.0,40.0,40.0,2021.0,0.0,0.0
"administración y legislación","santo domingo de los tsachilas",18.0,6.0,62.0,576.0,32.0,2021.0,0.0,0.0
