"area_familia","modalidad","canton","provincia","id_fact_oc","total_cursos","volumen_capacitados","total_horas","total_ganancias","%_asistencia","carga_horaria","costo","anio","num_cap_cer","confidence(range2)","confidence(range1)","prediction(num_cap_cer)","cost"
"construcción e infraestructura","presencial","quito","pichincha",0.0,4.0,52.0,1360.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.31409157031775586,0.6859084296822441,"range1",0.3718168593644882
"educación y capacitación","presencial","quito","pichincha",1.0,4.0,52.0,150.0,0.0,0.0,150.0,0.0,2021.0,"range1",0.31065495584172215,0.6893450441582779,"range1",0.37869008831655576
"servicios socioculturales y a la comunidad","online","guayaquil","guayas",5.0,2.0,249.0,9760.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.6439743572786193,0.35602564272138076,"range2",0.2879487145572385
"alimentación gastronomía y turismo","presencial","pastaza","pastaza",17.0,3.0,57.0,5200.0,0.0,0.0,200.0,0.0,2021.0,"range1",0.31080216039667924,0.6891978396033207,"range1",0.37839567920664147
"alimentación gastronomía y turismo","presencial","pastaza","pastaza",18.0,3.0,57.0,3510.0,0.0,0.0,130.0,0.0,2021.0,"range2",0.31121865761787915,0.6887813423821209,"range1",0.3775626847642417
"electricidad y electrónica","presencial","cuenca","azuay",21.0,5.0,108.0,50.0,0.0,0.0,25.0,0.0,2021.0,"range1",0.3116426394036249,0.6883573605963752,"range1",0.3767147211927503
"electricidad y electrónica","presencial","cuenca","azuay",25.0,5.0,108.0,846.0,0.0,0.0,18.0,0.0,2021.0,"range2",0.3160350360958191,0.6839649639041809,"range1",0.3679299278083618
"electricidad y electrónica","presencial","cuenca","azuay",27.0,5.0,108.0,90.0,0.0,0.0,30.0,0.0,2021.0,"range1",0.3114359645289938,0.6885640354710062,"range1",0.3771280709420124
"electricidad y electrónica","presencial","cuenca","azuay",31.0,4.0,80.0,1908.0,0.0,0.0,36.0,0.0,2018.0,"range2",0.32104197429572107,0.678958025704279,"range1",0.3579160514085579
"electricidad y electrónica","presencial","cuenca","azuay",33.0,4.0,80.0,378.0,0.0,0.0,18.0,0.0,2018.0,"range1",0.31315943817047537,0.6868405618295247,"range1",0.3736811236590493
"alimentación gastronomía y turismo","presencial","rumiñahui","pichincha",43.0,8.0,438.0,150.0,0.0,0.0,10.0,0.0,2021.0,"range1",0.313842087385182,0.686157912614818,"range1",0.37231582522963597
"procesos industriales","presencial","rumiñahui","pichincha",45.0,8.0,438.0,360.0,0.0,0.0,12.0,0.0,2021.0,"range2",0.32763244281356024,0.6723675571864397,"range1",0.34473511437287946
"alimentación gastronomía y turismo","presencial","rumiñahui","pichincha",47.0,8.0,438.0,5160.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.5996721494152814,0.4003278505847187,"range2",0.19934429883056265
"administración y legislación","presencial","rumiñahui","pichincha",49.0,7.0,207.0,40.0,0.0,0.0,10.0,0.0,2019.0,"range1",0.32267979070879255,0.6773202092912075,"range1",0.35464041858241496
"procesos industriales","presencial","quito","pichincha",50.0,4.0,42.0,200.0,0.0,0.0,50.0,0.0,2021.0,"range1",0.311816841184206,0.688183158815794,"range1",0.37636631763158795
"mecánica industrial y minería","presencial","quito","pichincha",53.0,1.0,10.0,1500.0,0.0,0.0,150.0,0.0,2019.0,"range1",0.31066276192936687,0.6893372380706331,"range1",0.3786744761412662
"alimentación gastronomía y turismo","online","quito","pichincha",55.0,7.0,113.0,17400.0,0.0,0.0,600.0,0.0,2021.0,"range2",0.31065948592733333,0.6893405140726667,"range1",0.3786810281453334
"educación y capacitación","online","quito","pichincha",57.0,7.0,113.0,7000.0,0.0,0.0,500.0,0.0,2021.0,"range1",0.3106533506574943,0.6893466493425057,"range1",0.3786932986850114
"forestal ecología y medio ambiente","online","quito","pichincha",58.0,7.0,113.0,1230.0,0.0,0.0,30.0,0.0,2021.0,"range2",0.3171724939782959,0.6828275060217042,"range1",0.3656550120434083
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",60.0,2.0,20.0,760.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.3159739364782301,0.68402606352177,"range1",0.3680521270435399
"educación y capacitación","presencial","quito","pichincha",62.0,9.0,11.0,267.0,0.0,0.0,267.0,0.0,2021.0,"range1",0.3106533803428142,0.6893466196571857,"range1",0.3786932393143715
"educación y capacitación","presencial","quito","pichincha",63.0,9.0,11.0,266.0,0.0,0.0,266.0,0.0,2021.0,"range1",0.3106533810777528,0.6893466189222472,"range1",0.37869323784449443
