"area_familia","modalidad","canton","provincia","id_fact_oc","num_cap_cer","total_cursos","total_horas","total_ganancias","%_asistencia","carga_horaria","costo","anio","volumen_capacitados","confidence(range2)","confidence(range1)","prediction(volumen_capacitados)","cost"
"construcción e infraestructura","presencial","quito","pichincha",0.0,34.0,4.0,1360.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"servicios socioculturales y a la comunidad","presencial","ambato","tungurahua",2.0,25.0,12.0,1500.0,0.0,0.0,60.0,0.0,2021.0,"range1",0.49128558468862993,0.5087144153113701,"range1",0.017428830622740143
"servicios socioculturales y a la comunidad","presencial","guayaquil","guayas",3.0,5.0,2.0,150.0,0.0,0.0,30.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"servicios socioculturales y a la comunidad","online","guayaquil","guayas",5.0,244.0,2.0,9760.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"educación y capacitación","presencial","quito","pichincha",6.0,23.0,10.0,1380.0,0.0,0.0,60.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"educación y capacitación","presencial","quito","pichincha",8.0,6.0,10.0,180.0,0.0,0.0,30.0,0.0,2018.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"comunicación y artes gráficas","presencial","guayaquil","guayas",13.0,573.0,2.0,17190.0,0.0,0.0,30.0,0.0,2021.0,"range2",0.8068312416214644,0.19316875837853567,"range2",0.6136624832429287
"artes y artesanía","presencial","quito","pichincha",15.0,1.0,1.0,30.0,0.0,0.0,30.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"alimentación gastronomía y turismo","presencial","pastaza","pastaza",16.0,4.0,3.0,500.0,0.0,0.0,125.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"alimentación gastronomía y turismo","presencial","pastaza","pastaza",20.0,20.0,3.0,4000.0,0.0,0.0,200.0,0.0,2018.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"electricidad y electrónica","presencial","cuenca","azuay",22.0,1.0,5.0,30.0,0.0,0.0,30.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"electricidad y electrónica","presencial","cuenca","azuay",23.0,55.0,5.0,1980.0,0.0,0.0,36.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"electricidad y electrónica","presencial","cuenca","azuay",24.0,55.0,5.0,2200.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"electricidad y electrónica","online","cuenca","azuay",26.0,47.0,5.0,846.0,0.0,0.0,18.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"electricidad y electrónica","presencial","cuenca","azuay",30.0,5.0,4.0,150.0,0.0,0.0,30.0,0.0,2018.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"electricidad y electrónica","presencial","cuenca","azuay",31.0,53.0,4.0,1908.0,0.0,0.0,36.0,0.0,2018.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"electricidad y electrónica","presencial","cuenca","azuay",32.0,53.0,4.0,2120.0,0.0,0.0,40.0,0.0,2018.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"electricidad y electrónica","online","cuenca","azuay",34.0,21.0,4.0,378.0,0.0,0.0,18.0,0.0,2018.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"electricidad y electrónica","presencial","cuenca","azuay",38.0,17.0,3.0,306.0,0.0,0.0,18.0,0.0,2019.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"electricidad y electrónica","online","cuenca","azuay",39.0,17.0,3.0,306.0,0.0,0.0,18.0,0.0,2019.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","rumiñahui","pichincha",44.0,152.0,8.0,6080.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"alimentación gastronomía y turismo","presencial","rumiñahui","pichincha",47.0,129.0,8.0,5160.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","quito","pichincha",51.0,27.0,4.0,4050.0,0.0,0.0,150.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"educación y capacitación","presencial","quito","pichincha",56.0,14.0,7.0,7000.0,0.0,0.0,500.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"educación y capacitación","online","quito","pichincha",57.0,14.0,7.0,7000.0,0.0,0.0,500.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",60.0,19.0,2.0,760.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"educación y capacitación","presencial","quito","pichincha",61.0,1.0,9.0,268.0,0.0,0.0,268.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"educación y capacitación","presencial","quito","pichincha",63.0,1.0,9.0,266.0,0.0,0.0,266.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","quito","pichincha",67.0,4.0,5.0,32.0,0.0,0.0,8.0,0.0,2018.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","quito","pichincha",68.0,40.0,5.0,320.0,0.0,0.0,8.0,0.0,2018.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","quito","pichincha",69.0,59.0,5.0,472.0,0.0,0.0,8.0,0.0,2018.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","quito","pichincha",78.0,181.0,12.0,2896.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.6518886566460081,0.3481113433539919,"range2",0.30377731329201624
"procesos industriales","online","quito","pichincha",81.0,187.0,12.0,2992.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.6518886566460081,0.3481113433539919,"range2",0.30377731329201624
"procesos industriales","online","quito","pichincha",83.0,87.0,12.0,696.0,0.0,0.0,8.0,0.0,2021.0,"range2",0.48824439237026834,0.5117556076297317,"range1",0.02351121525946337
"procesos industriales","online","quito","pichincha",87.0,11.0,12.0,88.0,0.0,0.0,8.0,0.0,2021.0,"range2",0.49128558468862993,0.5087144153113701,"range1",0.017428830622740143
"procesos industriales","presencial","quito","pichincha",96.0,3.0,17.0,24.0,0.0,0.0,8.0,0.0,2019.0,"range1",0.6545995879223669,0.34540041207763306,"range2",0.3091991758447339
"procesos industriales","online","quito","pichincha",105.0,24.0,17.0,384.0,0.0,0.0,16.0,0.0,2019.0,"range1",0.6545995879223669,0.34540041207763306,"range2",0.3091991758447339
"procesos industriales","online","quito","pichincha",111.0,31.0,17.0,248.0,0.0,0.0,8.0,0.0,2019.0,"range1",0.6545995879223669,0.34540041207763306,"range2",0.3091991758447339
"procesos industriales","online","quito","pichincha",113.0,2.0,17.0,32.0,0.0,0.0,16.0,0.0,2019.0,"range1",0.6545995879223669,0.34540041207763306,"range2",0.3091991758447339
"educación y capacitación","presencial","ibarra","imbabura",114.0,22.0,9.0,880.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"alimentación gastronomía y turismo","online","ibarra","imbabura",117.0,114.0,9.0,4560.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"educación y capacitación","presencial","ibarra","imbabura",118.0,16.0,4.0,640.0,0.0,0.0,40.0,0.0,2018.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"alimentación gastronomía y turismo","online","ibarra","imbabura",121.0,51.0,2.0,2040.0,0.0,0.0,40.0,0.0,2019.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"administración y legislación","presencial","quito","pichincha",123.0,52.0,2.0,2080.0,0.0,0.0,40.0,0.0,2019.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"administración y legislación","presencial","quito","pichincha",125.0,3.0,1.0,120.0,0.0,0.0,40.0,0.0,2020.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"administración y legislación","presencial","quito","pichincha",127.0,10.0,3.0,400.0,0.0,0.0,40.0,0.0,2022.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"alimentación gastronomía y turismo","presencial","quito","pichincha",130.0,213.0,13.0,51120.0,0.0,0.0,240.0,0.0,2021.0,"range2",0.6518886566460081,0.3481113433539919,"range2",0.30377731329201624
"alimentación gastronomía y turismo","presencial","quito","pichincha",132.0,33.0,13.0,6600.0,0.0,0.0,200.0,0.0,2021.0,"range2",0.49128558468862993,0.5087144153113701,"range1",0.017428830622740143
"alimentación gastronomía y turismo","presencial","quito","pichincha",133.0,32.0,13.0,7680.0,0.0,0.0,240.0,0.0,2021.0,"range2",0.49128558468862993,0.5087144153113701,"range1",0.017428830622740143
"educación y capacitación","semipresencial","guayaquil","guayas",135.0,723.0,3.0,108450.0,0.0,0.0,150.0,0.0,2021.0,"range2",0.8068312416214644,0.19316875837853567,"range2",0.6136624832429287
"educación y capacitación","semipresencial","guayaquil","guayas",137.0,37.0,3.0,5550.0,0.0,0.0,150.0,0.0,2021.0,"range2",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"otras actividades de servicios","desconocida","quito","pichincha",141.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,2018.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"administración y legislación","online","santo domingo","santo domingo de los tsachilas",143.0,1.0,15.0,48.0,0.0,0.0,48.0,0.0,2021.0,"range2",0.6547096749363678,0.34529032506363216,"range2",0.3094193498727356
"procesos industriales","online","santo domingo","santo domingo de los tsachilas",145.0,16.0,15.0,192.0,0.0,0.0,12.0,0.0,2021.0,"range2",0.6547096749363678,0.34529032506363216,"range2",0.3094193498727356
"procesos industriales","online","santo domingo","santo domingo de los tsachilas",146.0,292.0,15.0,3504.0,0.0,0.0,12.0,0.0,2021.0,"range2",0.812964172570017,0.1870358274299829,"range2",0.625928345140034
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",147.0,202.0,15.0,1616.0,0.0,0.0,8.0,0.0,2021.0,"range2",0.8153127468937461,0.18468725310625386,"range2",0.6306254937874922
"procesos industriales","online","santo domingo","santo domingo de los tsachilas",148.0,202.0,15.0,1616.0,0.0,0.0,8.0,0.0,2021.0,"range2",0.8153127468937461,0.18468725310625386,"range2",0.6306254937874922
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",149.0,3.0,15.0,180.0,0.0,0.0,60.0,0.0,2021.0,"range2",0.6547096749363678,0.34529032506363216,"range2",0.3094193498727356
"administración y legislación","presencial","santo domingo","santo domingo de los tsachilas",151.0,55.0,15.0,440.0,0.0,0.0,8.0,0.0,2021.0,"range2",0.6516684826180063,0.3483315173819938,"range2",0.30333696523601245
"tecnologías de la información y comunicación","presencial","quito","pichincha",152.0,1.0,23.0,40.0,169.0,0.0083333333333333,40.0,169.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"tecnologías de la información y comunicación","presencial","quito","pichincha",154.0,20.0,23.0,800.0,7736.0,0.1666666666666666,40.0,386.8,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"tecnologías de la información y comunicación","presencial","quito","pichincha",155.0,142.0,23.0,5680.0,25560.0,1.1833333333333331,40.0,180.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"tecnologías de la información y comunicación","presencial","quito","pichincha",159.0,7.0,23.0,280.0,2707.6,0.0583333333333333,40.0,386.8,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"educación y capacitación","presencial","quito","pichincha",166.0,11.0,23.0,440.0,0.0,0.0916666666666666,40.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"tecnologías de la información y comunicación","presencial","quito","pichincha",168.0,1.0,23.0,40.0,386.8,0.0083333333333333,40.0,386.8,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
