"area_familia","modalidad","canton","provincia","id_fact_oc","num_cap_cer","total_cursos","volumen_capacitados","total_ganancias","%_asistencia","carga_horaria","costo","anio","total_horas","confidence(range2)","confidence(range1)","prediction(total_horas)","cost"
"educación y capacitación","presencial","quito","pichincha",1.0,1.0,4.0,52.0,0.0,0.0,150.0,0.0,2021.0,"range1",0.47435900368915723,0.5256409963108427,"range1",0.05128199262168548
"servicios socioculturales y a la comunidad","presencial","guayaquil","guayas",4.0,244.0,2.0,249.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.6566465933040119,0.3433534066959881,"range2",0.3132931866080238
"educación y capacitación","presencial","quito","pichincha",11.0,35.0,2.0,42.0,0.0,0.0,360.0,0.0,2021.0,"range2",0.651394549128714,0.34860545087128597,"range2",0.302789098257428
"educación y capacitación","presencial","quito","pichincha",12.0,35.0,2.0,42.0,0.0,0.0,400.0,0.0,2021.0,"range2",0.6514700988874432,0.34852990111255683,"range2",0.3029401977748864
"comunicación y artes gráficas","online","guayaquil","guayas",14.0,573.0,2.0,655.0,0.0,0.0,30.0,0.0,2021.0,"range2",0.8008068986565311,0.19919310134346882,"range2",0.6016137973130623
"electricidad y electrónica","presencial","cuenca","azuay",23.0,55.0,5.0,108.0,0.0,0.0,36.0,0.0,2021.0,"range2",0.5707586745645282,0.4292413254354719,"range2",0.14151734912905634
"electricidad y electrónica","online","cuenca","azuay",29.0,3.0,5.0,108.0,0.0,0.0,30.0,0.0,2021.0,"range1",0.4779145970587125,0.5220854029412876,"range1",0.044170805882575104
"electricidad y electrónica","online","cuenca","azuay",34.0,21.0,4.0,80.0,0.0,0.0,18.0,0.0,2018.0,"range1",0.4965419355349671,0.5034580644650329,"range1",0.0069161289300658235
"electricidad y electrónica","presencial","cuenca","azuay",38.0,17.0,3.0,71.0,0.0,0.0,18.0,0.0,2019.0,"range1",0.4694222730409699,0.53057772695903,"range1",0.061155453918060154
"procesos industriales","presencial","rumiñahui","pichincha",40.0,96.0,8.0,438.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.5562645204742817,0.4437354795257184,"range2",0.11252904094856325
"alimentación gastronomía y turismo","presencial","rumiñahui","pichincha",43.0,15.0,8.0,438.0,0.0,0.0,10.0,0.0,2021.0,"range1",0.28661907379112783,0.7133809262088722,"range1",0.42676185241774434
"procesos industriales","presencial","rumiñahui","pichincha",44.0,152.0,8.0,438.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.6512937081763411,0.3487062918236588,"range2",0.3025874163526823
"procesos industriales","presencial","rumiñahui","pichincha",48.0,131.0,3.0,227.0,0.0,0.0,40.0,0.0,2018.0,"range2",0.6416719654685253,0.3583280345314746,"range2",0.28334393093705074
"procesos industriales","presencial","quito","pichincha",51.0,27.0,4.0,42.0,0.0,0.0,150.0,0.0,2021.0,"range2",0.6093521780901358,0.3906478219098642,"range2",0.21870435618027156
"educación y capacitación","presencial","quito","pichincha",56.0,14.0,7.0,113.0,0.0,0.0,500.0,0.0,2021.0,"range2",0.6516890779674017,0.34831092203259834,"range2",0.3033781559348034
"educación y capacitación","presencial","quito","pichincha",62.0,1.0,9.0,11.0,0.0,0.0,267.0,0.0,2021.0,"range1",0.6445948964882803,0.35540510351171967,"range2",0.2891897929765606
