"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","num_cer","prediction(num_cer)"
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",3.0,8.0,1.0,6.0,2022.0,6.0,1.8744292237442923
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,1.0,2.0,8.0,2022.0,1.0,1.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,4.0,5.0,3.0,2022.0,4.0,4.0
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",3.0,12.0,6.0,2.0,2022.0,2.0,3.533333333333333
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,11.0,10.0,7.0,2022.0,7.0,5.761627906976744
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,7.0,12.0,3.0,2022.0,1.0,3.9054726368159205
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,1.0,12.0,4.0,2022.0,1.0,1.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,12.0,17.0,2.0,2022.0,11.0,5.761627906976744
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,8.0,21.0,3.0,2022.0,7.0,3.9054726368159205
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,8.0,21.0,3.0,2022.0,1.0,3.9054726368159205
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,7.0,31.0,5.0,2022.0,4.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,7.0,6.0,2022.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,11.0,7.0,2022.0,1.0,1.0
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,2.0,28.0,4.0,2022.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,6.0,5.0,2022.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,18.0,20.0,1.0,2022.0,3.0,2.6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,15.0,1.0,6.0,2022.0,4.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,19.0,2.0,8.0,2022.0,2.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,26.0,4.0,4.0,2022.0,9.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,31.0,14.0,6.0,2022.0,7.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,19.0,5.0,2022.0,4.0,2.6473684210526316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,11.0,22.0,2.0,2022.0,2.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,31.0,5.0,2022.0,1.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,16.0,7.0,6.0,2022.0,10.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,20.0,11.0,7.0,2022.0,1.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,30.0,28.0,4.0,2022.0,5.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,3.0,7.0,2.0,2020.0,1.0,1.4796380090497738
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,20.0,7.0,9.0,2021.0,18.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,27.0,8.0,12.0,2020.0,3.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,30.0,21.0,6.0,2022.0,28.0,17.742424242424242
