"familia","sector","estado","provincia","num_cer","total_horas","total_cursos","total_ganacias","dia","mes","anio","volumen_capacitados","prediction(volumen_capacitados)"
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayas",6.0,36.0,3.0,1500.0,1.0,6.0,2022.0,8.0,12.36500754147813
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayas",1.0,6.0,1.0,250.0,2.0,8.0,2022.0,1.0,1.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayas",4.0,24.0,1.0,1000.0,5.0,3.0,2022.0,4.0,4.0
"actividades tipo servicios","enseñanza","habilitado","guayas",2.0,12.0,3.0,500.0,6.0,2.0,2022.0,12.0,6.506150061500615
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayas",7.0,42.0,2.0,1750.0,10.0,7.0,2022.0,11.0,12.36500754147813
"actividades tipo servicios","enseñanza","habilitado","guayas",1.0,6.0,2.0,250.0,12.0,3.0,2022.0,7.0,6.506150061500615
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayas",1.0,6.0,1.0,250.0,12.0,4.0,2022.0,1.0,1.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayas",11.0,66.0,2.0,2750.0,17.0,2.0,2022.0,12.0,20.138704427083333
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayas",7.0,42.0,2.0,1750.0,21.0,3.0,2022.0,8.0,12.36500754147813
"actividades tipo servicios","enseñanza","habilitado","guayas",1.0,6.0,2.0,250.0,21.0,3.0,2022.0,8.0,6.506150061500615
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayas",4.0,24.0,2.0,1000.0,31.0,5.0,2022.0,7.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",1.0,6.0,1.0,250.0,7.0,6.0,2022.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayas",1.0,6.0,1.0,250.0,11.0,7.0,2022.0,1.0,1.0
"actividades tipo servicios","enseñanza","habilitado","guayas",1.0,6.0,2.0,250.0,28.0,4.0,2022.0,2.0,6.506150061500615
"actividades de enseñanza","enseñanza","habilitado","guayas",1.0,6.0,1.0,250.0,6.0,5.0,2022.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayas",3.0,18.0,2.0,750.0,20.0,1.0,2022.0,18.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",4.0,24.0,3.0,1000.0,1.0,6.0,2022.0,15.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",2.0,12.0,2.0,500.0,2.0,8.0,2022.0,19.0,6.506150061500615
"actividades de enseñanza","enseñanza","habilitado","guayas",9.0,54.0,3.0,2250.0,4.0,4.0,2022.0,26.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",7.0,42.0,3.0,1750.0,14.0,6.0,2022.0,31.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",4.0,24.0,2.0,1000.0,19.0,5.0,2022.0,5.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",2.0,12.0,2.0,500.0,22.0,2.0,2022.0,11.0,6.506150061500615
"actividades de enseñanza","enseñanza","habilitado","guayas",1.0,6.0,3.0,250.0,31.0,5.0,2022.0,5.0,6.506150061500615
"actividades de enseñanza","enseñanza","habilitado","guayas",10.0,60.0,3.0,2500.0,7.0,6.0,2022.0,16.0,16.333333333333332
"actividades de enseñanza","enseñanza","habilitado","guayas",1.0,6.0,2.0,250.0,11.0,7.0,2022.0,20.0,6.506150061500615
"actividades de enseñanza","enseñanza","habilitado","guayas",5.0,30.0,4.0,1250.0,28.0,4.0,2022.0,30.0,30.181818181818183
"actividades de enseñanza","enseñanza","habilitado","guayas",1.0,6.0,2.0,250.0,7.0,2.0,2020.0,3.0,6.506150061500615
"actividades de enseñanza","enseñanza","habilitado","guayas",18.0,108.0,3.0,4500.0,7.0,9.0,2021.0,20.0,26.325
"actividades de enseñanza","enseñanza","habilitado","guayas",3.0,18.0,3.0,750.0,8.0,12.0,2020.0,27.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",28.0,168.0,2.0,7000.0,21.0,6.0,2022.0,30.0,30.772727272727273
"actividades de enseñanza","enseñanza","habilitado","guayas",2.0,12.0,3.0,500.0,26.0,7.0,2021.0,5.0,6.506150061500615
"actividades de enseñanza","enseñanza","habilitado","guayas",4.0,24.0,2.0,1000.0,27.0,7.0,2021.0,7.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",5.0,30.0,2.0,1250.0,27.0,9.0,2021.0,7.0,12.36500754147813
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayas",38.0,228.0,2.0,9500.0,28.0,11.0,2019.0,57.0,40.0
"actividades de enseñanza","enseñanza","habilitado","guayas",22.0,132.0,4.0,5500.0,8.0,3.0,2022.0,40.0,55.0
"actividades de enseñanza","enseñanza","habilitado","guayas",4.0,24.0,2.0,1000.0,18.0,4.0,2022.0,5.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",3.0,18.0,3.0,750.0,20.0,7.0,2022.0,30.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",3.0,18.0,3.0,750.0,21.0,5.0,2021.0,12.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",11.0,66.0,4.0,2750.0,3.0,2.0,2022.0,62.0,49.5
"actividades de enseñanza","enseñanza","habilitado","guayas",5.0,30.0,3.0,1250.0,9.0,2.0,2022.0,10.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",10.0,60.0,3.0,2500.0,15.0,3.0,2022.0,37.0,12.5
"actividades de enseñanza","enseñanza","habilitado","guayas",5.0,30.0,3.0,1250.0,16.0,9.0,2021.0,15.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",2.0,12.0,3.0,500.0,25.0,8.0,2021.0,6.0,6.506150061500615
"actividades de enseñanza","enseñanza","habilitado","guayas",4.0,24.0,2.0,1000.0,30.0,3.0,2022.0,34.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",1.0,6.0,2.0,250.0,25.0,11.0,2019.0,13.0,6.506150061500615
"actividades de enseñanza","enseñanza","habilitado","guayas",13.0,78.0,2.0,3250.0,30.0,8.0,2021.0,14.0,29.6
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayas",9.0,54.0,3.0,2250.0,3.0,12.0,2019.0,17.0,12.36500754147813
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayas",47.0,282.0,3.0,11750.0,9.0,12.0,2019.0,51.0,65.25
"actividades de enseñanza","enseñanza","habilitado","guayas",3.0,18.0,2.0,750.0,13.0,11.0,2019.0,26.0,12.36500754147813
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayas",23.0,138.0,2.0,5750.0,13.0,11.0,2019.0,26.0,30.772727272727273
"actividades de enseñanza","enseñanza","habilitado","guayas",1.0,6.0,2.0,250.0,20.0,12.0,2019.0,8.0,6.506150061500615
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayas",17.0,102.0,2.0,4250.0,22.0,10.0,2019.0,20.0,26.325
"actividades de enseñanza","enseñanza","habilitado","guayas",5.0,30.0,2.0,1250.0,23.0,9.0,2019.0,28.0,12.36500754147813
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayas",3.0,18.0,2.0,750.0,24.0,12.0,2019.0,4.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",3.0,18.0,2.0,750.0,29.0,11.0,2019.0,10.0,12.36500754147813
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayas",7.0,42.0,2.0,1750.0,29.0,11.0,2019.0,10.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","guayas",1.0,6.0,2.0,250.0,8.0,7.0,2021.0,6.0,6.506150061500615
"actividades de enseñanza","enseñanza","habilitado","guayas",2.0,12.0,3.0,500.0,25.0,11.0,2020.0,10.0,6.506150061500615
