"area","provincia","id_fact_ci","total_cursos","volumen_capacitados","total_horas","carga_horaria","anio","num_cap","prediction(num_cap)"
"procesos industriales","el oro",2.0,3.0,126.0,1632.0,16.0,2021.0,102.0,79.0
"forestal ecología y medio ambiente","cotopaxi",9.0,2.0,113.0,1080.0,40.0,2021.0,27.0,31.0
"forestal ecología y medio ambiente","cotopaxi",10.0,2.0,113.0,3440.0,40.0,2021.0,86.0,87.2
"procesos industriales","azuay",11.0,1.0,2.0,80.0,40.0,2021.0,2.0,2.0
"educación y capacitación","guayas",14.0,1.0,22.0,880.0,40.0,2021.0,22.0,22.0
"administración y legislación","guayas",15.0,1.0,43.0,1032.0,24.0,2021.0,43.0,40.0
"procesos industriales","cotopaxi",18.0,2.0,50.0,48.0,8.0,2021.0,6.0,6.0
"administración y legislación","el oro",21.0,2.0,17.0,160.0,16.0,2021.0,10.0,10.0
"educación y capacitación","pichincha",27.0,1.0,2.0,80.0,40.0,2021.0,2.0,2.0
"artes y artesanía","guayas",30.0,3.0,160.0,1920.0,40.0,2021.0,48.0,54.375
"finanzas comercio y ventas","pichincha",32.0,1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"electricidad y electrónica","pichincha",33.0,2.0,19.0,480.0,40.0,2021.0,12.0,12.0
"procesos industriales","guayas",35.0,3.0,170.0,256.0,8.0,2021.0,32.0,32.0
"procesos industriales","guayas",36.0,3.0,170.0,1360.0,16.0,2021.0,85.0,79.0
"procesos industriales","guayas",37.0,3.0,170.0,2120.0,40.0,2021.0,53.0,54.375
"tecnologías de la información y comunicación","sin provincia",38.0,1.0,30.0,720.0,24.0,2021.0,30.0,29.0
"servicios socioculturales y a la comunidad","pichincha",39.0,1.0,23.0,920.0,40.0,2021.0,23.0,23.0
"educación y capacitación","pichincha",41.0,1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"educación y capacitación","cotopaxi",44.0,3.0,6.0,40.0,40.0,2021.0,1.0,1.0
"procesos industriales","guayas",46.0,1.0,9.0,216.0,24.0,2021.0,9.0,9.666666666666666
"procesos industriales","guayas",49.0,4.0,472.0,1120.0,16.0,2021.0,70.0,68.5
"procesos industriales","guayas",50.0,4.0,472.0,14240.0,40.0,2021.0,356.0,361.0
"artes y artesanía","cañar",52.0,2.0,76.0,2360.0,40.0,2021.0,59.0,61.0
"procesos industriales","santa elena",55.0,1.0,4.0,160.0,40.0,2021.0,4.0,4.0
"procesos industriales","pichincha",56.0,1.0,88.0,704.0,8.0,2021.0,88.0,82.66666666666667
"educación y capacitación","guayas",58.0,2.0,295.0,10960.0,40.0,2021.0,274.0,270.0
"finanzas comercio y ventas","santo domingo de los tsachilas",60.0,1.0,6.0,240.0,40.0,2021.0,6.0,6.0
"administración y legislación","guayas",62.0,1.0,5.0,160.0,32.0,2021.0,5.0,4.0
"forestal ecología y medio ambiente","pichincha",64.0,2.0,21.0,208.0,16.0,2021.0,13.0,13.0
"educación y capacitación","pichincha",66.0,2.0,274.0,6976.0,32.0,2021.0,218.0,200.33333333333334
"administración y legislación","pichincha",70.0,1.0,5.0,200.0,40.0,2021.0,5.0,5.0
"transporte y logística","pichincha",72.0,2.0,49.0,888.0,24.0,2021.0,37.0,40.0
"administración y legislación","imbabura",73.0,2.0,55.0,360.0,40.0,2021.0,9.0,9.0
"educación y capacitación","azuay",77.0,2.0,112.0,1360.0,40.0,2021.0,34.0,34.0
"tecnologías de la información y comunicación","azuay",78.0,2.0,112.0,3120.0,40.0,2021.0,78.0,78.0
"procesos industriales","pichincha",79.0,5.0,238.0,320.0,8.0,2021.0,40.0,39.5
"procesos industriales","pichincha",81.0,5.0,238.0,144.0,16.0,2021.0,9.0,9.0
"procesos industriales","pichincha",82.0,5.0,238.0,440.0,40.0,2021.0,11.0,11.25
"procesos industriales","pichincha",83.0,5.0,238.0,5520.0,40.0,2021.0,138.0,132.0
"construcción e infraestructura","cañar",86.0,1.0,5.0,200.0,40.0,2021.0,5.0,5.0
"forestal ecología y medio ambiente","loja",89.0,4.0,304.0,1080.0,24.0,2021.0,45.0,46.5
"procesos industriales","sin provincia",90.0,7.0,172.0,328.0,8.0,2021.0,41.0,39.5
"procesos industriales","sin provincia",94.0,7.0,172.0,168.0,8.0,2021.0,21.0,25.0
"forestal ecología y medio ambiente","guayas",97.0,3.0,228.0,96.0,16.0,2021.0,6.0,6.0
"procesos industriales","guayas",98.0,3.0,228.0,1752.0,8.0,2021.0,219.0,82.66666666666667
"procesos industriales","el oro",99.0,1.0,3.0,120.0,40.0,2021.0,3.0,3.0
"forestal ecología y medio ambiente","pastaza",101.0,1.0,8.0,320.0,40.0,2021.0,8.0,8.090909090909092
"alimentación gastronomía y turismo","tungurahua",102.0,3.0,110.0,1600.0,40.0,2021.0,40.0,40.0
"alimentación gastronomía y turismo","tungurahua",104.0,3.0,110.0,1840.0,40.0,2021.0,46.0,46.0
"administración y legislación","santo domingo de los tsachilas",105.0,6.0,62.0,24.0,24.0,2021.0,1.0,1.0
"administración y legislación","santo domingo de los tsachilas",106.0,6.0,62.0,40.0,40.0,2021.0,1.0,1.0
"administración y legislación","santo domingo de los tsachilas",107.0,6.0,62.0,40.0,40.0,2021.0,1.0,1.0
"administración y legislación","santo domingo de los tsachilas",108.0,6.0,62.0,576.0,32.0,2021.0,18.0,19.0
"educación y capacitación","santo domingo de los tsachilas",109.0,6.0,62.0,800.0,40.0,2021.0,20.0,19.5
"procesos industriales","pichincha",111.0,4.0,1046.0,13720.0,40.0,2021.0,343.0,341.0
"procesos industriales","guayas",115.0,2.0,28.0,384.0,16.0,2021.0,24.0,24.0
"procesos industriales","guayas",116.0,2.0,28.0,160.0,40.0,2021.0,4.0,4.0
"servicios socioculturales y a la comunidad","pichincha",117.0,1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"administración y legislación","pichincha",118.0,1.0,1.0,8.0,8.0,2021.0,1.0,1.0
"procesos industriales","pichincha",119.0,2.0,39.0,816.0,24.0,2021.0,34.0,40.0
"tecnologías de la información y comunicación","guayas",122.0,2.0,7.0,48.0,24.0,2021.0,2.0,2.5
"procesos industriales","chimborazo",123.0,2.0,45.0,528.0,16.0,2021.0,33.0,29.5
"artes y artesanía","pichincha",129.0,1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"tecnologías de la información y comunicación","sucumbios",130.0,1.0,73.0,2920.0,40.0,2021.0,73.0,69.5
"procesos industriales","guayas",134.0,1.0,10.0,80.0,8.0,2021.0,10.0,9.5
"forestal ecología y medio ambiente","pastaza",136.0,1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"alimentación gastronomía y turismo","guayas",137.0,3.0,4.0,40.0,40.0,2021.0,1.0,1.0
"alimentación gastronomía y turismo","guayas",138.0,3.0,4.0,40.0,40.0,2021.0,1.0,1.0
"educación y capacitación","cotopaxi",141.0,2.0,312.0,7400.0,40.0,2021.0,185.0,200.33333333333334
"procesos industriales","pichincha",143.0,1.0,3.0,48.0,16.0,2021.0,3.0,3.0
"procesos industriales","azuay",147.0,4.0,77.0,640.0,40.0,2021.0,16.0,16.0
"forestal ecología y medio ambiente","azuay",148.0,4.0,77.0,96.0,24.0,2021.0,4.0,4.0
"finanzas comercio y ventas","pichincha",149.0,4.0,872.0,12040.0,40.0,2021.0,301.0,270.0
"administración y legislación","cotopaxi",154.0,3.0,64.0,240.0,40.0,2021.0,6.0,6.0
"administración y legislación","cotopaxi",155.0,3.0,64.0,752.0,16.0,2021.0,47.0,45.666666666666664
"finanzas comercio y ventas","imbabura",156.0,2.0,44.0,144.0,8.0,2021.0,18.0,13.25
"educación y capacitación","pichincha",160.0,2.0,12.0,216.0,24.0,2021.0,9.0,9.666666666666666
"educación y capacitación","guayas",164.0,2.0,15.0,32.0,32.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","pichincha",166.0,1.0,13.0,312.0,24.0,2021.0,13.0,13.666666666666666
"alimentación gastronomía y turismo","el oro",171.0,1.0,28.0,1120.0,40.0,2021.0,28.0,28.0
"finanzas comercio y ventas","guayas",175.0,1.0,16.0,128.0,8.0,2021.0,16.0,13.25
"alimentación gastronomía y turismo","manabi",177.0,2.0,84.0,280.0,40.0,2021.0,7.0,7.0
"procesos industriales","santa elena",178.0,1.0,16.0,256.0,16.0,2021.0,16.0,16.0
"procesos industriales","pichincha",182.0,2.0,34.0,1280.0,40.0,2021.0,32.0,31.5
"procesos industriales","guayas",185.0,2.0,211.0,1440.0,8.0,2021.0,180.0,82.66666666666667
"procesos industriales","guayas",186.0,2.0,211.0,1240.0,40.0,2021.0,31.0,31.5
"administración y legislación","guayas",191.0,2.0,582.0,13728.0,24.0,2021.0,572.0,508.5
"educación y capacitación","guayas",192.0,3.0,96.0,280.0,40.0,2021.0,7.0,7.0
"educación y capacitación","guayas",193.0,3.0,96.0,1184.0,32.0,2021.0,37.0,38.666666666666664
"educación y capacitación","imbabura",196.0,4.0,556.0,576.0,32.0,2021.0,18.0,19.0
"educación y capacitación","imbabura",197.0,4.0,556.0,320.0,40.0,2021.0,8.0,8.090909090909092
"educación y capacitación","pichincha",202.0,2.0,85.0,552.0,24.0,2021.0,23.0,26.0
"educación y capacitación","guayas",204.0,1.0,7.0,224.0,32.0,2021.0,7.0,6.0
"administración y legislación","cañar",205.0,1.0,7.0,224.0,32.0,2021.0,7.0,6.0
"comunicación y artes gráficas","pichincha",206.0,1.0,92.0,3680.0,40.0,2021.0,92.0,90.33333333333333
"educación y capacitación","azuay",208.0,1.0,102.0,4080.0,40.0,2021.0,102.0,99.0
"administración y legislación","pichincha",211.0,2.0,68.0,960.0,16.0,2021.0,60.0,61.333333333333336
"procesos industriales","cotopaxi",213.0,2.0,15.0,336.0,24.0,2021.0,14.0,13.666666666666666
"procesos industriales","cotopaxi",214.0,2.0,15.0,16.0,16.0,2021.0,1.0,1.0
"administración y legislación","guayas",219.0,5.0,1066.0,800.0,16.0,2021.0,50.0,50.5
"finanzas comercio y ventas","pichincha",220.0,1.0,17.0,408.0,24.0,2021.0,17.0,19.333333333333332
"procesos industriales","pichincha",224.0,2.0,12.0,320.0,40.0,2021.0,8.0,8.090909090909092
"procesos industriales","cotopaxi",227.0,2.0,206.0,8200.0,40.0,2021.0,205.0,200.33333333333334
"administración y legislación","cotopaxi",228.0,2.0,206.0,40.0,40.0,2021.0,1.0,1.0
"procesos industriales","azuay",236.0,3.0,21.0,40.0,40.0,2021.0,1.0,1.0
"tecnologías de la información y comunicación","azuay",238.0,3.0,21.0,120.0,40.0,2021.0,3.0,3.0
"educación y capacitación","pichincha",239.0,3.0,355.0,2640.0,40.0,2021.0,66.0,65.0
"servicios socioculturales y a la comunidad","pichincha",240.0,3.0,355.0,11280.0,40.0,2021.0,282.0,270.0
"administración y legislación","pichincha",250.0,3.0,36.0,480.0,40.0,2021.0,12.0,12.0
"forestal ecología y medio ambiente","manabi",253.0,1.0,19.0,304.0,16.0,2021.0,19.0,20.0
"administración y legislación","guayas",261.0,3.0,263.0,5152.0,32.0,2021.0,161.0,162.33333333333334
"procesos industriales","guayas",262.0,3.0,263.0,1600.0,16.0,2021.0,100.0,79.0
"educación y capacitación","pichincha",268.0,1.0,23.0,920.0,40.0,2021.0,23.0,23.0
"educación y capacitación","tungurahua",273.0,1.0,8.0,320.0,40.0,2021.0,8.0,8.090909090909092
"educación y capacitación","cotopaxi",274.0,1.0,16.0,640.0,40.0,2021.0,16.0,16.0
"administración y legislación","tungurahua",275.0,1.0,99.0,1584.0,16.0,2021.0,99.0,82.33333333333333
"procesos industriales","tungurahua",276.0,1.0,106.0,4240.0,40.0,2021.0,106.0,109.66666666666667
"procesos industriales","santo domingo de los tsachilas",278.0,2.0,47.0,1600.0,40.0,2021.0,40.0,40.0
"tecnologías de la información y comunicación","sin provincia",279.0,1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"administración y legislación","pichincha",280.0,4.0,507.0,240.0,16.0,2021.0,15.0,13.0
"administración y legislación","pichincha",283.0,2.0,24.0,368.0,16.0,2021.0,23.0,24.0
"servicios socioculturales y a la comunidad","pichincha",286.0,3.0,86.0,1320.0,40.0,2021.0,33.0,34.0
"alimentación gastronomía y turismo","loja",293.0,2.0,11.0,120.0,40.0,2021.0,3.0,3.0
"procesos industriales","tungurahua",295.0,1.0,4.0,160.0,40.0,2021.0,4.0,4.0
"administración y legislación","loja",297.0,1.0,13.0,520.0,40.0,2021.0,13.0,13.0
"transporte y logística","pichincha",298.0,1.0,124.0,4960.0,40.0,2021.0,124.0,132.0
"servicios socioculturales y a la comunidad","pichincha",301.0,1.0,24.0,960.0,40.0,2021.0,24.0,24.0
"administración y legislación","pichincha",302.0,1.0,3.0,96.0,32.0,2021.0,3.0,3.0
"procesos industriales","pichincha",303.0,1.0,2.0,32.0,16.0,2021.0,2.0,2.0
"administración y legislación","pichincha",307.0,2.0,37.0,416.0,16.0,2021.0,26.0,26.666666666666668
"procesos industriales","guayas",311.0,2.0,9.0,56.0,8.0,2021.0,7.0,7.0
"finanzas comercio y ventas","manabi",313.0,2.0,13.0,144.0,24.0,2021.0,6.0,4.5
"finanzas comercio y ventas","manabi",314.0,2.0,13.0,224.0,32.0,2021.0,7.0,6.0
"administración y legislación","pichincha",318.0,4.0,883.0,13240.0,40.0,2021.0,331.0,361.0
"administración y legislación","pichincha",319.0,4.0,883.0,7536.0,16.0,2021.0,471.0,508.5
"forestal ecología y medio ambiente","tungurahua",323.0,2.0,49.0,592.0,16.0,2021.0,37.0,34.0
"educación y capacitación","guayas",327.0,1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"finanzas comercio y ventas","sin provincia",330.0,3.0,42.0,440.0,40.0,2021.0,11.0,11.25
"finanzas comercio y ventas","loja",335.0,3.0,124.0,1000.0,40.0,2021.0,25.0,26.0
"procesos industriales","imbabura",337.0,2.0,59.0,160.0,32.0,2021.0,5.0,4.5
"procesos industriales","imbabura",338.0,2.0,59.0,864.0,16.0,2021.0,54.0,54.333333333333336
"procesos industriales","guayas",341.0,3.0,257.0,592.0,8.0,2021.0,74.0,82.66666666666667
"administración y legislación","pichincha",344.0,1.0,12.0,384.0,32.0,2021.0,12.0,10.0
"tecnologías de la información y comunicación","pichincha",345.0,1.0,6.0,96.0,16.0,2021.0,6.0,6.0
"educación y capacitación","sin provincia",346.0,2.0,15.0,200.0,40.0,2021.0,5.0,5.0
"servicios socioculturales y a la comunidad","los rios",349.0,10.0,258.0,2160.0,40.0,2021.0,54.0,54.375
"procesos industriales","los rios",350.0,10.0,258.0,384.0,8.0,2021.0,48.0,56.0
"procesos industriales","los rios",351.0,10.0,258.0,512.0,8.0,2021.0,64.0,56.0
"procesos industriales","los rios",352.0,10.0,258.0,320.0,40.0,2021.0,8.0,8.090909090909092
"procesos industriales","los rios",355.0,10.0,258.0,176.0,16.0,2021.0,11.0,12.0
"procesos industriales","guayas",356.0,2.0,6.0,16.0,8.0,2021.0,2.0,2.0
"procesos industriales","guayas",357.0,2.0,6.0,64.0,16.0,2021.0,4.0,4.0
"educación y capacitación","guayas",360.0,3.0,17.0,192.0,24.0,2021.0,8.0,6.0
"forestal ecología y medio ambiente","sin provincia",362.0,2.0,54.0,440.0,40.0,2021.0,11.0,11.0
"procesos industriales","azuay",364.0,2.0,94.0,752.0,16.0,2021.0,47.0,45.666666666666664
"procesos industriales","guayas",367.0,2.0,110.0,416.0,16.0,2021.0,26.0,26.666666666666668
"servicios socioculturales y a la comunidad","guayas",369.0,2.0,270.0,1160.0,40.0,2021.0,29.0,31.0
"transporte y logística","pichincha",370.0,3.0,36.0,112.0,16.0,2021.0,7.0,7.166666666666667
"finanzas comercio y ventas","cotopaxi",376.0,3.0,58.0,40.0,40.0,2021.0,1.0,1.0
"electricidad y electrónica","cotopaxi",381.0,2.0,36.0,144.0,24.0,2021.0,6.0,4.5
"electricidad y electrónica","cotopaxi",382.0,2.0,36.0,960.0,32.0,2021.0,30.0,28.666666666666668
"procesos industriales","guayas",385.0,1.0,9.0,72.0,8.0,2021.0,9.0,9.5
"tecnologías de la información y comunicación","azuay",386.0,2.0,94.0,672.0,8.0,2021.0,84.0,82.66666666666667
"transporte y logística","azuay",387.0,2.0,94.0,400.0,40.0,2021.0,10.0,10.0
"tecnologías de la información y comunicación","imbabura",389.0,2.0,81.0,1344.0,24.0,2021.0,56.0,57.0
"procesos industriales","pichincha",391.0,1.0,26.0,624.0,24.0,2021.0,26.0,26.0
"servicios socioculturales y a la comunidad","guayas",398.0,3.0,373.0,16.0,16.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","guayas",399.0,3.0,373.0,80.0,8.0,2021.0,10.0,8.0
"administración y legislación","pichincha",400.0,1.0,17.0,544.0,32.0,2021.0,17.0,19.0
"procesos industriales","guayas",405.0,3.0,30.0,360.0,40.0,2021.0,9.0,9.0
"procesos industriales","santo domingo de los tsachilas",410.0,1.0,15.0,600.0,40.0,2021.0,15.0,14.8
"finanzas comercio y ventas","guayas",415.0,5.0,95.0,24.0,24.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","pichincha",416.0,1.0,21.0,840.0,40.0,2021.0,21.0,21.0
"servicios socioculturales y a la comunidad","guayas",423.0,4.0,234.0,360.0,40.0,2021.0,9.0,9.0
"educación y capacitación","guayas",425.0,3.0,174.0,2600.0,40.0,2021.0,65.0,65.0
"finanzas comercio y ventas","guayas",428.0,3.0,16.0,224.0,32.0,2021.0,7.0,6.0
"administración y legislación","pichincha",433.0,2.0,10.0,40.0,8.0,2021.0,5.0,4.5
"tecnologías de la información y comunicación","guayas",436.0,1.0,2.0,80.0,40.0,2021.0,2.0,2.0
