"area","provincia","id_fact_ci","num_cap","volumen_capacitados","total_horas","carga_horaria","anio","total_cursos","prediction(total_cursos)"
"procesos industriales","el oro",2.0,102.0,126.0,1632.0,16.0,2021.0,3.0,1.3333333333333333
"forestal ecología y medio ambiente","cotopaxi",9.0,27.0,113.0,1080.0,40.0,2021.0,2.0,3.0
"forestal ecología y medio ambiente","cotopaxi",10.0,86.0,113.0,3440.0,40.0,2021.0,2.0,2.0
"procesos industriales","azuay",11.0,2.0,2.0,80.0,40.0,2021.0,1.0,1.0
"educación y capacitación","guayas",14.0,22.0,22.0,880.0,40.0,2021.0,1.0,1.0
"administración y legislación","guayas",15.0,43.0,43.0,1032.0,24.0,2021.0,1.0,1.0
"procesos industriales","cotopaxi",18.0,6.0,50.0,48.0,8.0,2021.0,2.0,2.0
"administración y legislación","el oro",21.0,10.0,17.0,160.0,16.0,2021.0,2.0,1.25
"educación y capacitación","pichincha",27.0,2.0,2.0,80.0,40.0,2021.0,1.0,1.0
"artes y artesanía","guayas",30.0,48.0,160.0,1920.0,40.0,2021.0,3.0,2.857142857142857
"finanzas comercio y ventas","pichincha",32.0,1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"electricidad y electrónica","pichincha",33.0,12.0,19.0,480.0,40.0,2021.0,2.0,1.75
"procesos industriales","guayas",35.0,32.0,170.0,256.0,8.0,2021.0,3.0,6.666666666666667
"procesos industriales","guayas",36.0,85.0,170.0,1360.0,16.0,2021.0,3.0,2.857142857142857
"procesos industriales","guayas",37.0,53.0,170.0,2120.0,40.0,2021.0,3.0,2.857142857142857
"tecnologías de la información y comunicación","sin provincia",38.0,30.0,30.0,720.0,24.0,2021.0,1.0,2.0
"servicios socioculturales y a la comunidad","pichincha",39.0,23.0,23.0,920.0,40.0,2021.0,1.0,1.0
"educación y capacitación","pichincha",41.0,1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"educación y capacitación","cotopaxi",44.0,1.0,6.0,40.0,40.0,2021.0,3.0,2.3333333333333335
"procesos industriales","guayas",46.0,9.0,9.0,216.0,24.0,2021.0,1.0,1.0
"procesos industriales","guayas",49.0,70.0,472.0,1120.0,16.0,2021.0,4.0,3.3333333333333335
"procesos industriales","guayas",50.0,356.0,472.0,14240.0,40.0,2021.0,4.0,4.0
"artes y artesanía","cañar",52.0,59.0,76.0,2360.0,40.0,2021.0,2.0,2.0
"procesos industriales","santa elena",55.0,4.0,4.0,160.0,40.0,2021.0,1.0,1.0
"procesos industriales","pichincha",56.0,88.0,88.0,704.0,8.0,2021.0,1.0,1.0
"educación y capacitación","guayas",58.0,274.0,295.0,10960.0,40.0,2021.0,2.0,1.0
"finanzas comercio y ventas","santo domingo de los tsachilas",60.0,6.0,6.0,240.0,40.0,2021.0,1.0,1.0
"administración y legislación","guayas",62.0,5.0,5.0,160.0,32.0,2021.0,1.0,1.0
"forestal ecología y medio ambiente","pichincha",64.0,13.0,21.0,208.0,16.0,2021.0,2.0,1.5
"educación y capacitación","pichincha",66.0,218.0,274.0,6976.0,32.0,2021.0,2.0,4.0
