"area","provincia","id_fact_ci","num_cap","total_cursos","volumen_capacitados","carga_horaria","anio","total_horas","prediction(total_horas)"
"procesos industriales","el oro",2.0,102.0,3.0,126.0,16.0,2021.0,1632.0,1616.0
"forestal ecología y medio ambiente","cotopaxi",9.0,27.0,2.0,113.0,40.0,2021.0,1080.0,1048.0
"forestal ecología y medio ambiente","cotopaxi",10.0,86.0,2.0,113.0,40.0,2021.0,3440.0,3520.0
"procesos industriales","azuay",11.0,2.0,1.0,2.0,40.0,2021.0,80.0,80.0
"educación y capacitación","guayas",14.0,22.0,1.0,22.0,40.0,2021.0,880.0,880.0
"administración y legislación","guayas",15.0,43.0,1.0,43.0,24.0,2021.0,1032.0,1096.0
"procesos industriales","cotopaxi",18.0,6.0,2.0,50.0,8.0,2021.0,48.0,48.0
"administración y legislación","el oro",21.0,10.0,2.0,17.0,16.0,2021.0,160.0,160.0
"educación y capacitación","pichincha",27.0,2.0,1.0,2.0,40.0,2021.0,80.0,80.0
"artes y artesanía","guayas",30.0,48.0,3.0,160.0,40.0,2021.0,1920.0,1840.0
"finanzas comercio y ventas","pichincha",32.0,1.0,1.0,1.0,40.0,2021.0,40.0,40.0
"electricidad y electrónica","pichincha",33.0,12.0,2.0,19.0,40.0,2021.0,480.0,480.0
"procesos industriales","guayas",35.0,32.0,3.0,170.0,8.0,2021.0,256.0,256.0
"procesos industriales","guayas",36.0,85.0,3.0,170.0,16.0,2021.0,1360.0,1244.0
"procesos industriales","guayas",37.0,53.0,3.0,170.0,40.0,2021.0,2120.0,2080.0
"tecnologías de la información y comunicación","sin provincia",38.0,30.0,1.0,30.0,24.0,2021.0,720.0,696.0
"servicios socioculturales y a la comunidad","pichincha",39.0,23.0,1.0,23.0,40.0,2021.0,920.0,920.0
"educación y capacitación","pichincha",41.0,1.0,1.0,1.0,24.0,2021.0,24.0,24.0
"educación y capacitación","cotopaxi",44.0,1.0,3.0,6.0,40.0,2021.0,40.0,40.0
"procesos industriales","guayas",46.0,9.0,1.0,9.0,24.0,2021.0,216.0,232.0
"procesos industriales","guayas",49.0,70.0,4.0,472.0,16.0,2021.0,1120.0,1082.6666666666667
"procesos industriales","guayas",50.0,356.0,4.0,472.0,40.0,2021.0,14240.0,14440.0
"artes y artesanía","cañar",52.0,59.0,2.0,76.0,40.0,2021.0,2360.0,2286.0
"procesos industriales","santa elena",55.0,4.0,1.0,4.0,40.0,2021.0,160.0,160.0
"procesos industriales","pichincha",56.0,88.0,1.0,88.0,8.0,2021.0,704.0,888.0
"educación y capacitación","guayas",58.0,274.0,2.0,295.0,40.0,2021.0,10960.0,9708.0
"finanzas comercio y ventas","santo domingo de los tsachilas",60.0,6.0,1.0,6.0,40.0,2021.0,240.0,240.0
"administración y legislación","guayas",62.0,5.0,1.0,5.0,32.0,2021.0,160.0,160.0
"forestal ecología y medio ambiente","pichincha",64.0,13.0,2.0,21.0,16.0,2021.0,208.0,208.0
"educación y capacitación","pichincha",66.0,218.0,2.0,274.0,32.0,2021.0,6976.0,8420.0
"administración y legislación","pichincha",70.0,5.0,1.0,5.0,40.0,2021.0,200.0,200.0
"transporte y logística","pichincha",72.0,37.0,2.0,49.0,24.0,2021.0,888.0,912.0
"administración y legislación","imbabura",73.0,9.0,2.0,55.0,40.0,2021.0,360.0,348.0
"educación y capacitación","azuay",77.0,34.0,2.0,112.0,40.0,2021.0,1360.0,1360.0
"tecnologías de la información y comunicación","azuay",78.0,78.0,2.0,112.0,40.0,2021.0,3120.0,3053.3333333333335
"procesos industriales","pichincha",79.0,40.0,5.0,238.0,8.0,2021.0,320.0,316.0
"procesos industriales","pichincha",81.0,9.0,5.0,238.0,16.0,2021.0,144.0,144.0
"procesos industriales","pichincha",82.0,11.0,5.0,238.0,40.0,2021.0,440.0,440.0
"procesos industriales","pichincha",83.0,138.0,5.0,238.0,40.0,2021.0,5520.0,5093.333333333333
"construcción e infraestructura","cañar",86.0,5.0,1.0,5.0,40.0,2021.0,200.0,200.0
"forestal ecología y medio ambiente","loja",89.0,45.0,4.0,304.0,24.0,2021.0,1080.0,1096.0
"procesos industriales","sin provincia",90.0,41.0,7.0,172.0,8.0,2021.0,328.0,328.0
"procesos industriales","sin provincia",94.0,21.0,7.0,172.0,8.0,2021.0,168.0,156.0
