"area","id_fact_ci","num_cap","total_cursos","volumen_capacitados","total_horas","carga_horaria","anio","total_ganancias","prediction(total_ganancias)"
"procesos industriales",2.0,102.0,3.0,126.0,1632.0,16.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente",9.0,27.0,2.0,113.0,1080.0,40.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente",10.0,86.0,2.0,113.0,3440.0,40.0,2021.0,0.0,0.0
"procesos industriales",11.0,2.0,1.0,2.0,80.0,40.0,2021.0,0.0,0.0
"educación y capacitación",14.0,22.0,1.0,22.0,880.0,40.0,2021.0,0.0,0.0
"administración y legislación",15.0,43.0,1.0,43.0,1032.0,24.0,2021.0,0.0,0.0
"procesos industriales",18.0,6.0,2.0,50.0,48.0,8.0,2021.0,0.0,0.0
"administración y legislación",21.0,10.0,2.0,17.0,160.0,16.0,2021.0,0.0,0.0
"educación y capacitación",27.0,2.0,1.0,2.0,80.0,40.0,2021.0,0.0,0.0
"artes y artesanía",30.0,48.0,3.0,160.0,1920.0,40.0,2021.0,0.0,0.0
"finanzas comercio y ventas",32.0,1.0,1.0,1.0,40.0,40.0,2021.0,0.0,0.0
"electricidad y electrónica",33.0,12.0,2.0,19.0,480.0,40.0,2021.0,0.0,0.0
"procesos industriales",35.0,32.0,3.0,170.0,256.0,8.0,2021.0,0.0,0.0
"procesos industriales",36.0,85.0,3.0,170.0,1360.0,16.0,2021.0,0.0,0.0
"procesos industriales",37.0,53.0,3.0,170.0,2120.0,40.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",38.0,30.0,1.0,30.0,720.0,24.0,2021.0,6962.400000000001,17457.8
"servicios socioculturales y a la comunidad",39.0,23.0,1.0,23.0,920.0,40.0,2021.0,0.0,0.0
"educación y capacitación",41.0,1.0,1.0,1.0,24.0,24.0,2021.0,0.0,0.0
"educación y capacitación",44.0,1.0,3.0,6.0,40.0,40.0,2021.0,0.0,0.0
"procesos industriales",46.0,9.0,1.0,9.0,216.0,24.0,2021.0,0.0,0.0
"procesos industriales",49.0,70.0,4.0,472.0,1120.0,16.0,2021.0,0.0,0.0
"procesos industriales",50.0,356.0,4.0,472.0,14240.0,40.0,2021.0,0.0,0.0
"artes y artesanía",52.0,59.0,2.0,76.0,2360.0,40.0,2021.0,0.0,0.0
"procesos industriales",55.0,4.0,1.0,4.0,160.0,40.0,2021.0,0.0,0.0
"procesos industriales",56.0,88.0,1.0,88.0,704.0,8.0,2021.0,0.0,0.0
"educación y capacitación",58.0,274.0,2.0,295.0,10960.0,40.0,2021.0,0.0,0.0
"finanzas comercio y ventas",60.0,6.0,1.0,6.0,240.0,40.0,2021.0,0.0,0.0
"administración y legislación",62.0,5.0,1.0,5.0,160.0,32.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente",64.0,13.0,2.0,21.0,208.0,16.0,2021.0,0.0,0.0
"educación y capacitación",66.0,218.0,2.0,274.0,6976.0,32.0,2021.0,0.0,0.0
"administración y legislación",70.0,5.0,1.0,5.0,200.0,40.0,2021.0,0.0,0.0
"transporte y logística",72.0,37.0,2.0,49.0,888.0,24.0,2021.0,0.0,0.0
"administración y legislación",73.0,9.0,2.0,55.0,360.0,40.0,2021.0,0.0,0.0
"educación y capacitación",77.0,34.0,2.0,112.0,1360.0,40.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",78.0,78.0,2.0,112.0,3120.0,40.0,2021.0,20810.4,17457.8
"procesos industriales",79.0,40.0,5.0,238.0,320.0,8.0,2021.0,0.0,0.0
"procesos industriales",81.0,9.0,5.0,238.0,144.0,16.0,2021.0,0.0,0.0
"procesos industriales",82.0,11.0,5.0,238.0,440.0,40.0,2021.0,0.0,0.0
"procesos industriales",83.0,138.0,5.0,238.0,5520.0,40.0,2021.0,0.0,0.0
"construcción e infraestructura",86.0,5.0,1.0,5.0,200.0,40.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente",89.0,45.0,4.0,304.0,1080.0,24.0,2021.0,0.0,0.0
"procesos industriales",90.0,41.0,7.0,172.0,328.0,8.0,2021.0,0.0,0.0
"procesos industriales",94.0,21.0,7.0,172.0,168.0,8.0,2021.0,0.0,0.0
