"area_familia","modalidad","canton","provincia","id_fact_oc","total_cursos","volumen_capacitados","total_horas","total_ganancias","%_asistencia","carga_horaria","costo","anio","num_cap_cer","prediction(num_cap_cer)"
"construcción e infraestructura","presencial","quito","pichincha",0.0,4.0,52.0,1360.0,0.0,0.0,40.0,0.0,2021.0,34.0,35.25
"servicios socioculturales y a la comunidad","online","guayaquil","guayas",5.0,2.0,249.0,9760.0,0.0,0.0,40.0,0.0,2021.0,244.0,277.0
"educación y capacitación","presencial","quito","pichincha",6.0,10.0,495.0,1380.0,0.0,0.0,60.0,0.0,2021.0,23.0,21.5
"educación y capacitación","presencial","quito","pichincha",7.0,10.0,495.0,270.0,0.0,0.0,30.0,0.0,2021.0,9.0,9.333333333333334
"educación y capacitación","presencial","quito","pichincha",8.0,10.0,95.0,180.0,0.0,0.0,30.0,0.0,2018.0,6.0,5.0
"educación y capacitación","presencial","quito","pichincha",11.0,2.0,42.0,12600.0,0.0,0.0,360.0,0.0,2021.0,35.0,29.0
"educación y capacitación","presencial","quito","pichincha",12.0,2.0,42.0,14000.0,0.0,0.0,400.0,0.0,2021.0,35.0,29.0
"comunicación y artes gráficas","online","guayaquil","guayas",14.0,2.0,655.0,17190.0,0.0,0.0,30.0,0.0,2021.0,573.0,709.4285714285714
"alimentación gastronomía y turismo","presencial","pastaza","pastaza",20.0,3.0,36.0,4000.0,0.0,0.0,200.0,0.0,2018.0,20.0,13.25
"electricidad y electrónica","presencial","cuenca","azuay",21.0,5.0,108.0,50.0,0.0,0.0,25.0,0.0,2021.0,2.0,3.1666666666666665
"electricidad y electrónica","presencial","cuenca","azuay",25.0,5.0,108.0,846.0,0.0,0.0,18.0,0.0,2021.0,47.0,48.42857142857143
"electricidad y electrónica","online","cuenca","azuay",29.0,5.0,108.0,90.0,0.0,0.0,30.0,0.0,2021.0,3.0,3.5
"electricidad y electrónica","presencial","cuenca","azuay",31.0,4.0,80.0,1908.0,0.0,0.0,36.0,0.0,2018.0,53.0,48.0
"electricidad y electrónica","presencial","cuenca","azuay",36.0,3.0,71.0,1332.0,0.0,0.0,36.0,0.0,2019.0,37.0,30.5
"procesos industriales","presencial","rumiñahui","pichincha",45.0,8.0,438.0,360.0,0.0,0.0,12.0,0.0,2021.0,30.0,35.75
"alimentación gastronomía y turismo","presencial","rumiñahui","pichincha",47.0,8.0,438.0,5160.0,0.0,0.0,40.0,0.0,2021.0,129.0,97.11111111111113
