"area_familia","modalidad","canton","provincia","id_fact_oc","num_cap_cer","volumen_capacitados","total_horas","total_ganancias","%_asistencia","carga_horaria","costo","anio","total_cursos","prediction(total_cursos)"
"construcción e infraestructura","presencial","quito","pichincha",0.0,34.0,52.0,1360.0,0.0,0.0,40.0,0.0,2021.0,4.0,12.746161048703357
"servicios socioculturales y a la comunidad","online","guayaquil","guayas",5.0,244.0,249.0,9760.0,0.0,0.0,40.0,0.0,2021.0,2.0,6.49316640707184
"educación y capacitación","presencial","quito","pichincha",6.0,23.0,495.0,1380.0,0.0,0.0,60.0,0.0,2021.0,10.0,9.981649866819907
"educación y capacitación","presencial","quito","pichincha",7.0,9.0,495.0,270.0,0.0,0.0,30.0,0.0,2021.0,10.0,10.242080005868615
"educación y capacitación","presencial","quito","pichincha",8.0,6.0,95.0,180.0,0.0,0.0,30.0,0.0,2018.0,10.0,7.709128380547554
"educación y capacitación","presencial","quito","pichincha",11.0,35.0,42.0,12600.0,0.0,0.0,360.0,0.0,2021.0,2.0,4.2363380027447874
"educación y capacitación","presencial","quito","pichincha",12.0,35.0,42.0,14000.0,0.0,0.0,400.0,0.0,2021.0,2.0,4.04850190315301
"comunicación y artes gráficas","online","guayaquil","guayas",14.0,573.0,655.0,17190.0,0.0,0.0,30.0,0.0,2021.0,2.0,6.945642024228846
"alimentación gastronomía y turismo","presencial","pastaza","pastaza",20.0,20.0,36.0,4000.0,0.0,0.0,200.0,0.0,2018.0,3.0,6.466863741520115
"electricidad y electrónica","presencial","cuenca","azuay",21.0,2.0,108.0,50.0,0.0,0.0,25.0,0.0,2021.0,5.0,6.791361265294768
"electricidad y electrónica","presencial","cuenca","azuay",25.0,47.0,108.0,846.0,0.0,0.0,18.0,0.0,2021.0,5.0,6.37099270368833
"electricidad y electrónica","online","cuenca","azuay",29.0,3.0,108.0,90.0,0.0,0.0,30.0,0.0,2021.0,5.0,6.496591449999869
"electricidad y electrónica","presencial","cuenca","azuay",31.0,53.0,80.0,1908.0,0.0,0.0,36.0,0.0,2018.0,4.0,7.066708966813394
"electricidad y electrónica","presencial","cuenca","azuay",36.0,37.0,71.0,1332.0,0.0,0.0,36.0,0.0,2019.0,3.0,6.791384254499235
"procesos industriales","presencial","rumiñahui","pichincha",45.0,30.0,438.0,360.0,0.0,0.0,12.0,0.0,2021.0,8.0,10.03942355624315
"alimentación gastronomía y turismo","presencial","rumiñahui","pichincha",47.0,129.0,438.0,5160.0,0.0,0.0,40.0,0.0,2021.0,8.0,8.347806559879928
"procesos industriales","presencial","rumiñahui","pichincha",48.0,131.0,227.0,5240.0,0.0,0.0,40.0,0.0,2018.0,3.0,7.929768821824723
"procesos industriales","presencial","quito","pichincha",50.0,4.0,42.0,200.0,0.0,0.0,50.0,0.0,2021.0,4.0,6.551586701898486
"procesos industriales","presencial","quito","pichincha",51.0,27.0,42.0,4050.0,0.0,0.0,150.0,0.0,2021.0,4.0,5.864498966560063
"mecánica industrial y minería","presencial","quito","pichincha",52.0,7.0,42.0,1050.0,0.0,0.0,150.0,0.0,2021.0,4.0,5.8579805289869
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",59.0,1.0,20.0,40.0,0.0,0.0,40.0,0.0,2021.0,2.0,11.895766071381217
"educación y capacitación","presencial","quito","pichincha",61.0,1.0,11.0,268.0,0.0,0.0,268.0,0.0,2021.0,9.0,5.465929225380933
"educación y capacitación","presencial","quito","pichincha",64.0,1.0,19.0,267.0,0.0,0.0,267.0,0.0,2018.0,7.0,6.664677661557903
"procesos industriales","presencial","quito","pichincha",76.0,35.0,1394.0,280.0,0.0,0.0,8.0,0.0,2021.0,12.0,18.83854714677159
"procesos industriales","presencial","quito","pichincha",84.0,267.0,1394.0,2136.0,0.0,0.0,8.0,0.0,2021.0,12.0,16.798721350711958
"procesos industriales","online","quito","pichincha",85.0,267.0,1394.0,2136.0,0.0,0.0,8.0,0.0,2021.0,12.0,16.521014440202748
"procesos industriales","presencial","quito","pichincha",90.0,4.0,1394.0,32.0,0.0,0.0,8.0,0.0,2021.0,12.0,19.117465115193227
"procesos industriales","presencial","quito","pichincha",96.0,3.0,247.0,24.0,0.0,0.0,8.0,0.0,2019.0,17.0,9.303039491104414
"procesos industriales","online","quito","pichincha",99.0,20.0,247.0,160.0,0.0,0.0,8.0,0.0,2019.0,17.0,8.876458826254293
"procesos industriales","presencial","quito","pichincha",102.0,17.0,247.0,272.0,0.0,0.0,16.0,0.0,2019.0,17.0,9.157032066488114
"procesos industriales","presencial","quito","pichincha",104.0,24.0,247.0,384.0,0.0,0.0,16.0,0.0,2019.0,17.0,9.091401038306799
"procesos industriales","online","quito","pichincha",107.0,29.0,247.0,232.0,0.0,0.0,8.0,0.0,2019.0,17.0,8.800570613421883
"procesos industriales","online","quito","pichincha",109.0,43.0,247.0,344.0,0.0,0.0,8.0,0.0,2019.0,17.0,8.678117544057272
"procesos industriales","presencial","quito","pichincha",110.0,31.0,247.0,248.0,0.0,0.0,8.0,0.0,2019.0,17.0,9.062350654995043
"procesos industriales","online","quito","pichincha",111.0,31.0,247.0,248.0,0.0,0.0,8.0,0.0,2019.0,17.0,8.784643744485834
"procesos industriales","online","quito","pichincha",113.0,2.0,247.0,32.0,0.0,0.0,16.0,0.0,2019.0,17.0,9.025987791539023
"educación y capacitación","online","ibarra","imbabura",115.0,22.0,245.0,880.0,0.0,0.0,40.0,0.0,2021.0,9.0,7.5298494786205765
"alimentación gastronomía y turismo","presencial","ibarra","imbabura",116.0,114.0,245.0,4560.0,0.0,0.0,40.0,0.0,2021.0,9.0,6.771187064621586
"alimentación gastronomía y turismo","online","ibarra","imbabura",117.0,114.0,245.0,4560.0,0.0,0.0,40.0,0.0,2021.0,9.0,6.493480154112376
"educación y capacitación","presencial","ibarra","imbabura",118.0,16.0,60.0,640.0,0.0,0.0,40.0,0.0,2018.0,4.0,7.295148799498293
"educación y capacitación","online","ibarra","imbabura",119.0,16.0,60.0,640.0,0.0,0.0,40.0,0.0,2018.0,4.0,7.017441888989083
"administración y legislación","presencial","quito","pichincha",125.0,3.0,3.0,120.0,0.0,0.0,40.0,0.0,2020.0,1.0,6.201753150573836
"administración y legislación","presencial","quito","pichincha",126.0,59.0,75.0,2360.0,0.0,0.0,40.0,0.0,2022.0,3.0,5.470316719255607
"administración y legislación","presencial","quito","pichincha",127.0,10.0,75.0,400.0,0.0,0.0,40.0,0.0,2022.0,3.0,6.037410569436361
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",129.0,5.0,5.0,200.0,0.0,0.0,40.0,0.0,2021.0,1.0,5.824761731759622
"alimentación gastronomía y turismo","presencial","quito","pichincha",130.0,213.0,1219.0,51120.0,0.0,0.0,240.0,0.0,2021.0,13.0,10.6017108799374
"alimentación gastronomía y turismo","presencial","quito","pichincha",132.0,33.0,1219.0,6600.0,0.0,0.0,200.0,0.0,2021.0,13.0,15.968142668150904
"alimentación gastronomía y turismo","presencial","quito","pichincha",134.0,44.0,1219.0,10560.0,0.0,0.0,240.0,0.0,2021.0,13.0,15.470809147886825
"educación y capacitación","semipresencial","guayaquil","guayas",135.0,723.0,1307.0,108450.0,0.0,0.0,150.0,0.0,2021.0,3.0,3.69501307365897
"artes y artesanía","presencial","quito","pichincha",138.0,4.0,24.0,160.0,0.0,0.0,40.0,0.0,2021.0,3.0,6.015275455085998
"educación y capacitación","online","santo domingo","santo domingo de los tsachilas",144.0,9.0,1119.0,360.0,0.0,0.0,40.0,0.0,2021.0,15.0,21.237629215171523
"procesos industriales","online","santo domingo","santo domingo de los tsachilas",148.0,202.0,1119.0,1616.0,0.0,0.0,8.0,0.0,2021.0,15.0,20.07306736113037
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",149.0,3.0,1119.0,180.0,0.0,0.0,60.0,0.0,2021.0,15.0,22.00286244852748
"administración y legislación","presencial","santo domingo","santo domingo de los tsachilas",151.0,55.0,1119.0,440.0,0.0,0.0,8.0,0.0,2021.0,15.0,21.219238198105813
"tecnologías de la información y comunicación","presencial","quito","pichincha",153.0,28.0,1218.0,1120.0,16520.0,0.2333333333333333,40.0,590.0,2021.0,23.0,20.741500644419716
"tecnologías de la información y comunicación","presencial","quito","pichincha",158.0,16.0,1218.0,640.0,6188.8,0.1333333333333333,40.0,386.8,2021.0,23.0,20.402587593357453
"electricidad y electrónica","presencial","quito","pichincha",160.0,15.0,1218.0,600.0,0.0,0.125,40.0,0.0,2021.0,23.0,16.90512474742968
"educación y capacitación","presencial","quito","pichincha",162.0,95.0,1218.0,3800.0,0.0,0.7916666666666667,40.0,0.0,2021.0,23.0,15.958174557792745
"tecnologías de la información y comunicación","presencial","quito","pichincha",164.0,115.0,1218.0,4600.0,83352.00000000001,0.9583333333333331,40.0,724.8000000000001,2021.0,23.0,22.844283277821773
"tecnologías de la información y comunicación","presencial","quito","pichincha",168.0,1.0,1218.0,40.0,386.8,0.0083333333333333,40.0,386.8,2021.0,23.0,20.31039488381373
"educación y capacitación","presencial","quito","pichincha",170.0,4.0,1218.0,480.0,0.0,0.0333333333333333,120.0,0.0,2021.0,23.0,16.84646058494593
"tecnologías de la información y comunicación","presencial","quito","pichincha",173.0,15.0,1218.0,600.0,1998.0,0.125,40.0,133.2,2021.0,23.0,20.22604997741348
"tecnologías de la información y comunicación","presencial","quito","pichincha",176.0,12.0,127.0,480.0,4641.6,0.1,40.0,386.8,2019.0,14.0,11.074948141597247
"educación y capacitación","presencial","quito","pichincha",177.0,4.0,127.0,160.0,0.0,0.0333333333333333,40.0,0.0,2019.0,14.0,7.702674330029254
"tecnologías de la información y comunicación","presencial","quito","pichincha",178.0,3.0,127.0,120.0,1160.4,0.025,40.0,386.8,2019.0,14.0,11.017945594823118
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",181.0,12.0,14.0,1728.0,0.0,0.0,144.0,0.0,2021.0,3.0,7.07884576272329
"alimentación gastronomía y turismo","online","guayaquil","guayas",182.0,12.0,14.0,1728.0,0.0,0.0,144.0,0.0,2021.0,3.0,6.8011388522140805
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",183.0,14.0,21.0,2016.0,0.0,0.0,144.0,0.0,2019.0,3.0,7.851136114160454
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",188.0,51.0,69.0,1020.0,15045.0,0.0,20.0,295.0,2021.0,3.0,11.463410789725572
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",189.0,10.0,69.0,400.0,7500.0,0.0,40.0,750.0,2021.0,3.0,11.466328986121539
"procesos industriales","presencial","quito","pichincha",190.0,13.0,282.0,520.0,0.0,0.0,40.0,0.0,2021.0,12.0,8.739358340611034
"procesos industriales","presencial","quito","pichincha",191.0,40.0,282.0,1600.0,0.0,0.0,40.0,0.0,2021.0,12.0,8.42753216806068
"procesos industriales","presencial","quito","pichincha",192.0,56.0,282.0,2240.0,0.0,0.0,40.0,0.0,2021.0,12.0,8.242918104063392
"procesos industriales","presencial","quito","pichincha",202.0,13.0,282.0,520.0,0.0,0.0,40.0,0.0,2021.0,12.0,8.744419103755035
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",206.0,10.0,55.0,1000.0,0.0,0.0,100.0,0.0,2019.0,4.0,6.855200552646693
"alimentación gastronomía y turismo","presencial","daule","guayas",210.0,6.0,235.0,240.0,0.0,0.0,40.0,0.0,2021.0,4.0,7.967635313222331
"alimentación gastronomía y turismo","presencial","daule","guayas",212.0,60.0,235.0,18720.0,0.0,0.0,312.0,0.0,2021.0,4.0,5.477788268421477
"alimentación gastronomía y turismo","presencial","daule","guayas",215.0,44.0,54.0,13728.0,0.0,0.0,312.0,0.0,2019.0,2.0,5.118561188099761
"tecnologías de la información y comunicación","presencial","quito","pichincha",218.0,2.0,2808.0,60.0,580.2,0.0071377587437544,30.0,290.1,2021.0,40.0,35.005078856992895
"comunicación y artes gráficas","presencial","quito","pichincha",220.0,42.0,2808.0,1260.0,0.0,0.1498929336188436,30.0,0.0,2021.0,40.0,31.329007204846448
"tecnologías de la información y comunicación","presencial","quito","pichincha",223.0,13.0,2808.0,390.0,2683.2000000000003,0.046395431834404,30.0,206.4,2021.0,40.0,34.98723943915968
"tecnologías de la información y comunicación","presencial","quito","pichincha",225.0,286.0,2808.0,8580.0,90090.0,1.020699500356888,30.0,315.0,2021.0,40.0,36.12630317067669
"tecnologías de la información y comunicación","presencial","quito","pichincha",226.0,21.0,2808.0,630.0,1417.5,0.0749464668094218,30.0,67.5,2021.0,40.0,34.84435274080329
"tecnologías de la información y comunicación","presencial","quito","pichincha",228.0,682.0,2808.0,20460.0,65642.49999318,2.4339757316202717,30.0,96.24999999,2021.0,40.0,30.764048963571213
"tecnologías de la información y comunicación","presencial","quito","pichincha",231.0,32.0,2808.0,960.0,10080.0,0.1142041399000713,30.0,315.0,2021.0,40.0,35.13075451336681
"comunicación y artes gráficas","presencial","quito","pichincha",232.0,255.0,2808.0,5100.0,0.0,0.9100642398286938,20.0,0.0,2021.0,40.0,29.295721313530294
"tecnologías de la información y comunicación","presencial","quito","pichincha",233.0,1.0,2808.0,30.0,182.7,0.0035688793718772,30.0,182.7,2021.0,40.0,35.00364887023932
"tecnologías de la información y comunicación","presencial","quito","pichincha",235.0,43.0,2808.0,1290.0,8604.3,0.1534618129907209,30.0,200.1,2021.0,40.0,34.9465069412953
"educación y capacitación","presencial","ibarra","imbabura",243.0,73.0,312.0,11096.0,0.0,0.0,152.0,0.0,2021.0,8.0,6.9958893180588575
"educación y capacitación","presencial","ibarra","imbabura",244.0,19.0,312.0,3610.0,0.0,0.0,190.0,0.0,2021.0,8.0,8.015593082607552
"procesos industriales","presencial","guayaquil","guayas",248.0,5.0,104.0,80.0,0.0,0.0,16.0,0.0,2021.0,7.0,8.779790380703844
"procesos industriales","online","MISSING","cotopaxi",251.0,30.0,193.0,900.0,0.0,0.0,30.0,0.0,2021.0,5.0,7.512654578757861
