"area_familia","modalidad","canton","provincia","id_fact_oc","num_cap_cer","total_cursos","total_horas","total_ganancias","%_asistencia","carga_horaria","costo","anio","volumen_capacitados","prediction(volumen_capacitados)"
"construcción e infraestructura","presencial","quito","pichincha",0.0,34.0,4.0,1360.0,0.0,0.0,40.0,0.0,2021.0,52.0,167.0
"servicios socioculturales y a la comunidad","online","guayaquil","guayas",5.0,244.0,2.0,9760.0,0.0,0.0,40.0,0.0,2021.0,249.0,263.5
"educación y capacitación","presencial","quito","pichincha",6.0,23.0,10.0,1380.0,0.0,0.0,60.0,0.0,2021.0,495.0,1311.0666666666666
"educación y capacitación","presencial","quito","pichincha",7.0,9.0,10.0,270.0,0.0,0.0,30.0,0.0,2021.0,495.0,1311.0666666666666
"educación y capacitación","presencial","quito","pichincha",8.0,6.0,10.0,180.0,0.0,0.0,30.0,0.0,2018.0,95.0,1311.0666666666666
"educación y capacitación","presencial","quito","pichincha",11.0,35.0,2.0,12600.0,0.0,0.0,360.0,0.0,2021.0,42.0,167.0
"educación y capacitación","presencial","quito","pichincha",12.0,35.0,2.0,14000.0,0.0,0.0,400.0,0.0,2021.0,42.0,167.0
"comunicación y artes gráficas","online","guayaquil","guayas",14.0,573.0,2.0,17190.0,0.0,0.0,30.0,0.0,2021.0,655.0,586.5
"alimentación gastronomía y turismo","presencial","pastaza","pastaza",20.0,20.0,3.0,4000.0,0.0,0.0,200.0,0.0,2018.0,36.0,49.0
"electricidad y electrónica","presencial","cuenca","azuay",21.0,2.0,5.0,50.0,0.0,0.0,25.0,0.0,2021.0,108.0,185.4418604651163
"electricidad y electrónica","presencial","cuenca","azuay",25.0,47.0,5.0,846.0,0.0,0.0,18.0,0.0,2021.0,108.0,185.4418604651163
"electricidad y electrónica","online","cuenca","azuay",29.0,3.0,5.0,90.0,0.0,0.0,30.0,0.0,2021.0,108.0,185.4418604651163
"electricidad y electrónica","presencial","cuenca","azuay",31.0,53.0,4.0,1908.0,0.0,0.0,36.0,0.0,2018.0,80.0,92.66666666666667
"electricidad y electrónica","presencial","cuenca","azuay",36.0,37.0,3.0,1332.0,0.0,0.0,36.0,0.0,2019.0,71.0,92.66666666666667
"procesos industriales","presencial","rumiñahui","pichincha",45.0,30.0,8.0,360.0,0.0,0.0,12.0,0.0,2021.0,438.0,438.0
"alimentación gastronomía y turismo","presencial","rumiñahui","pichincha",47.0,129.0,8.0,5160.0,0.0,0.0,40.0,0.0,2021.0,438.0,1603.25
"procesos industriales","presencial","rumiñahui","pichincha",48.0,131.0,3.0,5240.0,0.0,0.0,40.0,0.0,2018.0,227.0,263.5
"procesos industriales","presencial","quito","pichincha",50.0,4.0,4.0,200.0,0.0,0.0,50.0,0.0,2021.0,42.0,68.0
"procesos industriales","presencial","quito","pichincha",51.0,27.0,4.0,4050.0,0.0,0.0,150.0,0.0,2021.0,42.0,112.73333333333333
"mecánica industrial y minería","presencial","quito","pichincha",52.0,7.0,4.0,1050.0,0.0,0.0,150.0,0.0,2021.0,42.0,112.73333333333333
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",59.0,1.0,2.0,40.0,0.0,0.0,40.0,0.0,2021.0,20.0,28.18421052631579
"educación y capacitación","presencial","quito","pichincha",61.0,1.0,9.0,268.0,0.0,0.0,268.0,0.0,2021.0,11.0,11.0
"educación y capacitación","presencial","quito","pichincha",64.0,1.0,7.0,267.0,0.0,0.0,267.0,0.0,2018.0,19.0,185.4418604651163
"procesos industriales","presencial","quito","pichincha",76.0,35.0,12.0,280.0,0.0,0.0,8.0,0.0,2021.0,1394.0,1311.0666666666666
"procesos industriales","presencial","quito","pichincha",84.0,267.0,12.0,2136.0,0.0,0.0,8.0,0.0,2021.0,1394.0,1394.0
"procesos industriales","online","quito","pichincha",85.0,267.0,12.0,2136.0,0.0,0.0,8.0,0.0,2021.0,1394.0,1394.0
"procesos industriales","presencial","quito","pichincha",90.0,4.0,12.0,32.0,0.0,0.0,8.0,0.0,2021.0,1394.0,1311.0666666666666
"procesos industriales","presencial","quito","pichincha",96.0,3.0,17.0,24.0,0.0,0.0,8.0,0.0,2019.0,247.0,247.0
"procesos industriales","online","quito","pichincha",99.0,20.0,17.0,160.0,0.0,0.0,8.0,0.0,2019.0,247.0,247.0
"procesos industriales","presencial","quito","pichincha",102.0,17.0,17.0,272.0,0.0,0.0,16.0,0.0,2019.0,247.0,247.0
"procesos industriales","presencial","quito","pichincha",104.0,24.0,17.0,384.0,0.0,0.0,16.0,0.0,2019.0,247.0,247.0
"procesos industriales","online","quito","pichincha",107.0,29.0,17.0,232.0,0.0,0.0,8.0,0.0,2019.0,247.0,247.0
"procesos industriales","online","quito","pichincha",109.0,43.0,17.0,344.0,0.0,0.0,8.0,0.0,2019.0,247.0,247.0
"procesos industriales","presencial","quito","pichincha",110.0,31.0,17.0,248.0,0.0,0.0,8.0,0.0,2019.0,247.0,247.0
"procesos industriales","online","quito","pichincha",111.0,31.0,17.0,248.0,0.0,0.0,8.0,0.0,2019.0,247.0,247.0
"procesos industriales","online","quito","pichincha",113.0,2.0,17.0,32.0,0.0,0.0,16.0,0.0,2019.0,247.0,247.0
"educación y capacitación","online","ibarra","imbabura",115.0,22.0,9.0,880.0,0.0,0.0,40.0,0.0,2021.0,245.0,289.6666666666667
"alimentación gastronomía y turismo","presencial","ibarra","imbabura",116.0,114.0,9.0,4560.0,0.0,0.0,40.0,0.0,2021.0,245.0,289.6666666666667
"alimentación gastronomía y turismo","online","ibarra","imbabura",117.0,114.0,9.0,4560.0,0.0,0.0,40.0,0.0,2021.0,245.0,289.6666666666667
"educación y capacitación","presencial","ibarra","imbabura",118.0,16.0,4.0,640.0,0.0,0.0,40.0,0.0,2018.0,60.0,112.73333333333333
"educación y capacitación","online","ibarra","imbabura",119.0,16.0,4.0,640.0,0.0,0.0,40.0,0.0,2018.0,60.0,104.15384615384616
"administración y legislación","presencial","quito","pichincha",125.0,3.0,1.0,120.0,0.0,0.0,40.0,0.0,2020.0,3.0,28.18421052631579
"administración y legislación","presencial","quito","pichincha",126.0,59.0,3.0,2360.0,0.0,0.0,40.0,0.0,2022.0,75.0,167.0
"administración y legislación","presencial","quito","pichincha",127.0,10.0,3.0,400.0,0.0,0.0,40.0,0.0,2022.0,75.0,24.5
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",129.0,5.0,1.0,200.0,0.0,0.0,40.0,0.0,2021.0,5.0,28.18421052631579
"alimentación gastronomía y turismo","presencial","quito","pichincha",130.0,213.0,13.0,51120.0,0.0,0.0,240.0,0.0,2021.0,1219.0,375.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",132.0,33.0,13.0,6600.0,0.0,0.0,200.0,0.0,2021.0,1219.0,1311.0666666666666
"alimentación gastronomía y turismo","presencial","quito","pichincha",134.0,44.0,13.0,10560.0,0.0,0.0,240.0,0.0,2021.0,1219.0,1311.0666666666666
"educación y capacitación","semipresencial","guayaquil","guayas",135.0,723.0,3.0,108450.0,0.0,0.0,150.0,0.0,2021.0,1307.0,1027.0
"artes y artesanía","presencial","quito","pichincha",138.0,4.0,3.0,160.0,0.0,0.0,40.0,0.0,2021.0,24.0,68.0
"educación y capacitación","online","santo domingo","santo domingo de los tsachilas",144.0,9.0,15.0,360.0,0.0,0.0,40.0,0.0,2021.0,1119.0,1012.25
"procesos industriales","online","santo domingo","santo domingo de los tsachilas",148.0,202.0,15.0,1616.0,0.0,0.0,8.0,0.0,2021.0,1119.0,1012.25
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",149.0,3.0,15.0,180.0,0.0,0.0,60.0,0.0,2021.0,1119.0,1232.5384615384614
"administración y legislación","presencial","santo domingo","santo domingo de los tsachilas",151.0,55.0,15.0,440.0,0.0,0.0,8.0,0.0,2021.0,1119.0,1232.5384615384614
"tecnologías de la información y comunicación","presencial","quito","pichincha",153.0,28.0,23.0,1120.0,16520.0,0.2333333333333333,40.0,590.0,2021.0,1218.0,1232.5384615384614
"tecnologías de la información y comunicación","presencial","quito","pichincha",158.0,16.0,23.0,640.0,6188.8,0.1333333333333333,40.0,386.8,2021.0,1218.0,1232.5384615384614
"electricidad y electrónica","presencial","quito","pichincha",160.0,15.0,23.0,600.0,0.0,0.125,40.0,0.0,2021.0,1218.0,1232.5384615384614
"educación y capacitación","presencial","quito","pichincha",162.0,95.0,23.0,3800.0,0.0,0.7916666666666667,40.0,0.0,2021.0,1218.0,1203.857142857143
"tecnologías de la información y comunicación","presencial","quito","pichincha",164.0,115.0,23.0,4600.0,83352.00000000001,0.9583333333333331,40.0,724.8000000000001,2021.0,1218.0,1203.857142857143
"tecnologías de la información y comunicación","presencial","quito","pichincha",168.0,1.0,23.0,40.0,386.8,0.0083333333333333,40.0,386.8,2021.0,1218.0,1232.5384615384614
"educación y capacitación","presencial","quito","pichincha",170.0,4.0,23.0,480.0,0.0,0.0333333333333333,120.0,0.0,2021.0,1218.0,1232.5384615384614
"tecnologías de la información y comunicación","presencial","quito","pichincha",173.0,15.0,23.0,600.0,1998.0,0.125,40.0,133.2,2021.0,1218.0,1232.5384615384614
"tecnologías de la información y comunicación","presencial","quito","pichincha",176.0,12.0,14.0,480.0,4641.6,0.1,40.0,386.8,2019.0,127.0,648.0
"educación y capacitación","presencial","quito","pichincha",177.0,4.0,14.0,160.0,0.0,0.0333333333333333,40.0,0.0,2019.0,127.0,127.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",178.0,3.0,14.0,120.0,1160.4,0.025,40.0,386.8,2019.0,127.0,127.0
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",181.0,12.0,3.0,1728.0,0.0,0.0,144.0,0.0,2021.0,14.0,24.5
"alimentación gastronomía y turismo","online","guayaquil","guayas",182.0,12.0,3.0,1728.0,0.0,0.0,144.0,0.0,2021.0,14.0,26.0
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",183.0,14.0,3.0,2016.0,0.0,0.0,144.0,0.0,2019.0,21.0,88.5
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",188.0,51.0,3.0,1020.0,15045.0,0.0,20.0,295.0,2021.0,69.0,101.0
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",189.0,10.0,3.0,400.0,7500.0,0.0,40.0,750.0,2021.0,69.0,24.5
"procesos industriales","presencial","quito","pichincha",190.0,13.0,12.0,520.0,0.0,0.0,40.0,0.0,2021.0,282.0,284.55555555555554
"procesos industriales","presencial","quito","pichincha",191.0,40.0,12.0,1600.0,0.0,0.0,40.0,0.0,2021.0,282.0,284.55555555555554
"procesos industriales","presencial","quito","pichincha",192.0,56.0,12.0,2240.0,0.0,0.0,40.0,0.0,2021.0,282.0,284.55555555555554
"procesos industriales","presencial","quito","pichincha",202.0,13.0,12.0,520.0,0.0,0.0,40.0,0.0,2021.0,282.0,284.55555555555554
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",206.0,10.0,4.0,1000.0,0.0,0.0,100.0,0.0,2019.0,55.0,112.73333333333333
"alimentación gastronomía y turismo","presencial","daule","guayas",210.0,6.0,4.0,240.0,0.0,0.0,40.0,0.0,2021.0,235.0,68.0
"alimentación gastronomía y turismo","presencial","daule","guayas",212.0,60.0,4.0,18720.0,0.0,0.0,312.0,0.0,2021.0,235.0,122.0
"alimentación gastronomía y turismo","presencial","daule","guayas",215.0,44.0,2.0,13728.0,0.0,0.0,312.0,0.0,2019.0,54.0,45.75
"tecnologías de la información y comunicación","presencial","quito","pichincha",218.0,2.0,40.0,60.0,580.2,0.0071377587437544,30.0,290.1,2021.0,2808.0,2808.0
"comunicación y artes gráficas","presencial","quito","pichincha",220.0,42.0,40.0,1260.0,0.0,0.1498929336188436,30.0,0.0,2021.0,2808.0,2808.0
