"area_familia","modalidad","canton","provincia","id_fact_oc","num_cap_cer","total_cursos","volumen_capacitados","total_ganancias","%_asistencia","carga_horaria","costo","anio","total_horas","prediction(total_horas)"
"construcción e infraestructura","presencial","quito","pichincha",0.0,34.0,4.0,52.0,0.0,0.0,40.0,0.0,2021.0,1360.0,1296.75
"servicios socioculturales y a la comunidad","online","guayaquil","guayas",5.0,244.0,2.0,249.0,0.0,0.0,40.0,0.0,2021.0,9760.0,9310.0
"educación y capacitación","presencial","quito","pichincha",6.0,23.0,10.0,495.0,0.0,0.0,60.0,0.0,2021.0,1380.0,1560.0
"educación y capacitación","presencial","quito","pichincha",7.0,9.0,10.0,495.0,0.0,0.0,30.0,0.0,2021.0,270.0,270.0
"educación y capacitación","presencial","quito","pichincha",8.0,6.0,10.0,95.0,0.0,0.0,30.0,0.0,2018.0,180.0,240.0
"educación y capacitación","presencial","quito","pichincha",11.0,35.0,2.0,42.0,0.0,0.0,360.0,0.0,2021.0,12600.0,11539.5
"educación y capacitación","presencial","quito","pichincha",12.0,35.0,2.0,42.0,0.0,0.0,400.0,0.0,2021.0,14000.0,11539.5
"comunicación y artes gráficas","online","guayaquil","guayas",14.0,573.0,2.0,655.0,0.0,0.0,30.0,0.0,2021.0,17190.0,22415.0
"alimentación gastronomía y turismo","presencial","pastaza","pastaza",20.0,20.0,3.0,36.0,0.0,0.0,200.0,0.0,2018.0,4000.0,5285.333333333333
"electricidad y electrónica","presencial","cuenca","azuay",21.0,2.0,5.0,108.0,0.0,0.0,25.0,0.0,2021.0,50.0,93.0
"electricidad y electrónica","presencial","cuenca","azuay",25.0,47.0,5.0,108.0,0.0,0.0,18.0,0.0,2021.0,846.0,886.6666666666666
"electricidad y electrónica","online","cuenca","azuay",29.0,3.0,5.0,108.0,0.0,0.0,30.0,0.0,2021.0,90.0,93.0
"electricidad y electrónica","presencial","cuenca","azuay",31.0,53.0,4.0,80.0,0.0,0.0,36.0,0.0,2018.0,1908.0,2082.0
"electricidad y electrónica","presencial","cuenca","azuay",36.0,37.0,3.0,71.0,0.0,0.0,36.0,0.0,2019.0,1332.0,1520.0
"procesos industriales","presencial","rumiñahui","pichincha",45.0,30.0,8.0,438.0,0.0,0.0,12.0,0.0,2021.0,360.0,444.0
"alimentación gastronomía y turismo","presencial","rumiñahui","pichincha",47.0,129.0,8.0,438.0,0.0,0.0,40.0,0.0,2021.0,5160.0,6540.0
"procesos industriales","presencial","rumiñahui","pichincha",48.0,131.0,3.0,227.0,0.0,0.0,40.0,0.0,2018.0,5240.0,6540.0
"procesos industriales","presencial","quito","pichincha",50.0,4.0,4.0,42.0,0.0,0.0,50.0,0.0,2021.0,200.0,170.0
"procesos industriales","presencial","quito","pichincha",51.0,27.0,4.0,42.0,0.0,0.0,150.0,0.0,2021.0,4050.0,3495.0
"mecánica industrial y minería","presencial","quito","pichincha",52.0,7.0,4.0,42.0,0.0,0.0,150.0,0.0,2021.0,1050.0,969.1111111111111
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",59.0,1.0,2.0,20.0,0.0,0.0,40.0,0.0,2021.0,40.0,40.0
"educación y capacitación","presencial","quito","pichincha",61.0,1.0,9.0,11.0,0.0,0.0,268.0,0.0,2021.0,268.0,337.6666666666667
"educación y capacitación","presencial","quito","pichincha",64.0,1.0,7.0,19.0,0.0,0.0,267.0,0.0,2018.0,267.0,337.6666666666667
"procesos industriales","presencial","quito","pichincha",76.0,35.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,280.0,274.6666666666667
"procesos industriales","presencial","quito","pichincha",84.0,267.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,2136.0,3462.0
"procesos industriales","online","quito","pichincha",85.0,267.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,2136.0,3462.0
"procesos industriales","presencial","quito","pichincha",90.0,4.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,32.0,33.142857142857146
"procesos industriales","presencial","quito","pichincha",96.0,3.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,24.0,24.0
"procesos industriales","online","quito","pichincha",99.0,20.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,160.0,157.0
"procesos industriales","presencial","quito","pichincha",102.0,17.0,17.0,247.0,0.0,0.0,16.0,0.0,2019.0,272.0,272.0
"procesos industriales","presencial","quito","pichincha",104.0,24.0,17.0,247.0,0.0,0.0,16.0,0.0,2019.0,384.0,392.0
"procesos industriales","online","quito","pichincha",107.0,29.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,232.0,232.0
"procesos industriales","online","quito","pichincha",109.0,43.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,344.0,328.0
"procesos industriales","presencial","quito","pichincha",110.0,31.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,248.0,256.0
"procesos industriales","online","quito","pichincha",111.0,31.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,248.0,232.0
"procesos industriales","online","quito","pichincha",113.0,2.0,17.0,247.0,0.0,0.0,16.0,0.0,2019.0,32.0,32.0
"educación y capacitación","online","ibarra","imbabura",115.0,22.0,9.0,245.0,0.0,0.0,40.0,0.0,2021.0,880.0,890.0
"alimentación gastronomía y turismo","presencial","ibarra","imbabura",116.0,114.0,9.0,245.0,0.0,0.0,40.0,0.0,2021.0,4560.0,4910.0
"alimentación gastronomía y turismo","online","ibarra","imbabura",117.0,114.0,9.0,245.0,0.0,0.0,40.0,0.0,2021.0,4560.0,4910.0
"educación y capacitación","presencial","ibarra","imbabura",118.0,16.0,4.0,60.0,0.0,0.0,40.0,0.0,2018.0,640.0,748.1818181818181
"educación y capacitación","online","ibarra","imbabura",119.0,16.0,4.0,60.0,0.0,0.0,40.0,0.0,2018.0,640.0,748.1818181818181
"administración y legislación","presencial","quito","pichincha",125.0,3.0,1.0,3.0,0.0,0.0,40.0,0.0,2020.0,120.0,72.0
"administración y legislación","presencial","quito","pichincha",126.0,59.0,3.0,75.0,0.0,0.0,40.0,0.0,2022.0,2360.0,2976.0
"administración y legislación","presencial","quito","pichincha",127.0,10.0,3.0,75.0,0.0,0.0,40.0,0.0,2022.0,400.0,406.6666666666667
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",129.0,5.0,1.0,5.0,0.0,0.0,40.0,0.0,2021.0,200.0,200.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",130.0,213.0,13.0,1219.0,0.0,0.0,240.0,0.0,2021.0,51120.0,32262.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",132.0,33.0,13.0,1219.0,0.0,0.0,200.0,0.0,2021.0,6600.0,8160.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",134.0,44.0,13.0,1219.0,0.0,0.0,240.0,0.0,2021.0,10560.0,8160.0
"educación y capacitación","semipresencial","guayaquil","guayas",135.0,723.0,3.0,1307.0,0.0,0.0,150.0,0.0,2021.0,108450.0,82886.0
"artes y artesanía","presencial","quito","pichincha",138.0,4.0,3.0,24.0,0.0,0.0,40.0,0.0,2021.0,160.0,96.0
"educación y capacitación","online","santo domingo","santo domingo de los tsachilas",144.0,9.0,15.0,1119.0,0.0,0.0,40.0,0.0,2021.0,360.0,354.0
"procesos industriales","online","santo domingo","santo domingo de los tsachilas",148.0,202.0,15.0,1119.0,0.0,0.0,8.0,0.0,2021.0,1616.0,2135.0
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",149.0,3.0,15.0,1119.0,0.0,0.0,60.0,0.0,2021.0,180.0,170.0
"administración y legislación","presencial","santo domingo","santo domingo de los tsachilas",151.0,55.0,15.0,1119.0,0.0,0.0,8.0,0.0,2021.0,440.0,450.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",153.0,28.0,23.0,1218.0,16520.0,0.2333333333333333,40.0,590.0,2021.0,1120.0,1146.6666666666667
"tecnologías de la información y comunicación","presencial","quito","pichincha",158.0,16.0,23.0,1218.0,6188.8,0.1333333333333333,40.0,386.8,2021.0,640.0,748.1818181818181
"electricidad y electrónica","presencial","quito","pichincha",160.0,15.0,23.0,1218.0,0.0,0.125,40.0,0.0,2021.0,600.0,748.1818181818181
"educación y capacitación","presencial","quito","pichincha",162.0,95.0,23.0,1218.0,0.0,0.7916666666666667,40.0,0.0,2021.0,3800.0,4060.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",164.0,115.0,23.0,1218.0,83352.00000000001,0.9583333333333331,40.0,724.8000000000001,2021.0,4600.0,4910.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",168.0,1.0,23.0,1218.0,386.8,0.0083333333333333,40.0,386.8,2021.0,40.0,40.0
"educación y capacitación","presencial","quito","pichincha",170.0,4.0,23.0,1218.0,0.0,0.0333333333333333,120.0,0.0,2021.0,480.0,490.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",173.0,15.0,23.0,1218.0,1998.0,0.125,40.0,133.2,2021.0,600.0,748.1818181818181
"tecnologías de la información y comunicación","presencial","quito","pichincha",176.0,12.0,14.0,127.0,4641.6,0.1,40.0,386.8,2019.0,480.0,488.0
"educación y capacitación","presencial","quito","pichincha",177.0,4.0,14.0,127.0,0.0,0.0333333333333333,40.0,0.0,2019.0,160.0,125.5
"tecnologías de la información y comunicación","presencial","quito","pichincha",178.0,3.0,14.0,127.0,1160.4,0.025,40.0,386.8,2019.0,120.0,125.5
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",181.0,12.0,3.0,14.0,0.0,0.0,144.0,0.0,2021.0,1728.0,1325.0
"alimentación gastronomía y turismo","online","guayaquil","guayas",182.0,12.0,3.0,14.0,0.0,0.0,144.0,0.0,2021.0,1728.0,1325.0
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",183.0,14.0,3.0,21.0,0.0,0.0,144.0,0.0,2019.0,2016.0,1914.0
