"familia","sector","estado","canton","provincia","id_fact_oec","total_cursos","volumen_capacitados","dia","mes","anio","num_cer","prediction(num_cer)"
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",0.0,3.0,8.0,1.0,6.0,2022.0,6.0,5.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,1.0,1.0,2.0,8.0,2022.0,1.0,1.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",3.0,1.0,4.0,5.0,3.0,2022.0,4.0,4.0
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",6.0,3.0,12.0,6.0,2.0,2022.0,2.0,3.533333333333333
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",9.0,2.0,11.0,10.0,7.0,2022.0,7.0,5.761627906976744
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",12.0,2.0,7.0,12.0,3.0,2022.0,1.0,3.9054726368159205
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",13.0,1.0,1.0,12.0,4.0,2022.0,1.0,1.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",20.0,2.0,12.0,17.0,2.0,2022.0,11.0,5.761627906976744
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",23.0,2.0,8.0,21.0,3.0,2022.0,7.0,3.9054726368159205
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",24.0,2.0,8.0,21.0,3.0,2022.0,1.0,3.9054726368159205
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",32.0,2.0,7.0,31.0,5.0,2022.0,4.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",34.0,1.0,1.0,7.0,6.0,2022.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",35.0,1.0,1.0,11.0,7.0,2022.0,1.0,1.0
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",37.0,2.0,2.0,28.0,4.0,2022.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",39.0,1.0,1.0,6.0,5.0,2022.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",40.0,2.0,18.0,20.0,1.0,2022.0,3.0,5.9
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",43.0,3.0,15.0,1.0,6.0,2022.0,4.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",44.0,2.0,19.0,2.0,8.0,2022.0,2.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",45.0,3.0,26.0,4.0,4.0,2022.0,9.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",47.0,3.0,31.0,14.0,6.0,2022.0,7.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",50.0,2.0,5.0,19.0,5.0,2022.0,4.0,2.6473684210526316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",51.0,2.0,11.0,22.0,2.0,2022.0,2.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",55.0,3.0,5.0,31.0,5.0,2022.0,1.0,1.5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",57.0,3.0,16.0,7.0,6.0,2022.0,10.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",58.0,2.0,20.0,11.0,7.0,2022.0,1.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",59.0,4.0,30.0,28.0,4.0,2022.0,5.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",67.0,2.0,3.0,7.0,2.0,2020.0,1.0,1.4796380090497738
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",69.0,3.0,20.0,7.0,9.0,2021.0,18.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",70.0,3.0,27.0,8.0,12.0,2020.0,3.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",78.0,2.0,30.0,21.0,6.0,2022.0,28.0,17.742424242424242
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",82.0,3.0,5.0,26.0,7.0,2021.0,2.0,3.8333333333333335
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",84.0,2.0,7.0,27.0,7.0,2021.0,4.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",85.0,2.0,7.0,27.0,9.0,2021.0,5.0,3.9054726368159205
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",88.0,2.0,57.0,28.0,11.0,2019.0,38.0,32.473684210526315
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",90.0,4.0,40.0,8.0,3.0,2022.0,22.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",92.0,2.0,5.0,18.0,4.0,2022.0,4.0,2.6473684210526316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",93.0,3.0,30.0,20.0,7.0,2022.0,3.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",94.0,3.0,12.0,21.0,5.0,2021.0,3.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",95.0,4.0,62.0,3.0,2.0,2022.0,11.0,7.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",97.0,3.0,10.0,9.0,2.0,2022.0,5.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",101.0,3.0,37.0,15.0,3.0,2022.0,10.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",103.0,3.0,15.0,16.0,9.0,2021.0,5.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",106.0,3.0,6.0,25.0,8.0,2021.0,2.0,3.8333333333333335
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",107.0,2.0,34.0,30.0,3.0,2022.0,4.0,17.742424242424242
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",109.0,2.0,13.0,25.0,11.0,2019.0,1.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",111.0,2.0,14.0,30.0,8.0,2021.0,13.0,5.761627906976744
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",123.0,3.0,17.0,3.0,12.0,2019.0,9.0,5.828451882845188
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",125.0,3.0,51.0,9.0,12.0,2019.0,47.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",126.0,2.0,26.0,13.0,11.0,2019.0,3.0,24.5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",127.0,2.0,26.0,13.0,11.0,2019.0,23.0,12.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",128.0,2.0,8.0,20.0,12.0,2019.0,1.0,3.9054726368159205
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",131.0,2.0,20.0,22.0,10.0,2019.0,17.0,12.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",132.0,2.0,28.0,23.0,9.0,2019.0,5.0,17.742424242424242
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",135.0,2.0,4.0,24.0,12.0,2019.0,3.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",138.0,2.0,10.0,29.0,11.0,2019.0,3.0,5.761627906976744
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",139.0,2.0,10.0,29.0,11.0,2019.0,7.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",141.0,2.0,6.0,8.0,7.0,2021.0,1.0,2.6473684210526316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",142.0,3.0,10.0,25.0,11.0,2020.0,2.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",145.0,4.0,22.0,18.0,2.0,2022.0,2.0,5.828451882845188
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",148.0,3.0,4.0,1.0,10.0,2019.0,1.0,1.3373493975903614
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",156.0,4.0,48.0,7.0,9.0,2020.0,6.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",159.0,3.0,66.0,9.0,10.0,2019.0,60.0,39.333333333333336
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",160.0,3.0,66.0,9.0,10.0,2019.0,5.0,39.333333333333336
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",164.0,2.0,2.0,10.0,12.0,2020.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",168.0,4.0,16.0,13.0,11.0,2020.0,4.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",169.0,4.0,28.0,14.0,4.0,2022.0,3.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",170.0,4.0,11.0,14.0,7.0,2022.0,6.0,2.3189655172413794
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",173.0,3.0,55.0,16.0,7.0,2022.0,26.0,30.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",177.0,4.0,50.0,17.0,4.0,2022.0,1.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",181.0,4.0,44.0,19.0,4.0,2022.0,9.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",182.0,4.0,17.0,19.0,7.0,2022.0,2.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",186.0,4.0,59.0,20.0,6.0,2022.0,8.0,16.333333333333332
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",187.0,4.0,20.0,21.0,1.0,2022.0,3.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",188.0,4.0,38.0,21.0,2.0,2022.0,10.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",192.0,3.0,17.0,23.0,9.0,2021.0,8.0,5.828451882845188
