id_fact_oec_rs,id_razon_social,id_fecha,volumen_cer,volumen_horas,volumen_ganancias,volumen_porcentaje_asistencia,total_perfiles,fecha,dia,mes,anio,razon_social,estado,tipo_razon_social,fecha_resolucion,canton,provincia
0,102,26,1.0,6.0,250.0,0.0,1,01-04-2021,1,4,2021,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
1,102,141,1.0,6.0,250.0,0.0,1,02-12-2020,2,12,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
2,102,348,13.0,78.0,3250.0,0.0,2,05-10-2020,5,10,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
3,102,479,13.0,78.0,3250.0,0.0,1,07-09-2020,7,9,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
4,102,499,9.0,54.0,2250.0,0.0,1,07-12-2020,7,12,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
5,102,517,4.0,24.0,1000.0,0.0,1,08-03-2022,8,3,2022,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
6,102,607,1.0,6.0,250.0,0.0,1,09-07-2021,9,7,2021,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
7,102,637,1.0,6.0,250.0,0.0,1,09-12-2020,9,12,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
8,102,925,5.0,30.0,1250.0,0.0,1,13-12-2021,13,12,2021,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
9,102,935,11.0,66.0,2750.0,0.0,2,14-02-2022,14,2,2022,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
10,102,970,1.0,6.0,250.0,0.0,1,14-09-2020,14,9,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
11,102,971,3.0,18.0,750.0,0.0,1,14-09-2021,14,9,2021,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
12,102,1128,1.0,6.0,250.0,0.0,1,16-12-2021,16,12,2021,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
13,102,1237,5.0,30.0,1250.0,0.0,2,18-07-2022,18,7,2022,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
14,102,1307,1.0,6.0,250.0,0.0,1,19-07-2022,19,7,2022,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
15,102,1437,7.0,42.0,1750.0,0.0,1,21-04-2022,21,4,2022,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
16,102,1454,1.0,6.0,250.0,0.0,1,21-07-2022,21,7,2022,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
17,102,1622,2.0,12.0,500.0,0.0,1,23-11-2020,23,11,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
18,102,1824,1.0,6.0,250.0,0.0,1,26-10-2020,26,10,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
