id_fact_oec_rs,id_razon_social,id_fecha,volumen_cer,volumen_horas,volumen_ganancias,volumen_porcentaje_asistencia,total_perfiles,fecha,dia,mes,anio,razon_social,estado,tipo_razon_social,fecha_resolucion,canton,provincia
2107,1220,141,12.0,72.0,3000.0,0.5309734513274336,1,02-12-2020,2,12,2020,instituto tecnologico superior jose chiriboga grijalva,habilitado,organismo evaluador de la conformidad,24-05-2021,ibarra,imbabura
2126,1220,280,6.0,36.0,1500.0,0.2654867256637168,2,04-11-2020,4,11,2020,instituto tecnologico superior jose chiriboga grijalva,habilitado,organismo evaluador de la conformidad,24-05-2021,ibarra,imbabura
2167,1220,726,24.0,144.0,6000.0,1.0619469026548671,2,11-03-2021,11,3,2021,instituto tecnologico superior jose chiriboga grijalva,habilitado,organismo evaluador de la conformidad,24-05-2021,ibarra,imbabura
2244,1220,1760,3.0,18.0,750.0,0.1327433628318584,2,25-11-2021,25,11,2021,instituto tecnologico superior jose chiriboga grijalva,habilitado,organismo evaluador de la conformidad,24-05-2021,ibarra,imbabura
2267,1220,2032,6.0,36.0,1500.0,0.2654867256637168,1,29-10-2020,29,10,2020,instituto tecnologico superior jose chiriboga grijalva,habilitado,organismo evaluador de la conformidad,24-05-2021,ibarra,imbabura
2116,1220,232,1.0,6.0,250.0,0.0442477876106194,1,04-03-2021,4,3,2021,instituto tecnologico superior jose chiriboga grijalva,habilitado,organismo evaluador de la conformidad,24-05-2021,ibarra,imbabura
2128,1220,300,1.0,6.0,250.0,0.0442477876106194,1,05-02-2020,5,2,2020,instituto tecnologico superior jose chiriboga grijalva,habilitado,organismo evaluador de la conformidad,24-05-2021,ibarra,imbabura
2132,1220,334,2.0,12.0,500.0,0.0884955752212389,1,05-08-2019,5,8,2019,instituto tecnologico superior jose chiriboga grijalva,habilitado,organismo evaluador de la conformidad,24-05-2021,ibarra,imbabura
2142,1220,431,3.0,18.0,750.0,0.1327433628318584,2,06-12-2021,6,12,2021,instituto tecnologico superior jose chiriboga grijalva,habilitado,organismo evaluador de la conformidad,24-05-2021,ibarra,imbabura
2148,1220,516,1.0,6.0,250.0,0.0442477876106194,1,08-03-2021,8,3,2021,instituto tecnologico superior jose chiriboga grijalva,habilitado,organismo evaluador de la conformidad,24-05-2021,ibarra,imbabura
2171,1220,762,23.0,138.0,5750.0,1.0176991150442478,1,11-09-2020,11,9,2020,instituto tecnologico superior jose chiriboga grijalva,habilitado,organismo evaluador de la conformidad,24-05-2021,ibarra,imbabura
2175,1220,800,33.0,198.0,8250.0,1.4601769911504423,1,12-03-2021,12,3,2021,instituto tecnologico superior jose chiriboga grijalva,habilitado,organismo evaluador de la conformidad,24-05-2021,ibarra,imbabura
2176,1220,823,1.0,6.0,250.0,0.0442477876106194,1,12-07-2021,12,7,2021,instituto tecnologico superior jose chiriboga grijalva,habilitado,organismo evaluador de la conformidad,24-05-2021,ibarra,imbabura
