id_fact_oc_cp,id_razon_social,id_curso_perfil,id_fecha,tipo,area_familia,especialidad_sector,curso_perfil,modalidad,carga_horaria,costo,fecha,dia,mes,anio,razon_social,estado,tipo_razon_social,fecha_resolucion,canton,provincia
0,1,4015,6,curso,construcción e infraestructura,tecnología de la construcción,fiscalización y administración de contratos de construcción,presencial,40,550.0,31-12-2021,31,12,2021,abalco haro cristian patricio,calificado,operador de capacitación,19-10-2021,quito,pichincha
1,1,4016,6,curso,construcción e infraestructura,tecnología de la construcción,fiscalización y administración de contratos de construcción,presencial,40,528.8000000000001,31-12-2021,31,12,2021,abalco haro cristian patricio,calificado,operador de capacitación,19-10-2021,quito,pichincha
2,1,4021,6,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de docentes para educación virtual,presencial,150,537.0,31-12-2021,31,12,2021,abalco haro cristian patricio,calificado,operador de capacitación,19-10-2021,quito,pichincha
3,1,4022,6,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de docentes para educación virtual,presencial,150,1031.3809523809518,31-12-2021,31,12,2021,abalco haro cristian patricio,calificado,operador de capacitación,19-10-2021,quito,pichincha
2177,1,4022,2142,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de docentes para educación virtual,presencial,150,1031.3809523809518,31-01-2023,31,1,2023,abalco haro cristian patricio,calificado,operador de capacitación,19-10-2021,quito,pichincha
4,4,3261,6,curso,servicios socioculturales y a la comunidad,salud y medicina,limpieza y desinfección hospitalaria,presencial,60,300.0,31-12-2021,31,12,2021,abkrea ingenieria cia. ltda.,calificado,operador de capacitación,28-03-2021,ambato,tungurahua
5,12,4617,6,curso,servicios socioculturales y a la comunidad,servicios de seguridad física guardianía,análisis y gestión de riesgos,presencial,30,290.1,31-12-2021,31,12,2021,academia sudamericana de formacion en seguridad integral asfis cia.ltda.,calificado,operador de capacitación,6/10/2021,guayaquil,guayas
6,12,4616,6,curso,servicios socioculturales y a la comunidad,servicios de seguridad física guardianía,supervisión efectiva,presencial,40,550.0,31-12-2021,31,12,2021,academia sudamericana de formacion en seguridad integral asfis cia.ltda.,calificado,operador de capacitación,6/10/2021,guayaquil,guayas
7,12,4619,6,curso,servicios socioculturales y a la comunidad,servicios de seguridad física guardianía,supervisión efectiva,online,40,40.0,31-12-2021,31,12,2021,academia sudamericana de formacion en seguridad integral asfis cia.ltda.,calificado,operador de capacitación,6/10/2021,guayaquil,guayas
1993,12,4617,2142,curso,servicios socioculturales y a la comunidad,servicios de seguridad física guardianía,análisis y gestión de riesgos,presencial,30,290.1,31-01-2023,31,1,2023,academia sudamericana de formacion en seguridad integral asfis cia.ltda.,calificado,operador de capacitación,6/10/2021,guayaquil,guayas
8,15,1720,6,curso,educación y capacitación,capacitación,seguridad y rescate en infraestructura de cables i,presencial,60,412.5523809523807,31-12-2021,31,12,2021,acceso vertical work & rescue training compañia limitada,calificado,operador de capacitación,30-03-2021,quito,pichincha
9,15,1721,6,curso,educación y capacitación,capacitación,seguridad y rescate en infraestructura de cables ii,presencial,30,206.27619047619035,31-12-2021,31,12,2021,acceso vertical work & rescue training compañia limitada,calificado,operador de capacitación,30-03-2021,quito,pichincha
813,15,1721,3,curso,educación y capacitación,capacitación,seguridad y rescate en infraestructura de cables ii,presencial,30,206.27619047619035,31-12-2018,31,12,2018,acceso vertical work & rescue training compañia limitada,calificado,operador de capacitación,30-03-2021,quito,pichincha
10,50,735,6,curso,procesos industriales,textil,diseño de modas,presencial,312,4124.64,31-12-2021,31,12,2021,alban vazquez s.c.c.,calificado,operador de capacitación,17-12-2021,quito,pichincha
11,50,742,6,curso,procesos industriales,textil,diseño de modas,presencial,400,5288.0,31-12-2021,31,12,2021,alban vazquez s.c.c.,calificado,operador de capacitación,17-12-2021,quito,pichincha
12,50,732,6,curso,educación y capacitación,capacitación,mecánica dental,presencial,360,2475.3142857142843,31-12-2021,31,12,2021,alban vazquez s.c.c.,calificado,operador de capacitación,17-12-2021,quito,pichincha
13,50,736,6,curso,educación y capacitación,capacitación,mecánica dental,presencial,400,2750.349206349205,31-12-2021,31,12,2021,alban vazquez s.c.c.,calificado,operador de capacitación,17-12-2021,quito,pichincha
2131,50,735,2142,curso,procesos industriales,textil,diseño de modas,presencial,312,4124.64,31-01-2023,31,1,2023,alban vazquez s.c.c.,calificado,operador de capacitación,17-12-2021,quito,pichincha
2043,50,735,2143,curso,procesos industriales,textil,diseño de modas,presencial,312,4124.64,28-02-2023,28,2,2023,alban vazquez s.c.c.,calificado,operador de capacitación,17-12-2021,quito,pichincha
14,66,4113,6,curso,comunicación y artes gráficas,métodos y técnicas de promoción y difusión,community management,presencial,30,290.1,31-12-2021,31,12,2021,altitudevm marketing digital cia.ltda.,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
15,66,4117,6,curso,comunicación y artes gráficas,métodos y técnicas de promoción y difusión,community management,online,30,262.5,31-12-2021,31,12,2021,altitudevm marketing digital cia.ltda.,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
16,84,4106,6,curso,artes y artesanía,cosmetología,depilación mecánica,presencial,30,528.6,31-12-2021,31,12,2021,anaya centro de formacion style & beauty care,calificado,operador de capacitación,23-05-2021,quito,pichincha
