id_fact_oec_rs,id_razon_social,id_fecha,fecha,dia,mes,anio,razon_social,estado,tipo_razon_social,fecha_resolucion,canton,provincia
0,102,26,01-04-2021,1,4,2021,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
1,102,141,02-12-2020,2,12,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
2,102,348,05-10-2020,5,10,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
3,102,479,07-09-2020,7,9,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
4,102,499,07-12-2020,7,12,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
5,102,517,08-03-2022,8,3,2022,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
6,102,607,09-07-2021,9,7,2021,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
7,102,637,09-12-2020,9,12,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
8,102,925,13-12-2021,13,12,2021,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
9,102,935,14-02-2022,14,2,2022,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
10,102,970,14-09-2020,14,9,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
11,102,971,14-09-2021,14,9,2021,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
12,102,1128,16-12-2021,16,12,2021,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
13,102,1237,18-07-2022,18,7,2022,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
14,102,1307,19-07-2022,19,7,2022,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
15,102,1437,21-04-2022,21,4,2022,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
16,102,1454,21-07-2022,21,7,2022,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
17,102,1622,23-11-2020,23,11,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
18,102,1824,26-10-2020,26,10,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
19,102,1902,27-11-2020,27,11,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
20,102,1918,28-02-2020,28,2,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
21,102,1960,28-09-2020,28,9,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
22,102,2037,29-11-2019,29,11,2019,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
12740,102,2143,28-02-2023,28,2,2023,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
1653,1192,26,01-04-2021,1,4,2021,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1679,1192,824,12-07-2022,12,7,2022,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1705,1192,1746,25-09-2019,25,9,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1714,1192,2027,29-09-2021,29,9,2021,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1715,1192,2083,30-08-2021,30,8,2021,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1669,1192,564,08-12-2016,8,12,2016,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1671,1192,633,09-12-2016,9,12,2016,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1694,1192,1312,19-08-2019,19,8,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1660,1192,358,05-12-2018,5,12,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1663,1192,433,07-01-2019,7,1,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1678,1192,815,12-06-2019,12,6,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1680,1192,926,14-01-2019,14,1,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1685,1192,1031,15-08-2019,15,8,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1687,1192,1126,16-12-2019,16,12,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1689,1192,1195,17-12-2019,17,12,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1695,1192,1320,19-09-2019,19,9,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1654,1192,86,02-03-2017,2,3,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1657,1192,229,04-03-2017,4,3,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1683,1192,968,14-09-2018,14,9,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1682,1192,963,14-08-2019,14,8,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1675,1192,728,11-04-2017,11,4,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1712,1192,1922,28-03-2018,28,3,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1655,1192,156,03-03-2017,3,3,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1666,1192,527,08-06-2017,8,6,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1672,1192,653,10-03-2017,10,3,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1692,1192,1233,18-07-2018,18,7,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1713,1192,1938,28-06-2018,28,6,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1684,1192,983,14-12-2016,14,12,2016,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1656,1192,199,03-10-2018,3,10,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1688,1192,1194,17-12-2018,17,12,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1696,1192,1360,20-04-2018,20,4,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1698,1192,1429,21-03-2019,21,3,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1702,1192,1631,24-01-2019,24,1,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
