"area_familia","especialidad_sector","modalidad","fecha","razon_social","fecha_resolucion","canton","provincia","id_fact_oc_cp","id_razon_social","id_curso_perfil","id_fecha","dia","mes","tipo","curso_perfil","estado","tipo_razon_social","num_cap_cer","total_horas","total_ganancias","carga_horaria","costo","anio","porcentaje_asistencia","prediction(porcentaje_asistencia)"
"construcción e infraestructura","tecnología de la construcción","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",0.0,1.0,4015.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",34.0,1360.0,18700.0,40.0,550.0,2021.0,0.0,0.5952380952380952
"construcción e infraestructura","tecnología de la construcción","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",1.0,1.0,4016.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",34.0,1360.0,17979.2,40.0,528.8000000000001,2021.0,0.0,0.5952380952380952
"educación y capacitación","formación de instructores facilitadores monitores maestros guías formadores","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",2.0,1.0,4021.0,6.0,31.0,12.0,"curso","formación de docentes para educación virtual","calificado","operador de capacitación",1.0,150.0,537.0,150.0,537.0,2021.0,0.0,0.9702651515151516
"educación y capacitación","formación de instructores facilitadores monitores maestros guías formadores","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",3.0,1.0,4022.0,6.0,31.0,12.0,"curso","formación de docentes para educación virtual","calificado","operador de capacitación",1.0,150.0,1031.3809523809518,150.0,1031.3809523809518,2021.0,0.0,0.9702651515151516
"servicios socioculturales y a la comunidad","salud y medicina","presencial","31-12-2021","MISSING","MISSING","MISSING","MISSING",4.0,4.0,3261.0,6.0,31.0,12.0,"curso","limpieza y desinfección hospitalaria","calificado","operador de capacitación",25.0,1500.0,7500.0,60.0,300.0,2021.0,0.0,4.074224386724387
"servicios socioculturales y a la comunidad","MISSING","presencial","31-12-2021","MISSING","MISSING","guayaquil","guayas",5.0,12.0,4617.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",5.0,150.0,1450.5,30.0,290.1,2021.0,0.0,6.944444444444445
"servicios socioculturales y a la comunidad","MISSING","presencial","31-12-2021","MISSING","MISSING","guayaquil","guayas",6.0,12.0,4616.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",244.0,9760.0,134200.0,40.0,550.0,2021.0,0.0,102.7372009016672
"servicios socioculturales y a la comunidad","MISSING","online","31-12-2021","MISSING","MISSING","guayaquil","guayas",7.0,12.0,4619.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",244.0,9760.0,9760.0,40.0,40.0,2021.0,0.0,102.7372009016672
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",8.0,15.0,1720.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",23.0,1380.0,9488.704761904755,60.0,412.5523809523807,2021.0,0.0,0.1262626262626262
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",9.0,15.0,1721.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",9.0,270.0,1856.485714285713,30.0,206.27619047619035,2021.0,0.0,0.1262626262626262
"educación y capacitación","capacitación","presencial","31-12-2018","MISSING","MISSING","quito","pichincha",813.0,15.0,1721.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",6.0,180.0,1237.6571428571422,30.0,206.27619047619035,2018.0,0.0,0.1262626262626262
"procesos industriales","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",10.0,50.0,735.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",7.0,2184.0,28872.480000000003,312.0,4124.64,2021.0,0.0,6.944444444444445
"procesos industriales","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",11.0,50.0,742.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",7.0,2800.0,37016.0,400.0,5288.0,2021.0,0.0,6.944444444444445
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",12.0,50.0,732.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",35.0,12600.0,86635.99999999996,360.0,2475.3142857142843,2021.0,0.0,27.97619047619048
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",13.0,50.0,736.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",35.0,14000.0,96262.22222222218,400.0,2750.349206349205,2021.0,0.0,27.97619047619048
"comunicación y artes gráficas","métodos y técnicas de promoción y difusión","presencial","31-12-2021","MISSING","MISSING","guayaquil","guayas",14.0,66.0,4113.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",573.0,17190.0,166227.30000000002,30.0,290.1,2021.0,0.0,0.9100642398286938
"comunicación y artes gráficas","métodos y técnicas de promoción y difusión","online","31-12-2021","MISSING","MISSING","guayaquil","guayas",15.0,66.0,4117.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",573.0,17190.0,150412.5,30.0,262.5,2021.0,0.0,0.9100642398286938
"MISSING","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",16.0,84.0,4106.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",1.0,30.0,528.6,30.0,528.6,2021.0,0.0,6.944444444444445
"alimentación gastronomía y turismo","MISSING","presencial","31-12-2021","MISSING","MISSING","MISSING","MISSING",17.0,100.0,2589.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",4.0,500.0,11890.0,125.0,2972.5,2021.0,0.0,6.944444444444445
"alimentación gastronomía y turismo","MISSING","presencial","31-12-2021","MISSING","MISSING","MISSING","MISSING",18.0,100.0,2588.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",26.0,5200.0,572.0,200.0,22.0,2021.0,0.0,6.944444444444445
