"canton","provincia","id_fact_oc_rs","id_razon_social","id_fecha","volumen_porcentaje_asistencia","dia","volumen_ganancias","fecha","razon_social","estado","tipo_razon_social","fecha_resolucion","volumen_cap_cer","volumen_horas","total_cursos","mes","anio","prediction(volumen_ganancias)"
"quito","pichincha",0.0,1.0,6.0,0.0,31.0,38247.58095238095,"31-12-2021","abalco haro cristian patricio","calificado","operador de capacitación","19-10-2021",70.0,3020.0,4.0,12.0,2021.0,38247.58095238095
"quito","pichincha",0.0,1.0,6.0,0.0,1.0,38247.58095238095,"01-02-2019","abalco haro cristian patricio","calificado","operador de capacitación","19-10-2021",70.0,3020.0,4.0,2.0,2019.0,38247.58095238095
"pastaza","pastaza",2.0,100.0,6.0,0.0,31.0,95929.8,"31-12-2021","ankukuna","calificado","operador de capacitación","13-12-2021",57.0,9210.0,3.0,12.0,2021.0,95929.8
"pastaza","pastaza",2.0,100.0,6.0,0.0,1.0,95929.8,"01-02-2019","ankukuna","calificado","operador de capacitación","13-12-2021",57.0,9210.0,3.0,2.0,2019.0,95929.8
"pastaza","pastaza",1.0,100.0,3.0,0.0,31.0,18275.0,"31-12-2018","ankukuna","calificado","operador de capacitación","13-12-2021",26.0,4750.0,2.0,12.0,2018.0,18275.0
"pastaza","pastaza",1.0,100.0,3.0,0.0,1.0,18275.0,"01-01-2022","ankukuna","calificado","operador de capacitación","13-12-2021",26.0,4750.0,2.0,1.0,2022.0,18275.0
"quito","pichincha",3.0,1015.0,6.0,0.0,31.0,4950.628571428569,"31-12-2021","hidalgo santander edgar arturo","calificado","operador de capacitación","20-07-2021",3.0,720.0,1.0,12.0,2021.0,4950.628571428569
"quito","pichincha",3.0,1015.0,6.0,0.0,1.0,4950.628571428569,"01-02-2019","hidalgo santander edgar arturo","calificado","operador de capacitación","20-07-2021",3.0,720.0,1.0,2.0,2019.0,4950.628571428569
"guayaquil","guayas",5.0,1049.0,6.0,0.0,31.0,1250.0,"31-12-2021","instituto asedu ecuador aseduecuador s.a.","calificado","operador de capacitación","30-03-2021",5.0,30.0,1.0,12.0,2021.0,1250.0
"guayaquil","guayas",5.0,1049.0,6.0,0.0,1.0,1250.0,"01-02-2019","instituto asedu ecuador aseduecuador s.a.","calificado","operador de capacitación","30-03-2021",5.0,30.0,1.0,2.0,2019.0,1250.0
