"fecha","canton","provincia","total_cursos_perfiles","dia","mes","id_fact_oc_rs","volumen_porcentaje_asistencia","razon_social","estado","tipo_razon_social","fecha_resolucion","id_razon_social","id_fecha","volumen_cap_cer","volumen_horas","volumen_ganancias","anio","total_cursos","prediction(volumen_porcentaje_asistencia)"
"31-12-2021","quito","pichincha",4.0,31.0,12.0,0.0,0.0,"abalco haro cristian patricio","calificado","operador de capacitación","19-10-2021",1.0,6.0,70.0,3020.0,38247.58095238095,2021.0,7.829411764705882,0.196665509595469
"31-12-2021","pastaza","pastaza",3.0,31.0,12.0,2.0,0.0,"ankukuna","calificado","operador de capacitación","13-12-2021",100.0,6.0,57.0,9210.0,95929.8,2021.0,7.829411764705882,0.196665509595469
"31-12-2018","pastaza","pastaza",2.0,31.0,12.0,1.0,0.0,"ankukuna","calificado","operador de capacitación","13-12-2021",100.0,3.0,26.0,4750.0,18275.0,2018.0,7.829411764705882,0.196665509595469
"31-12-2021","quito","pichincha",1.0,31.0,12.0,3.0,0.0,"hidalgo santander edgar arturo","calificado","operador de capacitación","20-07-2021",1015.0,6.0,3.0,720.0,4950.628571428569,2021.0,7.829411764705882,0.196665509595469
"31-12-2021","guayaquil","guayas",1.0,31.0,12.0,5.0,0.0,"instituto asedu ecuador aseduecuador s.a.","calificado","operador de capacitación","30-03-2021",1049.0,6.0,5.0,30.0,1250.0,2021.0,7.829411764705882,0.196665509595469
"31-12-2021","quito","pichincha",12.0,31.0,12.0,11.0,0.0,"instituto superior tecnológico libertad","calificado","operador de capacitación","19-10-2021",1147.0,6.0,523.0,15136.0,133722.36444444442,2021.0,7.829411764705882,0.196665509595469
"31-12-2021","cayambe","pichincha",6.0,31.0,12.0,14.0,0.0,"instituto superior tecnológico nelsón torres","calificado","operador de capacitación","15-12-2021",1163.0,6.0,242.0,9680.0,108376.8,2021.0,7.829411764705882,0.196665509595469
"31-12-2021","guayaquil","guayas",3.0,31.0,12.0,15.0,0.0,"academia sudamericana de formacion en seguridad integral asfis cia.ltda.","calificado","operador de capacitación","6/10/2021",12.0,6.0,493.0,19670.0,145410.5,2021.0,7.829411764705882,0.196665509595469
"31-12-2021","guayaquil","guayas",2.0,31.0,12.0,18.0,0.268445456764012,"instituto tecnologico superior almirante illingworth","calificado","operador de capacitación","7/10/2021",1208.0,6.0,33.0,990.0,9217.5,2021.0,7.829411764705882,0.196665509595469
"31-12-2018","guayaquil","guayas",4.0,31.0,12.0,16.0,0.8704140567802815,"instituto tecnologico superior almirante illingworth","calificado","operador de capacitación","7/10/2021",1208.0,3.0,107.0,3210.0,30952.2,2018.0,7.829411764705882,0.196665509595469
"31-12-2019","guayaquil","guayas",6.0,31.0,12.0,17.0,1.1632636459773855,"instituto tecnologico superior almirante illingworth","calificado","operador de capacitación","7/10/2021",1208.0,4.0,143.0,4290.0,42772.5,2019.0,7.829411764705882,0.196665509595469
"31-12-2021","cuenca","azuay",9.0,31.0,12.0,22.0,0.0,"arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",121.0,6.0,216.0,6252.0,10635.48,2021.0,7.829411764705882,0.196665509595469
"31-12-2018","cuenca","azuay",5.0,31.0,12.0,20.0,0.0,"arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",121.0,3.0,153.0,4934.0,8422.02,2018.0,7.829411764705882,0.196665509595469
"31-12-2019","cuenca","azuay",5.0,31.0,12.0,21.0,0.0,"arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",121.0,4.0,125.0,3934.0,6714.900000000001,2019.0,7.829411764705882,0.196665509595469
"31-12-2021","quito","pichincha",4.0,31.0,12.0,26.0,0.0,"jacome davalos juan manuel","calificado","operador de capacitación","25-11-2021",1242.0,6.0,6.0,92.0,1678.952380952381,2021.0,7.829411764705882,0.196665509595469
"31-12-2021","quito","pichincha",2.0,31.0,12.0,27.0,0.0,"jacome sandoya vinicio alejandro","calificado","operador de capacitación","30-12-2021",1243.0,6.0,106.0,848.0,5830.740317460314,2021.0,7.829411764705882,0.196665509595469
"31-12-2021","guayaquil","guayas",3.0,31.0,12.0,32.0,0.0,"junta provincial de la cruz roja del guayas","calificado","operador de capacitación","28-12-2021",1280.0,6.0,360.0,6480.0,87602.4,2021.0,7.829411764705882,0.196665509595469
"31-12-2021","quito","pichincha",23.0,31.0,12.0,35.0,23.929835854522047,"klavempresarial compañia anonima","calificado","operador de capacitación","2/9/2021",1286.0,6.0,1487.0,29436.0,484469.6952380952,2021.0,7.829411764705882,0.196665509595469
"31-12-2018","quito","pichincha",4.0,31.0,12.0,33.0,2.6392018023817188,"klavempresarial compañia anonima","calificado","operador de capacitación","2/9/2021",1286.0,3.0,164.0,6336.0,53619.36000000001,2018.0,7.829411764705882,0.196665509595469
"31-12-2019","quito","pichincha",7.0,31.0,12.0,34.0,5.2301255230125525,"klavempresarial compañia anonima","calificado","operador de capacitación","2/9/2021",1286.0,4.0,325.0,9994.0,118099.9892063492,2019.0,7.829411764705882,0.196665509595469
"31-12-2021","rumiñahui","pichincha",8.0,31.0,12.0,38.0,0.0,"ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",129.0,6.0,438.0,13566.0,328366.56,2021.0,7.829411764705882,0.196665509595469
"31-12-2018","rumiñahui","pichincha",1.0,31.0,12.0,36.0,0.0,"ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",129.0,3.0,131.0,5240.0,99664.8,2018.0,7.829411764705882,0.196665509595469
"31-12-2019","rumiñahui","pichincha",1.0,31.0,12.0,37.0,0.0,"ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",129.0,4.0,4.0,40.0,2374.8,2019.0,7.829411764705882,0.196665509595469
"31-12-2021","quito","pichincha",1.0,31.0,12.0,40.0,0.0,"lara cornejo nathaly alexandra","calificado","operador de capacitación","13-09-2021",1296.0,6.0,16.0,128.0,880.1117460317455,2021.0,7.829411764705882,0.196665509595469
"31-12-2019","quito","pichincha",1.0,31.0,12.0,39.0,0.0,"lara cornejo nathaly alexandra","calificado","operador de capacitación","13-09-2021",1296.0,4.0,44.0,352.0,2420.3073015873,2019.0,7.829411764705882,0.196665509595469
"31-12-2021","ambato","tungurahua",4.0,31.0,12.0,42.0,0.0,"leon leon gerardo","calificado","operador de capacitación","12/10/2021",1323.0,6.0,144.0,10028.0,37397.92,2021.0,7.829411764705882,0.196665509595469
"31-12-2021","quito","pichincha",10.0,31.0,12.0,43.0,0.0,"liderazgo capacitacion y consultoria davsoc compañia limitada","calificado","operador de capacitación","16-04-2021",1330.0,6.0,216.0,5608.0,51922.49523809522,2021.0,7.829411764705882,0.196665509595469
"31-12-2021","loja","loja",3.0,31.0,12.0,47.0,0.0,"luzuriaga leon leonardo miguel","calificado","operador de capacitación","14-12-2021",1372.0,6.0,80.0,480.0,20000.0,2021.0,7.829411764705882,0.196665509595469
"31-12-2021","quito","pichincha",1.0,31.0,12.0,51.0,0.0,"macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",1375.0,6.0,111.0,6660.0,45793.31428571426,2021.0,7.829411764705882,0.196665509595469
"31-12-2018","quito","pichincha",1.0,31.0,12.0,48.0,0.0,"macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",1375.0,3.0,69.0,4140.0,28466.11428571427,2018.0,7.829411764705882,0.196665509595469
"31-12-2022","quito","pichincha",1.0,31.0,12.0,52.0,0.0,"macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",1375.0,7.0,2.0,120.0,825.1047619047614,2022.0,7.829411764705882,0.196665509595469
"31-12-2019","quito","pichincha",1.0,31.0,12.0,49.0,0.0,"macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",1375.0,4.0,4.0,240.0,1650.2095238095228,2019.0,7.829411764705882,0.196665509595469
"31-12-2020","quito","pichincha",1.0,31.0,12.0,50.0,0.0,"macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",1375.0,5.0,1.0,60.0,412.5523809523807,2020.0,7.829411764705882,0.196665509595469
"31-12-2021","quito","pichincha",6.0,31.0,12.0,54.0,0.0,"marmol uquillas jenny alexandra","calificado","operador de capacitación","27-09-2021",1399.0,6.0,79.0,8840.0,49831.26349206348,2021.0,7.829411764705882,0.196665509595469
"31-12-2021","quito","pichincha",14.0,31.0,12.0,56.0,0.0,"mateus francisco javier","calificado","operador de capacitación","22-05-2021",1412.0,6.0,2645.0,37890.0,696552.72,2021.0,7.829411764705882,0.196665509595469
"31-12-2022","quito","pichincha",1.0,31.0,12.0,57.0,0.0,"mateus francisco javier","calificado","operador de capacitación","22-05-2021",1412.0,7.0,1.0,12.0,528.72,2022.0,7.829411764705882,0.196665509595469
"31-12-2019","quito","pichincha",8.0,31.0,12.0,55.0,0.0,"mateus francisco javier","calificado","operador de capacitación","22-05-2021",1412.0,4.0,433.0,5886.0,104621.4,2019.0,7.829411764705882,0.196665509595469
"31-12-2021","milagro","guayas",10.0,31.0,12.0,60.0,0.0,"mena argudo freddy roberto","calificado","operador de capacitación","29-09-2021",1427.0,6.0,430.0,71280.0,106077.6,2021.0,7.829411764705882,0.196665509595469
"31-12-2019","milagro","guayas",4.0,31.0,12.0,59.0,0.0,"mena argudo freddy roberto","calificado","operador de capacitación","29-09-2021",1427.0,4.0,88.0,16800.0,18021.6,2019.0,7.829411764705882,0.196665509595469
"31-12-2021","quito","pichincha",3.0,31.0,12.0,66.0,0.0,"asociacion fe y alegria ecuador","calificado","operador de capacitación","27-09-2021",147.0,6.0,38.0,5300.0,70712.5,2021.0,7.829411764705882,0.196665509595469
"31-12-2019","quito","pichincha",1.0,31.0,12.0,65.0,0.0,"asociacion fe y alegria ecuador","calificado","operador de capacitación","27-09-2021",147.0,4.0,10.0,1500.0,2415.0000000000005,2019.0,7.829411764705882,0.196665509595469
"31-12-2021","quito","pichincha",2.0,31.0,12.0,69.0,0.0,"acceso vertical work & rescue training compañia limitada","calificado","operador de capacitación","30-03-2021",15.0,6.0,32.0,1650.0,11345.190476190468,2021.0,7.829411764705882,0.196665509595469
"31-12-2018","quito","pichincha",1.0,31.0,12.0,68.0,0.0,"acceso vertical work & rescue training compañia limitada","calificado","operador de capacitación","30-03-2021",15.0,3.0,6.0,180.0,1237.6571428571422,2018.0,7.829411764705882,0.196665509595469
"31-12-2021","guayaquil","guayas",18.0,31.0,12.0,72.0,0.0,"moran zambrano jose fernando","calificado","operador de capacitación","26-02-2021",1508.0,6.0,1208.0,35656.0,295753.24,2021.0,7.829411764705882,0.196665509595469
"31-12-2018","guayaquil","guayas",2.0,31.0,12.0,70.0,0.0,"moran zambrano jose fernando","calificado","operador de capacitación","26-02-2021",1508.0,3.0,72.0,2304.0,34456.32,2018.0,7.829411764705882,0.196665509595469
"31-12-2019","guayaquil","guayas",14.0,31.0,12.0,71.0,0.0,"moran zambrano jose fernando","calificado","operador de capacitación","26-02-2021",1508.0,4.0,528.0,16212.0,222506.94,2019.0,7.829411764705882,0.196665509595469
"31-12-2021","quito","pichincha",1.0,31.0,12.0,73.0,0.0,"morejon arce ana belen","calificado","operador de capacitación","16-08-2021",1519.0,6.0,3.0,288.0,1980.2514285714276,2021.0,7.829411764705882,0.196665509595469
