"estado","canton","provincia","id_fact_oec_rs","id_razon_social","id_fecha","volumen_porcentaje_asistencia","volumen_horas","fecha","razon_social","tipo_razon_social","fecha_resolucion","volumen_cer","volumen_ganancias","total_perfiles","dia","mes","anio","prediction(volumen_horas)"
"desconocido","guayaquil","guayas",0.0,102.0,18.0,0.0,6.0,"01-04-2021","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",1.0,250.0,1.0,1.0,4.0,2021.0,6.0
"desconocido","guayaquil","guayas",1.0,102.0,133.0,0.0,6.0,"02-12-2020","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",1.0,250.0,1.0,2.0,12.0,2020.0,6.0
"desconocido","guayaquil","guayas",2.0,102.0,340.0,0.0,78.0,"05-10-2020","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",13.0,3250.0,2.0,5.0,10.0,2020.0,74.0
"desconocido","guayaquil","guayas",3.0,102.0,471.0,0.0,78.0,"07-09-2020","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",13.0,3250.0,1.0,7.0,9.0,2020.0,74.0
"desconocido","guayaquil","guayas",4.0,102.0,491.0,0.0,54.0,"07-12-2020","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",9.0,2250.0,1.0,7.0,12.0,2020.0,54.0
"desconocido","guayaquil","guayas",5.0,102.0,509.0,0.0,24.0,"08-03-2022","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",4.0,1000.0,1.0,8.0,3.0,2022.0,24.0
"desconocido","guayaquil","guayas",6.0,102.0,599.0,0.0,6.0,"09-07-2021","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",1.0,250.0,1.0,9.0,7.0,2021.0,6.0
"desconocido","guayaquil","guayas",7.0,102.0,629.0,0.0,6.0,"09-12-2020","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",1.0,250.0,1.0,9.0,12.0,2020.0,6.0
"desconocido","guayaquil","guayas",8.0,102.0,917.0,0.0,30.0,"13-12-2021","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",5.0,1250.0,1.0,13.0,12.0,2021.0,30.0
"desconocido","guayaquil","guayas",9.0,102.0,927.0,0.0,66.0,"14-02-2022","arana duarte carlos alberto","organismo evaluador de la conformidad","sin fecha resolución",11.0,2750.0,2.0,14.0,2.0,2022.0,74.0
