"razon_social","estado","fecha_resolucion","canton","provincia","id_fact_oec_rs","id_razon_social","id_fecha","fecha","tipo_razon_social","volumen_cer","volumen_horas","volumen_ganancias","total_perfiles","dia","mes","anio","volumen_porcentaje_asistencia","prediction(volumen_porcentaje_asistencia)"
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",0.0,102.0,26.0,"01-04-2021","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,1.0,4.0,2021.0,0.0,0.03726585106779755
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",1.0,102.0,141.0,"02-12-2020","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,2.0,12.0,2020.0,0.0,0.03726585106779755
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",2.0,102.0,348.0,"05-10-2020","organismo evaluador de la conformidad",13.0,78.0,3250.0,2.0,5.0,10.0,2020.0,0.0,0.33572347793004437
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",3.0,102.0,479.0,"07-09-2020","organismo evaluador de la conformidad",13.0,78.0,3250.0,1.0,7.0,9.0,2020.0,0.0,0.33572347793004437
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",4.0,102.0,499.0,"07-12-2020","organismo evaluador de la conformidad",9.0,54.0,2250.0,1.0,7.0,12.0,2020.0,0.0,0.33572347793004437
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",5.0,102.0,517.0,"08-03-2022","organismo evaluador de la conformidad",4.0,24.0,1000.0,1.0,8.0,3.0,2022.0,0.0,0.11488901095686185
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",6.0,102.0,607.0,"09-07-2021","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,9.0,7.0,2021.0,0.0,0.03726585106779755
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",7.0,102.0,637.0,"09-12-2020","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,9.0,12.0,2020.0,0.0,0.03726585106779755
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",8.0,102.0,925.0,"13-12-2021","organismo evaluador de la conformidad",5.0,30.0,1250.0,1.0,13.0,12.0,2021.0,0.0,0.11488901095686185
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",9.0,102.0,935.0,"14-02-2022","organismo evaluador de la conformidad",11.0,66.0,2750.0,2.0,14.0,2.0,2022.0,0.0,0.33572347793004437
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",10.0,102.0,970.0,"14-09-2020","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,14.0,9.0,2020.0,0.0,0.03726585106779755
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",11.0,102.0,971.0,"14-09-2021","organismo evaluador de la conformidad",3.0,18.0,750.0,1.0,14.0,9.0,2021.0,0.0,0.11488901095686185
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",12.0,102.0,1128.0,"16-12-2021","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,16.0,12.0,2021.0,0.0,0.03726585106779755
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",13.0,102.0,1237.0,"18-07-2022","organismo evaluador de la conformidad",5.0,30.0,1250.0,2.0,18.0,7.0,2022.0,0.0,0.11488901095686185
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",14.0,102.0,1307.0,"19-07-2022","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,19.0,7.0,2022.0,0.0,0.03726585106779755
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",15.0,102.0,1437.0,"21-04-2022","organismo evaluador de la conformidad",7.0,42.0,1750.0,1.0,21.0,4.0,2022.0,0.0,0.33572347793004437
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",16.0,102.0,1454.0,"21-07-2022","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,21.0,7.0,2022.0,0.0,0.03726585106779755
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",17.0,102.0,1622.0,"23-11-2020","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,23.0,11.0,2020.0,0.0,0.11488901095686185
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",18.0,102.0,1824.0,"26-10-2020","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,26.0,10.0,2020.0,0.0,0.03726585106779755
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",19.0,102.0,1902.0,"27-11-2020","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,27.0,11.0,2020.0,0.0,0.03726585106779755
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",20.0,102.0,1918.0,"28-02-2020","organismo evaluador de la conformidad",6.0,36.0,1500.0,1.0,28.0,2.0,2020.0,0.0,0.33572347793004437
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",21.0,102.0,1960.0,"28-09-2020","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,28.0,9.0,2020.0,0.0,0.03726585106779755
"MISSING","desconocido","sin fecha resolución","MISSING","MISSING",22.0,102.0,2037.0,"29-11-2019","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,29.0,11.0,2019.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1653.0,1192.0,26.0,"01-04-2021","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,1.0,4.0,2021.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1679.0,1192.0,824.0,"12-07-2022","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,12.0,7.0,2022.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1705.0,1192.0,1746.0,"25-09-2019","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,25.0,9.0,2019.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1714.0,1192.0,2027.0,"29-09-2021","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,29.0,9.0,2021.0,0.0,0.11488901095686185
