id_fact_ci_rs,id_razon_social,id_fecha,volumen_cap,prediction_volumen_cap,volumen_horas,prediction_volumen_horas,volumen_ganancias,prediction_volumen_ganancias
0.0,1000.0,7.0,191.0,191.0,1696.0,3044.0,23671.68,20777.00740745169
3.0,1004.0,7.0,22.0,22.0,704.0,704.0,1936.0,1775.9155360559816
8.0,1023.0,7.0,16.0,16.0,352.0,352.0,2506.331428571428,2199.868022273004
10.0,1025.0,7.0,175.0,175.0,7000.0,7000.0,9208.0,10138.735937560616
12.0,1030.0,7.0,4.0,4.0,128.0,128.0,1442.56,751.5266081194277
13.0,1031.0,7.0,1.0,1.0,16.0,16.0,129.92,1447.8378582696314
27.0,1251.0,7.0,10.0,9.5,400.0,352.0,448.00000000000006,1450.8313590983744
40.0,1274.0,7.0,61.0,61.0,488.0,488.0,3355.42603174603,3625.594589541375
48.0,1299.0,7.0,5.0,7.5,80.0,80.0,550.0698412698409,629.4816602568026
54.0,1334.0,7.0,3.0,3.0,120.0,120.0,886.8,531.0456251005526
56.0,1338.0,7.0,21.0,21.0,600.0,600.0,1326.4,2382.3088091413374
64.0,1355.0,7.0,16.0,16.0,512.0,512.0,5770.24,5220.834378807514
67.0,1361.0,7.0,13.0,13.0,520.0,520.0,3575.453968253966,2940.3840008477564
69.0,1363.0,7.0,100.0,100.0,4000.0,4000.0,10480.000000000002,11738.103792736949
71.0,1365.0,7.0,7.0,7.0,280.0,280.0,945.6,1092.015364180028
76.0,1378.0,7.0,1.0,1.0,40.0,40.0,44.8,314.40094394487096
83.0,1392.0,7.0,169.0,169.0,6760.0,6760.0,60907.6,63763.342843859165
93.0,1415.0,7.0,8.0,8.0,320.0,320.0,1080.0,1291.7234880427714
117.0,1484.0,7.0,7.0,7.0,112.0,154.0,1179.36,958.6160596708652
118.0,1485.0,7.0,125.0,125.0,1000.0,1000.0,6875.873015873011,10647.495411763608
127.0,1511.0,7.0,57.0,57.0,2280.0,2280.0,2553.6000000000004,2579.377725253522
130.0,1520.0,7.0,86.0,86.0,3440.0,3440.0,23653.00317460316,20462.90534550947
141.0,1546.0,7.0,38.0,38.0,1520.0,1540.0,4240.8,5417.165637741506
142.0,1548.0,7.0,2.0,2.0,80.0,80.0,4.0,316.5726636747713
144.0,155.0,7.0,92.0,92.0,2208.0,2200.0,10289.28,12433.17705560726
151.0,1570.0,7.0,9.0,9.0,144.0,144.0,990.1257142857136,963.35914821428
158.0,1594.0,7.0,19.0,19.0,152.0,152.0,1045.1326984126977,2046.032184551179
168.0,1623.0,7.0,2.0,2.0,64.0,64.0,440.0558730158728,365.2561819056864
170.0,1634.0,7.0,41.0,35.5,592.0,592.0,4727.415873015872,4912.061305950105
176.0,1641.0,7.0,804.0,804.0,22120.0,22120.0,80398.64,69025.23331126448
177.0,1642.0,7.0,31.0,31.0,1240.0,1240.0,1860.0,4956.415291557729
178.0,1643.0,7.0,12.0,12.0,480.0,480.0,3840.0,1982.1763145427103
181.0,1648.0,7.0,1.0,1.0,16.0,16.0,168.48,287.62277353805257
191.0,1678.0,7.0,7.0,7.0,280.0,280.0,1925.2444444444432,1581.0571047763224
194.0,1684.0,7.0,9.0,9.0,144.0,154.0,1006.56,976.3872388700838
203.0,1701.0,7.0,19.0,19.0,760.0,760.0,3199.6000000000004,2929.9222052196856
205.0,1704.0,7.0,20.0,20.0,320.0,320.0,2200.279365079364,2186.6582014660235
212.0,1722.0,7.0,19.0,19.0,760.0,760.0,1140.0,1882.27009815973
219.0,1740.0,7.0,92.0,92.0,1048.0,1189.3333333333333,15500.159999999998,11511.628987560687
231.0,1761.0,7.0,3.0,3.0,120.0,108.0,420.0,557.823795507371
234.0,1765.0,7.0,1.0,1.0,40.0,40.0,180.0,336.6389462451334
239.0,1775.0,7.0,61.0,61.0,2440.0,2200.0,10272.4,7839.998589287221
