id_fact_oec_rs,id_razon_social,id_fecha,volumen_cer,prediction_volumen_cer,volumen_horas,prediction_volumen_horas,volumen_ganancias,prediction_volumen_ganancias,volumen_porcentaje_asistencia,prediction_volumen_porcentaje_asistencia
0.0,102.0,26.0,1.0,1.0,6.0,6.0,250.0,250.0,0.0,0.0372658510677975
1.0,102.0,141.0,1.0,1.0,6.0,6.0,250.0,250.0,0.0,0.0372658510677975
2.0,102.0,348.0,13.0,13.0,78.0,74.0,3250.0,3250.0,0.0,0.3357234779300443
3.0,102.0,479.0,13.0,13.0,78.0,74.0,3250.0,3250.0,0.0,0.3357234779300443
4.0,102.0,499.0,9.0,9.0,54.0,54.0,2250.0,2250.0,0.0,0.3357234779300443
5.0,102.0,517.0,4.0,4.0,24.0,24.0,1000.0,1000.0,0.0,0.1148890109568618
6.0,102.0,607.0,1.0,1.0,6.0,6.0,250.0,250.0,0.0,0.0372658510677975
7.0,102.0,637.0,1.0,1.0,6.0,6.0,250.0,250.0,0.0,0.0372658510677975
8.0,102.0,925.0,5.0,5.0,30.0,30.0,1250.0,1250.0,0.0,0.1148890109568618
9.0,102.0,935.0,11.0,10.272727272727272,66.0,74.0,2750.0,2605.787157287157,0.0,0.3357234779300443
10.0,102.0,970.0,1.0,1.0,6.0,6.0,250.0,250.0,0.0,0.0372658510677975
11.0,102.0,971.0,3.0,3.0,18.0,18.0,750.0,750.0,0.0,0.1148890109568618
12.0,102.0,1128.0,1.0,1.0,6.0,6.0,250.0,250.0,0.0,0.0372658510677975
13.0,102.0,1237.0,5.0,5.0,30.0,30.0,1250.0,1250.0,0.0,0.1148890109568618
14.0,102.0,1307.0,1.0,1.0,6.0,6.0,250.0,250.0,0.0,0.0372658510677975
15.0,102.0,1437.0,7.0,7.0,42.0,39.0,1750.0,1750.0,0.0,0.3357234779300443
16.0,102.0,1454.0,1.0,1.0,6.0,6.0,250.0,250.0,0.0,0.0372658510677975
17.0,102.0,1622.0,2.0,2.0,12.0,12.0,500.0,500.0,0.0,0.1148890109568618
18.0,102.0,1824.0,1.0,1.0,6.0,6.0,250.0,250.0,0.0,0.0372658510677975
19.0,102.0,1902.0,1.0,1.0,6.0,6.0,250.0,250.0,0.0,0.0372658510677975
20.0,102.0,1918.0,6.0,6.0,36.0,39.0,1500.0,1500.0,0.0,0.3357234779300443
21.0,102.0,1960.0,1.0,1.0,6.0,6.0,250.0,250.0,0.0,0.0372658510677975
22.0,102.0,2037.0,2.0,2.0,12.0,12.0,500.0,500.0,0.0,0.1148890109568618
