"canton","provincia","id_fact_oc_rs","id_razon_social","id_fecha","dia","fecha","razon_social","estado","tipo_razon_social","fecha_resolucion","mes","anio","total_cursos","volumen_cap_cer","volumen_horas","prediction(volumen_ganancias)"
"quito","pichincha",0.0,1.0,6.0,31.0,"31-12-2021","abalco haro cristian patricio","calificado","operador de capacitación","19-10-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"pastaza","pastaza",2.0,100.0,6.0,31.0,"31-12-2021","ankukuna","calificado","operador de capacitación","13-12-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"pastaza","pastaza",1.0,100.0,3.0,31.0,"31-12-2018","ankukuna","calificado","operador de capacitación","13-12-2021",12.0,2018.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"quito","pichincha",3.0,1015.0,6.0,31.0,"31-12-2021","hidalgo santander edgar arturo","calificado","operador de capacitación","20-07-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"guayaquil","guayas",5.0,1049.0,6.0,31.0,"31-12-2021","instituto asedu ecuador aseduecuador s.a.","calificado","operador de capacitación","30-03-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,123581.74
"quito","pichincha",11.0,1147.0,6.0,31.0,"31-12-2021","instituto superior tecnológico libertad","calificado","operador de capacitación","19-10-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"cayambe","pichincha",14.0,1163.0,6.0,31.0,"31-12-2021","instituto superior tecnológico nelsón torres","calificado","operador de capacitación","15-12-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"guayaquil","guayas",15.0,12.0,6.0,31.0,"31-12-2021","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","calificado","operador de capacitación","6/10/2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,123581.74
"guayaquil","guayas",18.0,1208.0,6.0,31.0,"31-12-2021","instituto tecnologico superior almirante illingworth","calificado","operador de capacitación","7/10/2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,123581.74
"guayaquil","guayas",16.0,1208.0,3.0,31.0,"31-12-2018","instituto tecnologico superior almirante illingworth","calificado","operador de capacitación","7/10/2021",12.0,2018.0,7.829411764705882,634.1588235294117,25711.020588235293,123581.74
"guayaquil","guayas",17.0,1208.0,4.0,31.0,"31-12-2019","instituto tecnologico superior almirante illingworth","calificado","operador de capacitación","7/10/2021",12.0,2019.0,7.829411764705882,634.1588235294117,25711.020588235293,123581.74
"cuenca","azuay",22.0,121.0,6.0,31.0,"31-12-2021","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"cuenca","azuay",20.0,121.0,3.0,31.0,"31-12-2018","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",12.0,2018.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"cuenca","azuay",21.0,121.0,4.0,31.0,"31-12-2019","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",12.0,2019.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"quito","pichincha",26.0,1242.0,6.0,31.0,"31-12-2021","jacome davalos juan manuel","calificado","operador de capacitación","25-11-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",27.0,1243.0,6.0,31.0,"31-12-2021","jacome sandoya vinicio alejandro","calificado","operador de capacitación","30-12-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"guayaquil","guayas",32.0,1280.0,6.0,31.0,"31-12-2021","junta provincial de la cruz roja del guayas","calificado","operador de capacitación","28-12-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,123581.74
"quito","pichincha",35.0,1286.0,6.0,31.0,"31-12-2021","klavempresarial compañia anonima","calificado","operador de capacitación","2/9/2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",33.0,1286.0,3.0,31.0,"31-12-2018","klavempresarial compañia anonima","calificado","operador de capacitación","2/9/2021",12.0,2018.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",34.0,1286.0,4.0,31.0,"31-12-2019","klavempresarial compañia anonima","calificado","operador de capacitación","2/9/2021",12.0,2019.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"rumiñahui","pichincha",38.0,129.0,6.0,31.0,"31-12-2021","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"rumiñahui","pichincha",36.0,129.0,3.0,31.0,"31-12-2018","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",12.0,2018.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"rumiñahui","pichincha",37.0,129.0,4.0,31.0,"31-12-2019","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",12.0,2019.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"quito","pichincha",40.0,1296.0,6.0,31.0,"31-12-2021","lara cornejo nathaly alexandra","calificado","operador de capacitación","13-09-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",39.0,1296.0,4.0,31.0,"31-12-2019","lara cornejo nathaly alexandra","calificado","operador de capacitación","13-09-2021",12.0,2019.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"ambato","tungurahua",42.0,1323.0,6.0,31.0,"31-12-2021","leon leon gerardo","calificado","operador de capacitación","12/10/2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,812945.32
"quito","pichincha",43.0,1330.0,6.0,31.0,"31-12-2021","liderazgo capacitacion y consultoria davsoc compañia limitada","calificado","operador de capacitación","16-04-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"loja","loja",47.0,1372.0,6.0,31.0,"31-12-2021","luzuriaga leon leonardo miguel","calificado","operador de capacitación","14-12-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"quito","pichincha",51.0,1375.0,6.0,31.0,"31-12-2021","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",48.0,1375.0,3.0,31.0,"31-12-2018","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",12.0,2018.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",52.0,1375.0,7.0,31.0,"31-12-2022","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",12.0,2022.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",49.0,1375.0,4.0,31.0,"31-12-2019","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",12.0,2019.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",50.0,1375.0,5.0,31.0,"31-12-2020","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",12.0,2020.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",54.0,1399.0,6.0,31.0,"31-12-2021","marmol uquillas jenny alexandra","calificado","operador de capacitación","27-09-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",56.0,1412.0,6.0,31.0,"31-12-2021","mateus francisco javier","calificado","operador de capacitación","22-05-2021",12.0,2021.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",57.0,1412.0,7.0,31.0,"31-12-2022","mateus francisco javier","calificado","operador de capacitación","22-05-2021",12.0,2022.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",55.0,1412.0,4.0,31.0,"31-12-2019","mateus francisco javier","calificado","operador de capacitación","22-05-2021",12.0,2019.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
